date,nikkei_phase,equity,pnl_day
2026-01-05,stable,2989169.0,-10831.0
2026-01-06,normal,3004423.5,15254.5
2026-01-07,normal,3022223.5,17800.0
2026-01-08,normal,3015373.5,-6850.0
2026-01-09,normal,3031794.0,16420.5
2026-01-13,normal,3061394.0,29600.0
2026-01-14,normal,3123144.0,61750.0
2026-01-15,normal,3136694.0,13550.0
2026-01-16,normal,3191194.0,54500.0
2026-01-19,surge,3176694.0,-14500.0
2026-01-20,high_vol,3176193.0,-501.0
2026-01-21,high_vol,3174993.0,-1200.0
2026-01-22,high_vol,3175893.0,900.0
2026-01-23,high_vol,3143151.5000000005,-32741.499999999534
2026-01-26,normal,2982554.5000000005,-160597.0
2026-01-27,high_vol,3015771.5000000005,33217.0
2026-01-28,settling,3019596.5000000005,3825.0
2026-01-29,settling,3088994.0000000005,69397.5
2026-01-30,settling,3110624.5000000005,21630.5
2026-02-02,settling,3051014.500000001,-59609.999999999534
2026-02-03,settling,3141014.500000001,90000.0
2026-02-04,normal,3204714.500000001,63700.0
2026-02-05,normal,3217675.000000001,12960.5
2026-02-06,normal,3261709.000000001,44034.0
2026-02-09,normal,3270909.000000001,9200.0
2026-02-10,surge,3282509.000000001,11600.0
2026-02-12,surge,3282509.000000001,0.0
2026-02-13,surge,3282509.000000001,0.0
2026-02-16,surge,3282509.000000001,0.0
2026-02-17,high_vol,3312209.000000001,29700.0
2026-02-18,high_vol,3322285.500000001,10076.5
2026-02-19,high_vol,3325975.000000001,3689.5
2026-02-20,high_vol,3307475.000000001,-18500.0
2026-02-24,high_vol,3311975.000000001,4500.0
2026-02-25,high_vol,3296975.000000001,-15000.0
2026-02-26,normal,3339010.000000001,42035.0
2026-02-27,settling,3404708.500000001,65698.5
2026-03-02,settling,3360208.500000001,-44500.0
2026-03-03,settling,3290908.500000001,-69300.0
2026-03-04,normal,3175908.500000001,-115000.0
2026-03-05,crash,3198028.501220704,22120.001220703125
2026-03-06,crash,3158891.501220704,-39137.0
2026-03-09,crash,3094751.4975585947,-64140.003662109375
2026-03-10,crash,2938975.4975585947,-155776.0
