date,ticker,action,price,shares,reason,nikkei_phase
2024-07-01,4275.T,BUY,1468.705,100,breakout_1p5_entry,stable
2024-07-01,6371.T,BUY,2107.816749267578,100,breakout_1p5_entry,stable
2024-07-01,2674.T,BUY,2112.2149999999997,400,breakout_1p5_entry,stable
2024-07-10,2415.T,BUY,1682.87,100,condition2_entry,uptrend
2024-07-10,8750.T,BUY,1188.31125,200,condition2_entry,uptrend
2024-07-10,5941.T,BUY,2518.2149999999997,100,condition2_entry,uptrend
2024-07-10,7912.T,BUY,2725.7825,100,condition2_entry,uptrend
2024-07-10,4792.T,BUY,2195.4449999999997,300,condition2_entry,uptrend
2024-07-11,2415.T,SELL,1680.0,100,sell_signal,uptrend
2024-07-11,5941.T,SELL,2818.0,100,take_profit,uptrend
2024-07-17,2585.T,BUY,1626.5375,100,q3_post_high_vol_entry,overheated_range
2024-07-17,8214.T,BUY,1383.445,100,q3_post_high_vol_entry,overheated_range
2024-07-17,8001.T,BUY,1634.7589752197264,200,q3_post_high_vol_entry,overheated_range
2024-07-18,2585.T,SELL,1677.5,100,sell_signal,normal
2024-07-18,8214.T,SELL,1349.0,100,sell_signal,normal
2024-07-18,8001.T,SELL,1602.5999755859375,200,sell_signal,normal
2024-07-22,7912.T,SELL,2603.5,100,sell_signal,normal
2024-07-22,2749.T,BUY,608.9999999999999,100,condition2_entry,normal
2024-07-22,9651.T,BUY,1318.0,100,condition2_entry,normal
2024-07-25,4275.T,SELL,1395.0,100,stop_loss,normal
2024-07-25,6371.T,SELL,2096.666748046875,100,pre_earnings_exit,normal
2024-07-25,8750.T,SELL,1102.5,200,stop_loss,normal
2024-07-26,2674.T,SELL,2037.0,400,sell_signal,normal
2024-07-26,8877.T,BUY,4506.599999999999,100,condition2_entry,normal
2024-07-29,8877.T,SELL,4665.0,100,sell_signal,normal
2024-07-30,4792.T,SELL,2170.7,300,crash_early_exit,crash
2024-07-30,2749.T,SELL,584.08,100,crash_early_exit,crash
2024-07-30,9651.T,SELL,1308.3,100,crash_early_exit,crash
2024-07-30,3766.T,BUY,1069.59,100,q2_defensive_entry,crash
2024-07-30,7510.T,BUY,2470.46,100,q2_defensive_entry,crash
2024-07-31,3766.T,SELL,1048.6,100,crash_early_exit,crash
2024-07-31,9882.T,BUY,1284.72,100,q2_defensive_entry,crash
2024-07-31,4674.T,BUY,1328.15,100,q2_defensive_entry,crash
2024-07-31,7999.T,BUY,2457.33,100,q2_defensive_entry,crash
2024-07-31,9564.T,BUY,455.0,600,q2_defensive_entry,crash
2024-07-31,9142.T,BUY,3959.2,100,q2_defensive_entry,crash
2024-07-31,8012.T,BUY,3290.58,100,q2_defensive_entry,crash
2024-07-31,7164.T,BUY,3101.205,100,q2_defensive_entry,crash
2024-08-01,7510.T,SELL,2475.0,100,sell_signal,downtrend
2024-08-01,9882.T,SELL,1289.0,100,sell_signal,downtrend
2024-08-01,4674.T,SELL,1295.0,100,sell_signal,downtrend
2024-08-01,7999.T,SELL,2456.0,100,sell_signal,downtrend
2024-08-01,9564.T,SELL,438.0,600,sell_signal,downtrend
2024-08-01,9142.T,SELL,3927.0,100,sell_signal,downtrend
2024-08-01,8012.T,SELL,3210.0,100,sell_signal,downtrend
2024-08-01,7164.T,SELL,2966.0,100,stop_loss,downtrend
2024-08-07,6946.T,BUY,2032.1200000000001,200,q2_defensive_entry,crash
2024-08-07,5941.T,BUY,2251.0,200,q2_defensive_entry,crash
2024-08-07,9651.T,BUY,1245.33,500,q2_defensive_entry,crash
2024-08-07,1826.T,BUY,812.04,800,q2_defensive_entry,crash
2024-08-07,9761.T,BUY,1809.0,400,q2_defensive_entry,crash
2024-08-08,6946.T,SELL,2140.32,200,crash_early_exit,crash
2024-08-08,5941.T,SELL,2438.24,200,crash_early_exit,crash
2024-08-08,9651.T,SELL,1310.0,500,take_profit,crash
2024-08-08,1826.T,SELL,817.3199999999999,800,crash_early_exit,crash
2024-08-08,3712.T,BUY,4221.8,200,q2_defensive_entry,crash
2024-08-08,3261.T,BUY,479.75,3000,q2_defensive_entry,crash
2024-08-09,3712.T,SELL,4145.0,200,crash_early_exit,crash
2024-08-09,3261.T,SELL,524.0,3000,take_profit,crash
2024-08-09,6632.T,BUY,1063.53,700,q2_defensive_entry,crash
2024-08-09,3762.T,BUY,2097.0,700,q2_defensive_entry,crash
2024-08-13,6632.T,SELL,1046.0,700,crash_early_exit,crash
2024-08-13,3762.T,SELL,2001.0,700,crash_early_exit,crash
2024-08-14,9761.T,SELL,1833.0,400,sell_signal,capitulation_end
2024-08-16,2749.T,BUY,637.0,600,q2_defensive_entry,crash
2024-08-16,6632.T,BUY,1149.0,300,q2_defensive_entry,crash
2024-08-16,9882.T,BUY,1262.5,300,q2_defensive_entry,crash
2024-08-16,2585.T,BUY,1705.0,200,q2_defensive_entry,crash
2024-08-16,3261.T,BUY,547.42,900,q2_defensive_entry,crash
2024-08-19,2749.T,SELL,657.0,600,sell_signal,downtrend
2024-08-19,6632.T,SELL,1162.0,300,sell_signal,downtrend
2024-08-19,9882.T,SELL,1260.0,300,sell_signal,downtrend
2024-08-19,2585.T,SELL,1812.5,200,take_profit,downtrend
2024-08-19,3261.T,SELL,563.0,900,sell_signal,downtrend
2024-08-30,2327.T,BUY,3709.825,100,condition2_entry,normal
2024-08-30,2749.T,BUY,722.68,900,condition2_entry,normal
2024-08-30,1921.T,BUY,995.7149999999999,700,condition2_entry,normal
2024-08-30,4792.T,BUY,2294.915,600,condition2_entry,normal
2024-09-05,1921.T,SELL,943.0,700,stop_loss,normal
2024-09-09,2327.T,SELL,3570.0,100,crash_early_exit,crash
2024-09-09,2749.T,SELL,685.0,900,crash_early_exit,crash
2024-09-09,4792.T,SELL,2333.0,600,crash_early_exit,crash
2024-09-09,2329.T,BUY,666.6,100,q2_defensive_entry,crash
2024-09-09,3529.T,BUY,750.43,100,q2_defensive_entry,crash
2024-09-09,7013.T,BUY,897.1685626220703,100,q2_defensive_entry,crash
2024-09-09,1826.T,BUY,870.62,200,q2_defensive_entry,crash
2024-09-09,3261.T,BUY,532.27,500,q2_defensive_entry,crash
2024-09-09,9336.T,BUY,3075.45,100,q2_defensive_entry,crash
2024-09-09,1820.T,BUY,5190.39,300,q2_defensive_entry,crash
2024-09-10,7013.T,SELL,874.3000256347656,100,crash_early_exit,crash
2024-09-10,9564.T,BUY,510.555,100,q2_defensive_entry,crash
2024-09-10,9932.T,BUY,1511.97,100,q2_defensive_entry,crash
2024-09-11,3529.T,SELL,734.02,100,crash_early_exit,crash
2024-09-11,9336.T,SELL,3067.4,100,crash_early_exit,crash
2024-09-11,1820.T,SELL,5134.22,300,crash_early_exit,crash
2024-09-11,9564.T,SELL,476.77,100,crash_early_exit,crash
2024-09-11,9932.T,SELL,1477.35,100,crash_early_exit,crash
2024-09-12,2329.T,SELL,659.0,100,sell_signal,downtrend
2024-09-12,1826.T,SELL,857.0,200,sell_signal,downtrend
2024-09-12,3261.T,SELL,535.0,500,sell_signal,downtrend
