date,nikkei_phase,equity,pnl_day
2025-10-01,uptrend,3000000.0,0.0
2025-10-02,uptrend,3000000.0,0.0
2025-10-03,uptrend,3000000.0,0.0
2025-10-06,uptrend,3000000.0,0.0
2025-10-07,surge,3000000.0,0.0
2025-10-08,surge,3000000.0,0.0
2025-10-09,surge,3000000.0,0.0
2025-10-10,surge,3000000.0,0.0
2025-10-14,surge,3000000.0,0.0
2025-10-15,high_vol,3026722.5,26722.5
2025-10-16,high_vol,3066907.5,40185.0
2025-10-17,high_vol,3028907.5,-38000.0
2025-10-20,high_vol,3122007.5,93100.0
2025-10-21,high_vol,3111107.5,-10900.0
2025-10-22,surge,3125807.5,14700.0
2025-10-23,high_vol,3147872.0000000005,22064.500000000466
2025-10-24,high_vol,3141772.0000000005,-6100.0
2025-10-27,high_vol,3155572.0000000005,13800.0
2025-10-28,surge,3126572.0000000005,-29000.0
2025-10-29,surge,3126572.0000000005,0.0
2025-10-30,surge,3126572.0000000005,0.0
2025-10-31,surge,3126572.0000000005,0.0
2025-11-04,surge,3126572.0000000005,0.0
2025-11-05,surge,3126572.0000000005,0.0
2025-11-06,high_vol,3130611.0000000005,4039.0
2025-11-07,high_vol,3116880.99987793,-13730.000122070312
2025-11-10,high_vol,3127620.49987793,10739.5
2025-11-11,high_vol,3100320.49987793,-27300.0
2025-11-12,high_vol,3111491.9998779306,11171.500000000466
2025-11-13,high_vol,3158482.4998779306,46990.5
2025-11-14,high_vol,3088597.4998779306,-69885.0
2025-11-17,high_vol,3066232.9998779306,-22364.5
2025-11-18,normal,2978982.9998779306,-87250.0
2025-11-19,normal,2937066.9998779306,-41916.0
2025-11-20,normal,2945866.9998779306,8800.0
2025-11-21,normal,2993922.4998779306,48055.5
2025-11-25,normal,2996322.4998779306,2400.0
2025-11-26,normal,3063622.4998779306,67300.0
2025-11-27,normal,3106222.4998779306,42600.0
2025-11-28,normal,3172122.4998779306,65900.0
2025-12-01,normal,3170322.4998779306,-1800.0
2025-12-02,normal,3172322.4998779306,2000.0
2025-12-03,normal,3171734.4998779306,-588.0
2025-12-04,normal,3180034.4998779306,8300.0
2025-12-05,normal,3179234.4998779306,-800.0
2025-12-08,normal,3188234.4998779306,9000.0
2025-12-09,normal,3198629.4998779306,10395.0
2025-12-10,normal,3227029.4998779306,28400.0
2025-12-11,normal,3203929.4998779306,-23100.0
2025-12-12,normal,3240037.4998779306,36108.0
2025-12-15,normal,3289737.4998779306,49700.0
2025-12-16,normal,3221337.4998779306,-68400.0
2025-12-17,normal,3254437.4998779306,33100.0
2025-12-18,normal,3275837.4998779306,21400.0
2025-12-19,stable,3297137.4998779306,21300.0
2025-12-22,normal,3294852.9998779306,-2284.5
2025-12-23,normal,3306776.9998779306,11924.0
2025-12-24,normal,3306076.9998779306,-700.0
2025-12-25,normal,3310776.9998779306,4700.0
2025-12-26,normal,3334276.9998779306,23500.0
2025-12-29,normal,3296076.9998779306,-38200.0
2025-12-30,normal,3283642.4998779306,-12434.5
