date,nikkei_phase,equity
2020-04-01,capitulation_end,2956848.0
2020-04-02,crash,2894848.0
2020-04-03,crash,2894848.0
2020-04-06,crash,2894848.0
2020-04-07,downtrend,2853548.0
2020-04-08,downtrend,2942048.0
2020-04-09,surge,3018748.0
2020-04-10,surge,3018748.0
2020-04-13,surge,3018748.0
2020-04-14,downtrend,3138197.2
2020-04-15,surge,3126797.2
2020-04-16,surge,3126797.2
2020-04-17,surge,3126797.2
2020-04-20,surge,3126797.2
2020-04-21,surge,3126797.2
2020-04-22,high_vol,3126797.2
2020-04-23,high_vol,3242297.2
2020-04-24,high_vol,3198297.2
2020-04-27,high_vol,3198297.2
2020-04-28,normal,3273897.2
2020-04-30,normal,3311697.2
2020-05-01,surge,3273897.2
2020-05-07,surge,3273897.2
2020-05-08,surge,3273897.2
2020-05-11,high_vol,3273897.2
2020-05-12,high_vol,3252467.2000000007
2020-05-13,high_vol,3287467.2000000007
2020-05-14,high_vol,3167467.2000000007
2020-05-15,high_vol,3167467.2000000007
2020-05-18,high_vol,3295665.6000000006
2020-05-19,high_vol,3310065.6000000006
2020-05-20,normal,3409652.6000000006
2020-05-21,normal,3488052.6000000006
2020-05-22,normal,3483152.6000000006
2020-05-25,settling,3615577.6000000006
2020-05-26,normal,3493177.6000000006
2020-05-27,surge,3517177.6000000006
2020-05-28,normal,3517177.6000000006
2020-05-29,normal,3586969.6000000006
2020-06-01,normal,3711769.6000000006
2020-06-02,normal,3716569.6000000006
2020-06-03,normal,3694189.6000000006
2020-06-04,normal,3710489.6000000006
2020-06-05,normal,3711526.6000000006
2020-06-08,uptrend,3813726.6000000006
2020-06-09,uptrend,3813726.6000000006
2020-06-10,uptrend,3813726.6000000006
2020-06-11,settling,3662142.6000000006
2020-06-12,normal,3676542.6000000006
2020-06-15,normal,3676542.6000000006
2020-06-16,crash,3669902.6000000006
2020-06-17,surge,3702952.6000000006
2020-06-18,downtrend,3702952.6000000006
2020-06-19,downtrend,3702952.6000000006
2020-06-22,downtrend,3767352.6000000006
2020-06-23,downtrend,3769842.6000000006
2020-06-24,downtrend,3809695.6000000006
2020-06-25,downtrend,3802540.414648438
2020-06-26,downtrend,3806340.414648438
2020-06-29,downtrend,3806340.414648438
2020-06-30,high_vol,3862340.414648438
