date,phase_name,post_major_crash_mode,post_major_phase,post_major_active,sector_mode,sector_top_share,sector_hhi,sector_count,price_top3_share,positive_count,chosen_etf,etf_scores_json
2020-04-01,capitulation_end,True,capitulation_end,True,concentrated,1.0,1.0,0,1.0,0,2516.T,"{""1306.T"": -999.0, ""1321.T"": -999.0, ""1328.T"": -999.0, ""1489.T"": -999.0, ""1593.T"": -999.0, ""2516.T"": 0.10898862691722111}"
2020-04-02,crash,True,crash,False,concentrated,1.0,1.0,0,1.0,0,,{}
2020-04-03,crash,True,crash,False,concentrated,1.0,1.0,0,1.0,0,,{}
2020-04-06,crash,True,crash,False,concentrated,1.0,1.0,0,1.0,0,,{}
2020-04-07,downtrend,True,high_vol,True,concentrated,1.0,1.0,0,1.0,0,2516.T,"{""1306.T"": 0.013109376700789599, ""1321.T"": 0.03859068326713566, ""1328.T"": 0.03900199064074017, ""1489.T"": -0.024970088032261528, ""1593.T"": 0.01915597588323481, ""2516.T"": 0.08365590135416678}"
2020-04-08,downtrend,True,high_vol,True,concentrated,1.0,1.0,0,1.0,0,2516.T,"{""1306.T"": 0.045854684058584505, ""1321.T"": 0.05213659331938203, ""1328.T"": -999.0, ""1489.T"": -999.0, ""1593.T"": 0.03050249353827339, ""2516.T"": 0.07225815067289709}"
2020-04-09,surge,True,surge,False,concentrated,1.0,1.0,0,1.0,0,,{}
2020-04-10,surge,True,surge,False,concentrated,1.0,1.0,0,1.0,0,,{}
2020-04-13,surge,True,surge,False,concentrated,1.0,1.0,0,1.0,0,,{}
2020-04-14,downtrend,True,high_vol,True,concentrated,1.0,1.0,0,1.0,0,2516.T,"{""1306.T"": 0.05763733214307332, ""1321.T"": 0.07702113616909656, ""1328.T"": 0.11467583014047544, ""1489.T"": -999.0, ""1593.T"": 0.05108169651202166, ""2516.T"": 0.22067924247247006}"
2020-04-15,surge,True,surge,False,concentrated,1.0,1.0,1,1.0,0,,{}
2020-04-16,surge,True,surge,False,concentrated,1.0,1.0,1,1.0,0,,{}
2020-04-17,surge,True,surge,False,concentrated,1.0,1.0,1,1.0,1,,{}
2020-04-20,surge,True,surge,False,concentrated,1.0,1.0,1,1.0,0,,{}
2020-04-21,surge,True,surge,False,concentrated,1.0,1.0,1,1.0,1,,{}
2020-04-22,high_vol,True,high_vol,True,concentrated,1.0,1.0,1,1.0,1,,"{""1306.T"": -999.0, ""1321.T"": -999.0, ""1328.T"": -999.0, ""1489.T"": -999.0, ""1593.T"": -999.0, ""2516.T"": -999.0}"
2020-04-23,high_vol,True,high_vol,True,concentrated,1.0,1.0,1,1.0,1,2516.T,"{""1306.T"": -0.0120233064100993, ""1321.T"": -0.0007282424815171495, ""1328.T"": 0.002850801542048975, ""1489.T"": -0.007138756578123351, ""1593.T"": -0.0027924027496061266, ""2516.T"": 0.09556583342233504}"
2020-04-24,high_vol,True,high_vol,True,concentrated,1.0,1.0,1,1.0,0,2516.T,"{""1306.T"": -999.0, ""1321.T"": -999.0, ""1328.T"": 0.02171666795964855, ""1489.T"": -999.0, ""1593.T"": -999.0, ""2516.T"": -999.0}"
2020-04-27,high_vol,True,high_vol,True,concentrated,1.0,1.0,1,1.0,1,2516.T,"{""1306.T"": 0.013437679379023959, ""1321.T"": 0.001287178614812201, ""1328.T"": -999.0, ""1489.T"": 0.034195683899704954, ""1593.T"": 0.015015351439517377, ""2516.T"": 0.10634252370945574}"
2020-04-28,normal,True,normal,True,concentrated,1.0,1.0,1,1.0,1,2516.T,"{""1306.T"": -999.0, ""1321.T"": -999.0, ""1328.T"": -999.0, ""1489.T"": 0.05074485971387044, ""1593.T"": 0.030878615598613268, ""2516.T"": 0.07795293680833659}"
2020-04-30,normal,True,normal,True,concentrated,0.4,0.28,4,0.9475685675958386,4,2516.T,"{""1306.T"": 0.06404193971200633, ""1321.T"": 0.07296778752700961, ""1328.T"": -999.0, ""1489.T"": 0.07913752904381022, ""1593.T"": 0.055302269482527255, ""2516.T"": 0.18438845840453277}"
2020-05-01,surge,True,surge,False,concentrated,0.4,0.28,4,1.0,3,,{}
2020-05-07,surge,True,surge,False,concentrated,0.4,0.28,4,1.0,3,,{}
2020-05-08,surge,True,surge,False,concentrated,0.4,0.28,4,0.9477395883194452,4,,{}
2020-05-11,high_vol,True,high_vol,True,concentrated,0.4,0.28,4,1.0,2,2516.T,"{""1306.T"": 0.046774916281680734, ""1321.T"": 0.07165480148134573, ""1328.T"": -999.0, ""1489.T"": 0.033850554438283886, ""1593.T"": 0.03626036887506101, ""2516.T"": -999.0}"
2020-05-12,high_vol,True,high_vol,True,concentrated,0.4,0.28,4,1.0,2,2516.T,"{""1306.T"": -999.0, ""1321.T"": -999.0, ""1328.T"": -999.0, ""1489.T"": -999.0, ""1593.T"": -999.0, ""2516.T"": 0.18452154457698544}"
2020-05-13,high_vol,True,high_vol,True,concentrated,0.4,0.28,4,1.0,1,2516.T,"{""1306.T"": -999.0, ""1321.T"": -999.0, ""1328.T"": 0.005941694866542613, ""1489.T"": -999.0, ""1593.T"": -999.0, ""2516.T"": 0.13623703731336767}"
2020-05-14,high_vol,True,high_vol,True,concentrated,0.4,0.28,4,1.0,3,2516.T,"{""1306.T"": -999.0, ""1321.T"": -999.0, ""1328.T"": 0.032560015169756595, ""1489.T"": -999.0, ""1593.T"": -999.0, ""2516.T"": -999.0}"
2020-05-15,high_vol,True,high_vol,True,concentrated,0.4,0.28,4,1.0,2,2516.T,"{""1306.T"": -999.0, ""1321.T"": -999.0, ""1328.T"": 0.0360264296800743, ""1489.T"": -999.0, ""1593.T"": -999.0, ""2516.T"": -999.0}"
2020-05-18,high_vol,True,high_vol,True,concentrated,0.4,0.28,4,1.0,1,2516.T,"{""1306.T"": -999.0, ""1321.T"": -999.0, ""1328.T"": 0.04389859130042084, ""1489.T"": -999.0, ""1593.T"": 0.018079503432943067, ""2516.T"": 0.10183941452610334}"
2020-05-19,high_vol,True,high_vol,True,concentrated,0.2222222222222222,0.16049382716049382,7,0.8321058654387465,8,2516.T,"{""1306.T"": 0.020419541887377934, ""1321.T"": 0.0261152346421889, ""1328.T"": -999.0, ""1489.T"": 0.004428739279328631, ""1593.T"": 0.027794237643953168, ""2516.T"": 0.1389032019785088}"
2020-05-20,normal,True,normal,True,concentrated,0.2222222222222222,0.16049382716049382,7,0.8143333890554623,6,2516.T,"{""1306.T"": 0.03346813427961892, ""1321.T"": -999.0, ""1328.T"": 0.05191131912494418, ""1489.T"": -999.0, ""1593.T"": 0.034123323363737135, ""2516.T"": 0.1475231056024403}"
2020-05-21,normal,True,normal,True,concentrated,0.2222222222222222,0.16049382716049382,7,0.8116121690697472,6,2516.T,"{""1306.T"": -999.0, ""1321.T"": 0.046869745614575575, ""1328.T"": -999.0, ""1489.T"": 0.030235602870303357, ""1593.T"": -999.0, ""2516.T"": 0.1566635612761469}"
2020-05-22,normal,True,normal,True,concentrated,0.2222222222222222,0.16049382716049382,7,0.6949301362151351,7,2516.T,"{""1306.T"": -999.0, ""1321.T"": -999.0, ""1328.T"": -999.0, ""1489.T"": -999.0, ""1593.T"": -999.0, ""2516.T"": 0.23128549639223828}"
2020-05-25,settling,True,uptrend,False,concentrated,0.2222222222222222,0.16049382716049382,7,0.6670223561544504,5,,{}
2020-05-26,normal,True,normal,True,concentrated,0.2222222222222222,0.16049382716049382,7,0.7552856065889411,6,2516.T,"{""1306.T"": 0.07259401386059006, ""1321.T"": 0.07931484160007474, ""1328.T"": -999.0, ""1489.T"": 0.05612303813083719, ""1593.T"": 0.0705831284545706, ""2516.T"": 0.20833236929093202}"
2020-05-27,surge,True,surge,False,concentrated,0.2222222222222222,0.16049382716049382,7,0.835936256233715,5,,{}
2020-05-28,normal,True,normal,True,concentrated,0.2222222222222222,0.16049382716049382,7,0.8081665835547256,5,,"{""1306.T"": 0.09266484271441489, ""1321.T"": 0.09869345934682527, ""1328.T"": -0.026104504733453715, ""1489.T"": 0.10055900343650104, ""1593.T"": 0.09305946648037344, ""2516.T"": -999.0}"
2020-05-29,normal,True,normal,True,concentrated,0.2222222222222222,0.16049382716049382,7,0.7275341339103384,6,2516.T,"{""1306.T"": -999.0, ""1321.T"": -999.0, ""1328.T"": -999.0, ""1489.T"": -999.0, ""1593.T"": -999.0, ""2516.T"": 0.11875493194245446}"
2020-06-01,normal,True,normal,True,concentrated,0.2222222222222222,0.16049382716049382,7,0.8164032772202341,5,2516.T,"{""1306.T"": -999.0, ""1321.T"": 0.1276051977349204, ""1328.T"": -0.0007676376971350596, ""1489.T"": -999.0, ""1593.T"": -999.0, ""2516.T"": 0.1846293931648676}"
2020-06-02,normal,True,normal,True,concentrated,0.3333333333333333,0.19444444444444448,7,0.6941977417986944,9,2516.T,"{""1306.T"": 0.08583774237232678, ""1321.T"": 0.11470403786377081, ""1328.T"": -999.0, ""1489.T"": 0.08638038682380555, ""1593.T"": 0.0903857087531943, ""2516.T"": 0.12741675078288128}"
2020-06-03,normal,True,normal,True,dispersed,0.3333333333333333,0.19444444444444448,7,0.5076911485838341,9,,{}
2020-06-04,normal,True,normal,True,concentrated,0.3333333333333333,0.19444444444444448,7,0.5507584127222622,9,2516.T,"{""1306.T"": 0.07773977070693905, ""1321.T"": 0.12089855060558807, ""1328.T"": -999.0, ""1489.T"": 0.07920445122931885, ""1593.T"": 0.07493205153407334, ""2516.T"": -999.0}"
2020-06-05,normal,True,normal,True,dispersed,0.3333333333333333,0.19444444444444448,7,0.5085512829539668,8,,{}
2020-06-08,uptrend,True,uptrend,False,concentrated,0.3333333333333333,0.19444444444444448,7,0.6689649049017675,8,,{}
2020-06-09,uptrend,True,uptrend,False,concentrated,0.3333333333333333,0.19444444444444448,7,0.8342611181607077,6,,{}
2020-06-10,uptrend,True,uptrend,False,concentrated,0.3333333333333333,0.19444444444444448,7,0.9728107052174512,6,,{}
2020-06-11,settling,True,settling,True,concentrated,0.3333333333333333,0.19444444444444448,7,0.6549135645433689,11,2516.T,"{""1306.T"": -999.0, ""1321.T"": -999.0, ""1328.T"": -0.004969484753227116, ""1489.T"": -999.0, ""1593.T"": -999.0, ""2516.T"": 0.09777369905599043}"
2020-06-12,normal,True,normal,True,concentrated,0.3333333333333333,0.19444444444444448,7,0.8367533440806969,8,,"{""1306.T"": -999.0, ""1321.T"": -999.0, ""1328.T"": -999.0, ""1489.T"": -999.0, ""1593.T"": -999.0, ""2516.T"": -999.0}"
2020-06-15,normal,True,normal,True,concentrated,0.3333333333333333,0.19444444444444448,7,0.7624610882656809,7,,"{""1306.T"": -999.0, ""1321.T"": -999.0, ""1328.T"": -0.005052259556275751, ""1489.T"": -999.0, ""1593.T"": -999.0, ""2516.T"": -999.0}"
2020-06-16,crash,True,crash,False,concentrated,0.23809523809523808,0.1292517006802721,11,0.8801252064744107,7,,{}
2020-06-17,surge,True,surge,False,concentrated,0.23809523809523808,0.1292517006802721,11,0.6769728467143079,13,,{}
2020-06-18,downtrend,True,high_vol,True,concentrated,0.23809523809523808,0.1292517006802721,11,0.6108891251464437,10,,"{""1306.T"": -999.0, ""1321.T"": -999.0, ""1328.T"": 0.005842298664583412, ""1489.T"": -999.0, ""1593.T"": -999.0, ""2516.T"": -999.0}"
2020-06-19,downtrend,True,high_vol,True,concentrated,0.23809523809523808,0.1292517006802721,11,0.6387693506957064,10,2516.T,"{""1306.T"": 0.013300975426154271, ""1321.T"": 0.01655284482694952, ""1328.T"": -999.0, ""1489.T"": 0.0059110282774984535, ""1593.T"": 0.008706220968420664, ""2516.T"": 0.0910254551966464}"
2020-06-22,downtrend,True,high_vol,True,concentrated,0.23809523809523808,0.1292517006802721,11,0.5648758082308779,13,2516.T,"{""1306.T"": -999.0, ""1321.T"": -999.0, ""1328.T"": 0.037040646644140085, ""1489.T"": -999.0, ""1593.T"": -999.0, ""2516.T"": 0.11075853002665681}"
2020-06-23,downtrend,True,high_vol,True,dispersed,0.23809523809523808,0.1292517006802721,11,0.39198717363555136,19,,{}
2020-06-24,downtrend,True,high_vol,True,dispersed,0.23809523809523808,0.1292517006802721,11,0.4468447553932772,15,,{}
2020-06-25,downtrend,True,high_vol,True,dispersed,0.23809523809523808,0.1292517006802721,11,0.5335111031771343,16,,{}
2020-06-26,downtrend,True,high_vol,True,concentrated,0.23809523809523808,0.1292517006802721,11,0.6416793750265489,14,2516.T,"{""1306.T"": 0.00047243856044842936, ""1321.T"": 0.01882061022741499, ""1328.T"": 0.05749130861800189, ""1489.T"": -0.01773597660006776, ""1593.T"": 0.014728290064846106, ""2516.T"": -999.0}"
2020-06-29,downtrend,True,high_vol,True,concentrated,0.23809523809523808,0.1292517006802721,11,0.6232890677355131,17,2516.T,"{""1306.T"": -999.0, ""1321.T"": -999.0, ""1328.T"": 0.06577641085517061, ""1489.T"": -999.0, ""1593.T"": -999.0, ""2516.T"": -999.0}"
2020-06-30,high_vol,True,high_vol,True,concentrated,0.3333333333333333,0.17901234567901236,9,0.7097704997476043,11,1328.T,"{""1306.T"": -0.01245663310513101, ""1321.T"": -0.011791577172621248, ""1328.T"": 0.12881037370690318, ""1489.T"": -999.0, ""1593.T"": -0.010419262418235209, ""2516.T"": -0.035598969465984176}"
