date,ticker,action,price,shares,reason,nikkei_phase
2020-04-01,2516.T,BUY,480.96,6200,post_major_multi_etf_entry,capitulation_end
2020-04-02,2516.T,SELL,464.0,6200,stop_loss,crash
2020-04-07,2516.T,BUY,489.0,5900,post_major_multi_etf_entry,downtrend
2020-04-09,2516.T,SELL,510.0,5900,sell_signal,surge
2020-04-14,2516.T,BUY,523.044,5700,post_major_multi_etf_entry,downtrend
2020-04-15,2516.T,SELL,542.0,5700,sell_signal,surge
2020-04-23,2516.T,BUY,562.0,5500,post_major_multi_etf_entry,high_vol
2020-04-24,2516.T,SELL,575.0,5500,sell_signal,high_vol
2020-04-27,2516.T,BUY,583.0,5400,post_major_multi_etf_entry,high_vol
2020-05-01,2516.T,SELL,597.0,5400,sell_signal,surge
2020-05-12,2516.T,BUY,644.286,5000,post_major_multi_etf_entry,high_vol
2020-05-14,2516.T,SELL,623.0,5000,stop_loss,high_vol
2020-05-18,2516.T,BUY,647.292,4800,post_major_multi_etf_entry,high_vol
2020-05-20,2516.T,SELL,692.0,4800,take_profit,normal
2020-05-20,2516.T,BUY,686.37,4900,post_major_multi_etf_entry,normal
2020-05-25,2516.T,SELL,739.0,4900,take_profit,settling
2020-05-25,2036.T,BUY,16493.75,100,q3_post_high_vol_entry,settling
2020-05-26,2036.T,SELL,16370.0,100,sell_signal,normal
2020-05-26,2516.T,BUY,753.0,4800,post_major_multi_etf_entry,normal
2020-05-27,2516.T,SELL,730.0,4800,stop_loss,surge
2020-05-29,2516.T,BUY,731.46,4800,post_major_multi_etf_entry,normal
2020-06-03,2516.T,SELL,768.0,4800,sell_signal,normal
2020-06-03,2413.T,BUY,4520.0,100,post_major_prev_high_break_entry,normal
2020-06-03,4187.T,BUY,1953.9,200,post_major_prev_high_break_entry,normal
2020-06-04,2413.T,SELL,4545.0,100,sell_signal,normal
2020-06-04,4187.T,SELL,2031.0,200,sell_signal,normal
2020-06-05,3750.T,BUY,1443.882,300,post_major_prev_high_break_entry,normal
2020-06-05,3804.T,BUY,1125.246,400,post_major_prev_high_break_entry,normal
2020-06-08,3750.T,SELL,1715.0,300,take_profit,uptrend
2020-06-08,3804.T,SELL,1180.0,400,sell_signal,uptrend
2020-06-11,2516.T,BUY,791.58,4800,post_major_multi_etf_entry,settling
2020-06-12,2516.T,SELL,763.0,4800,stop_loss,normal
2020-06-16,3038.T,BUY,3085.0,100,q2_defensive_entry,crash
2020-06-16,6254.T,BUY,461.0,1000,q2_defensive_entry,crash
2020-06-16,3981.T,BUY,1732.0,200,q2_defensive_entry,crash
2020-06-16,3804.T,BUY,1428.0,300,q2_defensive_entry,crash
2020-06-16,3750.T,BUY,1550.35,300,q2_defensive_entry,crash
2020-06-16,7038.T,BUY,1520.0,300,q2_defensive_entry,crash
2020-06-16,4187.T,BUY,1965.0,200,q2_defensive_entry,crash
2020-06-16,6323.T,BUY,515.0,900,q2_defensive_entry,crash
2020-06-16,4526.T,BUY,2254.0,100,q2_defensive_entry,crash
2020-06-16,9896.T,BUY,792.85,100,q2_defensive_entry,crash
2020-06-17,3038.T,SELL,3035.0,100,sell_signal,surge
2020-06-17,6254.T,SELL,471.25,1000,sell_signal,surge
2020-06-17,3981.T,SELL,1796.0,200,sell_signal,surge
2020-06-17,3804.T,SELL,1359.0,300,stop_loss,surge
2020-06-17,3750.T,SELL,1582.0,300,sell_signal,surge
2020-06-17,7038.T,SELL,1475.5,300,sell_signal,surge
2020-06-17,4187.T,SELL,1966.0,200,sell_signal,surge
2020-06-17,6323.T,SELL,547.0,900,take_profit,surge
2020-06-17,4526.T,SELL,2295.0,100,sell_signal,surge
2020-06-17,9896.T,SELL,791.0,100,sell_signal,surge
2020-06-19,2516.T,BUY,794.0,4600,post_major_multi_etf_entry,downtrend
2020-06-23,2516.T,SELL,806.0,4600,sell_signal,downtrend
2020-06-23,2036.T,BUY,16583.1,100,post_major_prev_high_break_entry,downtrend
2020-06-23,9697.T,BUY,996.25,500,post_major_prev_high_break_entry,downtrend
2020-06-24,9697.T,SELL,1005.0,500,sell_signal,downtrend
2020-06-24,3038.T,BUY,3081.15,100,post_major_prev_high_break_entry,downtrend
2020-06-24,2413.T,BUY,4544.07,100,post_major_prev_high_break_entry,downtrend
2020-06-25,2036.T,SELL,16940.0,100,sell_signal,downtrend
2020-06-25,9697.T,BUY,1007.01,400,post_major_prev_high_break_entry,downtrend
2020-06-25,9823.T,BUY,413.826,1200,post_major_prev_high_break_entry,downtrend
2020-06-26,3038.T,SELL,3090.0,100,sell_signal,downtrend
2020-06-26,2413.T,SELL,4620.0,100,sell_signal,downtrend
2020-06-26,9697.T,SELL,1020.0,400,sell_signal,downtrend
2020-06-26,9823.T,SELL,409.2000122070313,1200,sell_signal,downtrend
2020-06-30,1328.T,BUY,5200.0,700,post_major_multi_etf_entry,high_vol
2020-06-30,1328.T,SELL,5280.0,700,end_of_backtest,high_vol
