date,nikkei_phase,equity
2023-01-04,downtrend,3000000.0
2023-01-05,downtrend,3000000.0
2023-01-06,downtrend,3000000.0
2023-01-10,downtrend,3000000.0
2023-01-11,downtrend,3000000.0
2023-01-12,downtrend,3000000.0
2023-01-13,downtrend,3000000.0
2023-01-16,downtrend,3000000.0
2023-01-17,downtrend,3000000.0
2023-01-18,downtrend,3000000.0
2023-01-19,normal,3002711.499885559
2023-01-20,normal,3041578.182319641
2023-01-23,normal,3052778.167060852
2023-01-24,normal,3057621.4922561646
2023-01-25,normal,3070924.817451477
2023-01-26,normal,3068124.817451477
2023-01-27,normal,3069043.317451477
2023-01-30,normal,3140809.9922561646
2023-01-31,normal,3162309.9922561646
2023-02-01,normal,3132366.4922561646
2023-02-02,normal,3146188.4922561646
2023-02-03,normal,3121842.4922561646
2023-02-06,normal,3071061.4922561646
2023-02-07,normal,3086360.1172561646
2023-02-08,normal,3078802.1172561646
2023-02-09,normal,3089402.1172561646
2023-02-10,normal,3069997.1172561646
2023-02-13,normal,3016311.1172561646
2023-02-14,uptrend,3048529.717475891
2023-02-15,uptrend,3091289.7394485474
2023-02-16,normal,3105906.2516555786
2023-02-17,uptrend,3128506.2516555786
2023-02-20,uptrend,3152506.2394485474
2023-02-21,stable,3142106.227241516
2023-02-22,stable,3137530.977241516
2023-02-24,stable,3222311.977241516
2023-02-27,stable,3263891.977241516
2023-02-28,stable,3282756.977241516
2023-03-01,stable,3311956.977241516
2023-03-02,stable,3324017.977241516
2023-03-03,stable,3382458.977241516
2023-03-06,stable,3395483.977241516
2023-03-07,stable,3413380.977241516
2023-03-08,stable,3468930.977241516
2023-03-09,stable,3464555.977241516
2023-03-10,uptrend,3405005.977241516
2023-03-13,stable,3365330.977241516
2023-03-14,stable,3277255.977241516
2023-03-15,normal,3348555.977241516
2023-03-16,normal,3272305.977241516
2023-03-17,normal,3262975.627510071
2023-03-20,normal,3152025.627510071
2023-03-22,normal,3150292.3023147583
2023-03-23,normal,3156481.627510071
2023-03-24,normal,3155181.627510071
2023-03-27,normal,3144864.627510071
2023-03-28,normal,3119242.127510071
2023-03-29,normal,3146542.127510071
2023-03-30,settling,3170584.627510071
2023-03-31,settling,3227122.5271987915
