date,ticker,action,price,shares,reason,nikkei_phase
2023-01-19,7972.T,BUY,668.885,700,condition2_entry,normal
2023-01-19,2652.T,BUY,195.69200309753415,2500,condition2_entry,normal
2023-01-19,9362.T,BUY,2278.6749999999997,200,condition2_entry,normal
2023-01-19,8075.T,BUY,1755.9499999999998,200,condition2_entry,normal
2023-01-19,7343.T,BUY,1112.4399999999998,400,condition2_entry,normal
2023-01-19,1972.T,BUY,675.9899999999999,700,condition2_entry,normal
2023-01-19,1786.T,BUY,307.54499999999996,1000,condition2_entry,normal
2023-01-23,2652.T,SELL,196.0,2500,sell_signal,normal
2023-01-24,7972.T,SELL,676.0,700,sell_signal,normal
2023-01-24,4216.T,BUY,2902.8999999999996,100,condition2_entry,normal
2023-01-25,7343.T,SELL,1224.0,400,take_profit,normal
2023-01-25,6364.T,BUY,1360.1,300,condition2_entry,normal
2023-01-26,1972.T,SELL,698.0,700,pre_earnings_exit,normal
2023-01-27,9362.T,SELL,2161.0,200,stop_loss,normal
2023-01-27,1972.T,BUY,691.2149999999999,700,condition2_entry,normal
2023-01-27,8341.T,BUY,2209.6549999999997,200,condition2_entry,normal
2023-01-30,1972.T,SELL,736.0,700,sell_signal,normal
2023-01-30,8341.T,SELL,2359.0,200,sell_signal,normal
2023-01-31,8075.T,SELL,1900.0,200,take_profit,normal
2023-02-01,4216.T,SELL,2711.0,100,stop_loss,normal
2023-02-01,5408.T,BUY,995.7149999999999,500,condition2_entry,normal
2023-02-01,7173.T,BUY,2967.8599999999997,100,condition2_entry,normal
2023-02-02,7173.T,SELL,2804.0,100,stop_loss,normal
2023-02-02,5410.T,BUY,2640.0,100,condition2_entry,normal
2023-02-02,8037.T,BUY,1473.7799999999997,300,condition2_entry,normal
2023-02-02,6919.T,BUY,1882.8249999999998,200,condition2_entry,normal
2023-02-02,4687.T,BUY,814.0,600,condition2_entry,normal
2023-02-02,6507.T,BUY,1609.7899999999997,100,condition2_entry,normal
2023-02-03,5408.T,SELL,1052.0,500,sell_signal,normal
2023-02-03,5410.T,SELL,2883.0,100,take_profit,normal
2023-02-03,7991.T,BUY,1632.12,300,condition2_entry,normal
2023-02-03,5816.T,BUY,799.8199999999999,500,condition2_entry,normal
2023-02-06,6507.T,SELL,1599.0,100,pre_earnings_exit,normal
2023-02-06,7991.T,SELL,1605.0,300,sell_signal,normal
2023-02-06,5816.T,SELL,705.0,500,stop_loss,normal
2023-02-06,5410.T,BUY,2930.0,100,condition2_entry,normal
2023-02-06,1972.T,BUY,730.8,600,condition2_entry,normal
2023-02-06,8014.T,BUY,2369.0099999999998,100,condition2_entry,normal
2023-02-07,5410.T,SELL,2996.0,100,sell_signal,normal
2023-02-07,4439.T,BUY,555.96625,700,condition2_entry,normal
2023-02-08,1786.T,SELL,295.0,1000,sell_signal,normal
2023-02-08,8037.T,SELL,1451.0,300,pre_earnings_exit,normal
2023-02-08,7972.T,BUY,687.155,700,condition2_entry,normal
2023-02-08,3526.T,BUY,1450.435,100,condition2_entry,normal
2023-02-08,8381.T,BUY,816.06,100,condition2_entry,normal
2023-02-10,7972.T,SELL,658.0,700,pre_earnings_exit,normal
2023-02-10,5410.T,BUY,3065.2999999999997,100,condition2_entry,normal
2023-02-10,7991.T,BUY,1595.0,100,condition2_entry,normal
2023-02-13,6919.T,SELL,1833.0,200,sell_signal,normal
2023-02-13,4687.T,SELL,775.5,600,sell_signal,normal
2023-02-13,5410.T,SELL,3095.0,100,sell_signal,normal
2023-02-13,7972.T,BUY,692.2299999999999,700,condition2_entry,normal
2023-02-13,3181.T,BUY,817.5,600,condition2_entry,normal
2023-02-14,4439.T,SELL,523.0,700,stop_loss,uptrend
2023-02-14,7991.T,SELL,1540.0,100,sell_signal,uptrend
2023-02-14,7972.T,SELL,735.0,700,sell_signal,uptrend
2023-02-14,3181.T,SELL,763.5,600,stop_loss,uptrend
2023-02-14,2652.T,BUY,200.36099380493164,2400,condition2_entry,uptrend
2023-02-14,1786.T,BUY,308.0,1600,condition2_entry,uptrend
2023-02-15,2652.T,SELL,221.8000030517578,2400,take_profit,uptrend
2023-02-16,8381.T,SELL,829.0,100,sell_signal,normal
2023-02-16,7991.T,BUY,1593.55,300,condition2_entry,normal
2023-02-16,9960.T,BUY,1355.0249999999999,300,condition2_entry,normal
2023-02-16,8233.T,BUY,917.56,400,condition2_entry,normal
2023-02-16,8291.T,BUY,333.93499999999995,200,condition2_entry,normal
2023-02-21,8014.T,SELL,2566.0,100,take_profit,stable
2023-02-22,8233.T,SELL,925.5,400,sell_signal,stable
2023-02-22,5288.T,BUY,657.7199999999999,700,breakout_1p5_entry,stable
2023-02-22,9621.T,BUY,1773.7124999999999,100,breakout_1p5_entry,stable
2023-02-24,1972.T,SELL,800.0,600,take_profit,stable
2023-02-24,1786.T,SELL,326.0,1600,sell_signal,stable
2023-02-24,9621.T,SELL,1802.5,100,sell_signal,stable
2023-02-24,4439.T,BUY,589.46125,800,breakout_1p5_entry,stable
2023-02-27,9960.T,SELL,1496.6666259765625,300,take_profit,stable
2023-02-27,5288.T,SELL,743.0,700,take_profit,stable
2023-02-27,7343.T,BUY,1228.0,400,breakout_1p5_entry,stable
2023-02-27,6905.T,BUY,1136.8,400,breakout_1p5_entry,stable
2023-02-28,6819.T,BUY,330.89,1500,breakout_1p5_entry,stable
2023-03-01,7343.T,SELL,1183.0,400,sell_signal,stable
2023-03-02,6819.T,SELL,334.0,1500,sell_signal,stable
2023-03-02,6547.T,BUY,1372.28,300,breakout_1p5_entry,stable
2023-03-02,5352.T,BUY,1651.9125,300,breakout_1p5_entry,stable
2023-03-02,9621.T,BUY,1814.3124999999998,100,breakout_1p5_entry,stable
2023-03-03,6364.T,SELL,1488.0,300,take_profit,stable
2023-03-03,7991.T,SELL,1758.0,300,take_profit,stable
2023-03-03,4439.T,SELL,633.75,800,sell_signal,stable
2023-03-03,9621.T,SELL,1777.5,100,sell_signal,stable
2023-03-03,8337.T,BUY,583.625,800,breakout_1p5_entry,stable
2023-03-03,2585.T,BUY,700.3499999999999,700,breakout_1p5_entry,stable
2023-03-03,8596.T,BUY,935.8299999999999,500,breakout_1p5_entry,stable
2023-03-03,9368.T,BUY,518.665,600,breakout_1p5_entry,stable
2023-03-03,2411.T,BUY,444.0,100,breakout_1p5_entry,stable
2023-03-07,8337.T,SELL,576.0,800,sell_signal,stable
2023-03-07,6334.T,BUY,322.77,1400,breakout_1p5_entry,stable
2023-03-08,8291.T,SELL,363.0,200,take_profit,stable
2023-03-10,6547.T,SELL,1307.0,300,sell_signal,uptrend
2023-03-15,7537.T,BUY,1447.0,300,condition2_entry,normal
2023-03-16,7537.T,SELL,1418.0,300,sell_signal,normal
2023-03-17,8596.T,SELL,884.0,500,stop_loss,normal
2023-03-17,3791.T,BUY,660.0,700,condition2_entry,normal
2023-03-17,2813.T,BUY,2666.066749267578,100,condition2_entry,normal
2023-03-17,2666.T,BUY,214.165,800,condition2_entry,normal
2023-03-20,6905.T,SELL,1073.0,400,stop_loss,normal
2023-03-20,5352.T,SELL,1567.5,300,stop_loss,normal
2023-03-20,2585.T,SELL,662.25,700,stop_loss,normal
2023-03-20,6334.T,SELL,307.0,1400,sell_signal,normal
2023-03-20,3791.T,SELL,623.75,700,stop_loss,normal
2023-03-22,5410.T,BUY,3335.0,100,condition2_entry,normal
2023-03-23,2813.T,SELL,2483.333251953125,100,stop_loss,normal
2023-03-23,6334.T,BUY,310.59,1600,condition2_entry,normal
2023-03-24,5410.T,SELL,3210.0,100,sell_signal,normal
2023-03-27,7043.T,BUY,1447.3899999999999,300,condition2_entry,normal
2023-03-28,5410.T,BUY,3263.225,100,condition2_entry,normal
2023-03-29,3526.T,SELL,1469.0,100,sell_signal,normal
2023-03-29,9368.T,SELL,515.5,600,sell_signal,normal
2023-03-30,2411.T,SELL,438.0,100,pre_earnings_exit,settling
2023-03-30,2666.T,SELL,211.0,800,pre_earnings_exit,settling
2023-03-30,6334.T,SELL,318.0,1600,pre_earnings_exit,settling
