segment_id,nikkei_phase,rule_name,start,end,days,pnl,return_pct_on_segment_start_equity
1,uptrend,condition2,2025-07-01,2025-07-01,1,-9464.325073242188,-0.31547750244140804
2,settling,no_trade,2025-07-02,2025-07-02,1,-18000.0,-0.6018988554764793
3,uptrend,condition2,2025-07-03,2025-07-11,7,109420.0,3.6810323564138825
4,stable,breakout_1p5,2025-07-14,2025-07-16,3,-12000.0,-0.38936315981523695
5,uptrend,condition2,2025-07-17,2025-07-23,4,0.0,0.0
6,normal,condition2,2025-07-24,2025-07-28,3,28000.0,0.9120652857852019
7,high_vol,no_trade,2025-07-29,2025-08-05,6,-36000.0,-1.1620566521130415
8,settling,no_trade,2025-08-06,2025-08-06,1,0.0,0.0
9,uptrend,condition2,2025-08-07,2025-08-13,4,-4499.674865722656,-0.1469542783577471
10,normal,condition2,2025-08-14,2025-08-14,1,-1033.3251953125,-0.033796895042537134
11,overheated_range,breakout_1p5,2025-08-15,2025-08-18,2,10416.66259765625,0.3408122405097025
12,settling,no_trade,2025-08-19,2025-08-19,1,11866.66259765625,0.3869346024324649
13,normal,condition2,2025-08-20,2025-08-25,4,5230.000061035156,0.16987656700351295
14,settling,no_trade,2025-08-26,2025-08-27,2,28216.6748046875,0.914956562119662
15,uptrend,condition2,2025-08-28,2025-09-08,8,95299.50000000047,3.062173034368998
16,stable,breakout_1p5,2025-09-09,2025-09-09,1,-15000.0,-0.46766090909344804
17,normal,condition2,2025-09-10,2025-09-10,1,53000.0,1.6601658253883045
18,uptrend,condition2,2025-09-11,2025-09-12,2,17400.0,0.5361348453823078
19,stable,breakout_1p5,2025-09-16,2025-09-17,2,-95700.0,-2.933016724919457
20,uptrend,condition2,2025-09-18,2025-09-30,8,-11240.0,-0.35489295680147803
