phase,baseline_method,trial_method,objective_total_pnl,objective_total_return_pct,delta_vs_best_pnl
surge,no_trade,condition2,990039.6749267578,11.00044083251952,-443850.0
surge,no_trade,breakout_1p5,990039.6749267578,11.00044083251952,-443850.0
surge,no_trade,q3_post_high_vol,1093686.1749267578,12.152068610297317,-340203.5
surge,no_trade,no_trade,1433889.6749267578,15.932107499186188,0.0
crash,no_trade,condition2,1433889.6749267578,15.932107499186188,0.0
crash,no_trade,breakout_1p5,1433889.6749267578,15.932107499186188,0.0
crash,no_trade,q3_post_high_vol,1392089.6749267578,15.467663054741742,-41800.0
crash,no_trade,no_trade,1416589.6749267578,15.739885276963971,-17300.0
high_vol,no_trade,condition2,1181569.6749267597,13.128551943630672,-252319.99999999814
high_vol,no_trade,breakout_1p5,1181569.6749267597,13.128551943630672,-252319.99999999814
high_vol,no_trade,q3_post_high_vol,1433889.6749267578,15.932107499186188,0.0
high_vol,no_trade,no_trade,796111.8253173828,8.845686947970922,-637777.849609375
settling,no_trade,condition2,1410223.1749267578,15.669146388075085,-23666.5
settling,no_trade,breakout_1p5,1410223.1749267578,15.669146388075085,-23666.5
settling,no_trade,q3_post_high_vol,1433889.6749267578,15.932107499186188,0.0
settling,no_trade,no_trade,1178086.3497924805,13.089848331027554,-255803.32513427734
