date,phase,equity,pnl_day
2026-01-05,normal,3000000.0,0.0
2026-01-06,normal,3030180.5,30180.5
2026-01-07,normal,3016980.5,-13200.0
2026-01-08,normal,3010780.5,-6200.0
2026-01-09,normal,3024080.5,13300.0
2026-01-13,normal,3022580.5,-1500.0
2026-01-14,normal,3056780.5,34200.0
2026-01-15,normal,3092580.5,35800.0
2026-01-16,surge,3092680.5,100.0
2026-01-19,high_vol,3102881.5,10201.0
2026-01-20,high_vol,3082981.5,-19900.0
2026-01-21,high_vol,3068381.5,-14600.0
2026-01-22,high_vol,3096281.5,27900.0
2026-01-23,normal,3086030.5,-10251.0
2026-01-26,high_vol,3045030.5,-41000.0
2026-01-27,settling,3047030.5,2000.0
2026-01-28,settling,3031030.5,-16000.0
2026-01-29,settling,3029030.5,-2000.0
2026-01-30,uptrend,2954127.5000000005,-74902.99999999953
2026-02-02,uptrend,2864127.5000000005,-90000.0
2026-02-03,normal,2950683.5000000005,86556.0
2026-02-04,normal,3012275.0000000005,61591.5
2026-02-05,normal,3012075.0000000005,-200.0
2026-02-06,normal,3061475.0000000005,49400.0
2026-02-09,surge,3044475.0000000005,-17000.0
2026-02-10,surge,3078475.0000000005,34000.0
2026-02-12,surge,3202975.0000000005,124500.0
2026-02-13,surge,3086975.0000000005,-116000.0
2026-02-16,high_vol,3047975.0000000005,-39000.0
2026-02-17,high_vol,3021575.0000000005,-26400.0
2026-02-18,high_vol,3031291.0000000005,9716.0
2026-02-19,high_vol,3055891.0000000005,24600.0
2026-02-20,high_vol,3055891.0000000005,0.0
2026-02-24,high_vol,3055891.0000000005,0.0
2026-02-25,normal,3043765.000000001,-12125.999999999534
2026-02-26,settling,3044765.000000001,1000.0
2026-02-27,settling,3044765.000000001,0.0
2026-03-02,uptrend,3044765.000000001,0.0
2026-03-03,high_vol,3044765.000000001,0.0
2026-03-04,crash,3044765.000000001,0.0
2026-03-05,crash,3044765.000000001,0.0
2026-03-06,crash,3044765.000000001,0.0
2026-03-09,crash,3044765.000000001,0.0
2026-03-10,high_vol,3039365.000000001,-5400.0
