ticker,company_name,market,simple_sector,sector,feature_summary,segment_summary,flags,headline_positive_count,headline_negative_count,headline_score_raw,shikiho_score_overall,score_growth,score_profitability,score_safety,score_undervalued,score_momentum,ocr_per,actual_pbr,forecast_yield,ytd_return_text_pct,ma200_gap_pct,equity_ratio_pct,sales_growth_pct,op_growth_pct,np_growth_pct,eps_growth_pct,div_growth_pct,annual_return_pct,quarter_return_pct,trend_r2,max_drawdown_pct,positive_month_ratio_pct,persistence_20d_pct,year_end_close,sector_33,sector_adjusted_per_score,fundamental_score,price_score,valuation_score,promising_score,selected,selection_reason
7483.T,ドウシシャ,東証プライム,卸売/他個人サービス・製品,卸売/他個人サービス・製品,,,業績予想更新あり / 優待あり / 貸借,2,0,2,4.0,3.0,4.0,5.0,3.0,5.0,15.01,1.3,2.92,,,,7.513669595134242,27.84880489160644,24.82446559525666,21.74851592012952,117670.58823529413,52.284263959390856,18.49192100538599,0.9430910336706466,10.058637798827242,83.33333333333334,100.0,3300.0,卸売業,1.0,0.678138741206665,0.9051610996157258,0.7838370407954873,0.8014384624085068,True,score=0.801 | annual=52.3 | q4=18.5 | trend_r2=0.943 | per_score=1.0
9034.T,南総通運,東証スタンダード,前号並み/陸運,前号並み/陸運,,,信用 / 最新の四季報作成後に通期業績予想の変更はありません。,4,0,4,4.0,3.0,5.0,4.0,4.0,4.0,10.77,0.66,4.39,,,,5.550726437352549,6.541129831516357,8.029197080291972,13.23210412147504,20.0,53.89671361502349,14.216027874564464,0.9351673145178704,12.652705061082026,83.33333333333334,100.0,1639.0,陸運業,1.0,0.6807683371024266,0.88779190067987,0.9301821822338484,0.8238117097385605,True,score=0.824 | annual=53.9 | q4=14.2 | trend_r2=0.935 | per_score=1.0
3020.T,アプライド,東証スタンダード,増額/小売,増額/小売,,,優待あり / 信用 / 【増益幅拡大】	化粧品・雑貨の輸出には円高逆風。ただパソコン販売にウィンドウズ10サポート終了で駆け込み特需。前号より営業増益幅拡大。特配20円。27年3月期は特需一巡だが、名古屋生産工場と仙台店の寄与通期化や豊田店開業あり、落ち込み小。 / 最新の四季報作成後に通期業績予想の変更はありません。,4,0,4,3.0,3.0,3.0,3.0,5.0,4.0,5.6,0.83,2.97,,,,0.4483166976822827,8.736407949006363,10.356536502546687,10.304234826479131,20.0,63.52549889135255,14.341085271317834,0.9242760943683692,14.467353951890038,75.0,80.0,4425.0,小売業,1.0,0.5517332831688211,0.867035175879397,0.8472637449093489,0.7527252272366858,True,score=0.753 | annual=63.5 | q4=14.3 | trend_r2=0.924 | per_score=1.0
4977.T,新田ゼラチン,東証スタンダード,化学/食品,化学/食品,,,業績予想更新あり / 優待あり / 貸借,1,0,1,4.0,4.0,3.0,3.0,5.0,5.0,7.91,1.05,2.21,,,,3.23912762937153,1.781170483460559,-1.8676796454574207,-2.01265094882116,,68.4782608695652,24.248496993987967,0.9226678061235568,19.9764982373678,75.0,75.0,1240.0,化学,1.0,0.553651421614632,0.8719775347324858,0.7779556337978024,0.7417590149543003,True,score=0.742 | annual=68.5 | q4=24.2 | trend_r2=0.923 | per_score=1.0
2805.T,ヱスビー食品,東証スタンダード,前号並み/食料品,前号並み/食料品,,,優待あり / 信用 / 最新の四季報作成後に通期業績予想の変更はありません。,2,0,2,3.0,2.0,3.0,3.0,3.0,5.0,15.44,1.17,1.07,,,,2.817357512953378,1.6733742851090971,4.428288169200267,4.408945686900956,20.0,51.78907721280604,22.49240121580547,0.913829697501998,15.182113234763792,66.66666666666666,100.0,4030.0,食料品,1.0,0.4122142054331114,0.8790363582618979,0.7204076835883505,0.6839228698371131,False,score=0.684 | annual=51.8 | q4=22.5 | trend_r2=0.914 | per_score=1.0
6317.T,北川鉄工所,東証スタンダード,機械/産業機械,機械/産業機械,,,業績予想更新あり / 貸借,3,0,3,3.0,3.0,2.0,3.0,5.0,4.0,5.87,0.36,4.98,,,,0.0349162011173076,1.4957264957264904,92.6163723916533,92.14814814814814,56.00000000000001,45.95959595959596,9.746835443037982,0.8873547331463401,23.02936630602782,66.66666666666666,45.0,1734.0,機械,1.0,0.5372281239135854,0.7548980195093112,0.9760958710555652,0.7229531263600579,False,score=0.723 | annual=46.0 | q4=9.7 | trend_r2=0.887 | per_score=1.0
2384.T,SBSホールディングス,東証プライム,陸運/倉庫・運輸サービス,陸運/倉庫・運輸サービス,,,業績予想更新あり / 貸借,2,0,2,3.0,3.0,3.0,2.0,4.0,4.0,11.63,1.62,2.65,,,,,,,,,60.98807495741057,6.779661016949157,0.8850598008439399,12.575655682582376,75.0,95.0,3780.0,陸運業,1.0,0.2976880963783674,0.8375347324859592,0.7435189749752702,0.6297852583461643,False,score=0.63 | annual=61.0 | q4=6.8 | trend_r2=0.885 | per_score=1.0
3320.T,クロスプラス,東証スタンダード,卸売/アパレル・アクセサリー,卸売/アパレル・アクセサリー,,,業績予想更新あり / 優待あり / 貸借,1,0,1,3.0,1.0,2.0,4.0,5.0,4.0,7.18,0.53,3.58,,,,,,,,,36.39024390243903,10.165484633569744,0.8815408973602367,15.06976744186046,50.0,75.0,1398.0,卸売業,1.0,0.3139083644792013,0.7537097250960685,0.9218408636536132,0.6334054765916739,False,score=0.633 | annual=36.4 | q4=10.2 | trend_r2=0.882 | per_score=1.0
3443.T,川田テクノロジーズ,東証プライム,金属製品/建設・土木,金属製品/建設・土木,,,業績予想更新あり / 貸借,0,0,0,4.0,3.0,4.0,3.0,5.0,5.0,9.96,0.89,3.02,,,,-13.472028892818177,-19.454770755885995,-32.47501575582966,-33.12597200622084,89648.27586206897,62.88160833953835,12.3234916559692,0.8776050149772973,23.540372670807454,75.0,90.0,4375.0,金属製品,1.0,0.4690231767080082,0.8229914277268697,0.8406647273729365,0.7026371997994816,False,score=0.703 | annual=62.9 | q4=12.3 | trend_r2=0.878 | per_score=1.0
9063.T,岡山県貨物運送,東証スタンダード,陸運/陸運,陸運/陸運,,,業績予想更新あり / 信用,2,0,2,3.0,1.0,2.0,3.0,5.0,4.0,3.84,0.33,1.65,,,,1.7055233922703694,26.79162072767365,152.8735632183908,152.75190516511432,0.0,42.29853791227474,18.89204545454546,0.8619957650130299,17.251051893408132,83.33333333333334,95.0,4185.0,陸運業,1.0,0.5613403217067506,0.8454448714159031,0.8544325743218614,0.7478058195988915,True,score=0.748 | annual=42.3 | q4=18.9 | trend_r2=0.862 | per_score=1.0
