date,ticker,sector,action,price,shares,cash_after,table_name,phase,reason,signal_score
2026-01-06,6366.T,建設/建設・土木,BUY,873.0,300,2738100.0,normal,normal,entry,0.8256031721178996
2026-01-06,8387.T,銀行/地方銀行,BUY,1825.985,200,2372903.0,normal,normal,entry,0.6392908386338507
2026-01-06,9534.T,電気ガス/ガス,BUY,786.6249999999999,700,1822265.5,normal,normal,entry,0.5279503563256149
2026-01-06,8075.T,卸売/鉄鋼,BUY,2599.415,200,1302382.5,normal,normal,entry,0.46590551499729055
2026-01-06,8309.T,225/銀行,BUY,4941.0199999999995,100,808280.5,normal,normal,entry,0.4658762319200386
2026-01-09,8075.T,卸売/鉄鋼,SELL,2617.0,200,1331680.5,normal,normal,sell_signal,
2026-01-13,5331.T,ガラス土石/電子部品・産業用電子機器,BUY,6150.0,100,716680.5,normal,normal,entry,0.63967620479236
2026-01-13,8075.T,卸売/鉄鋼,BUY,2666.0,200,183480.5,normal,normal,entry,0.4734711604197866
2026-01-15,6543.T,サービス/メディア,BUY,1377.0,100,45780.5,normal,normal,entry,0.6716863097387987
2026-01-16,8387.T,銀行/地方銀行,SELL,1978.0,200,441380.5,normal,surge,take_profit,
2026-01-16,9534.T,電気ガス/ガス,SELL,810.0,700,1008380.5,normal,surge,sell_signal,
2026-01-16,8309.T,225/銀行,SELL,5151.0,100,1523480.5,normal,surge,sell_signal,
2026-01-16,5331.T,ガラス土石/電子部品・産業用電子機器,SELL,6320.0,100,2155480.5,normal,surge,sell_signal,
2026-01-16,8075.T,卸売/鉄鋼,SELL,2712.0,200,2697880.5,normal,surge,sell_signal,
2026-01-16,6543.T,サービス/メディア,SELL,1329.0,100,2830780.5,normal,surge,sell_signal,
2026-01-19,6366.T,建設/建設・土木,SELL,909.0,300,3103480.5,normal,high_vol,sell_signal,
2026-01-19,9446.T,増額/情報通信,BUY,699.93,600,2683522.5,high_vol,high_vol,entry,0.6144686105993163
2026-01-19,7551.T,前号並み/輸送用機器,BUY,695.89,1900,1361331.5,high_vol,high_vol,entry,0.4069116608164973
2026-01-19,1724.T,建設/設備工事,BUY,732.25,1800,43281.5,high_vol,high_vol,entry,0.40212474221569977
2026-01-23,9446.T,増額/情報通信,SELL,701.0,600,463881.5,high_vol,normal,sell_signal,
2026-01-23,7551.T,前号並み/輸送用機器,SELL,683.0,1900,1761581.5,high_vol,normal,sell_signal,
