date,ticker,sector,action,price,shares,cash_after,table_name,phase,reason,signal_score
2025-07-01,1938.T,建設業,BUY,1869.6299999999999,500,2065185.0,uptrend,uptrend,entry,0.5658594433987598
2025-07-01,1934.T,建設業,BUY,2149.77,400,1205277.0,uptrend,uptrend,entry,0.5548811494210951
2025-07-02,1938.T,建設業,SELL,1860.0,500,2135277.0,uptrend,settling,sell_signal,
2025-07-02,1934.T,建設業,SELL,2160.0,400,2999277.0,uptrend,settling,sell_signal,
2025-07-02,7419.T,小売業,BUY,1084.066707763672,600,2348836.975341797,high_vol,settling,entry,0.8703699297088218
2025-07-02,8041.T,卸売業,BUY,3509.75,300,1295911.9753417969,high_vol,settling,entry,0.42597415353938695
2025-07-03,8041.T,卸売業,SELL,3550.0,300,2360911.975341797,high_vol,uptrend,sell_signal,
2025-07-09,7419.T,小売業,SELL,1160.0,600,3056911.975341797,high_vol,uptrend,take_profit,
2025-07-10,4619.T,化学,BUY,2049.285,400,2237197.975341797,uptrend,uptrend,entry,0.7428112755688467
2025-07-10,1934.T,建設業,BUY,2249.24,400,1337501.9753417969,uptrend,uptrend,entry,0.6819739512717427
2025-07-10,1950.T,建設業,BUY,2684.6749999999997,400,263631.9753417969,uptrend,uptrend,entry,0.6262618267050012
2025-07-14,4619.T,化学,SELL,2044.0,400,1081231.9753417969,uptrend,stable,sell_signal,
2025-07-14,1934.T,建設業,SELL,2340.0,400,2017231.9753417969,uptrend,stable,sell_signal,
2025-07-14,1950.T,建設業,SELL,2766.0,400,3123631.975341797,uptrend,stable,sell_signal,
2025-07-14,6822.T,電気機器,BUY,3329.2,100,2790711.975341797,normal,stable,entry,0.7322506873286063
2025-07-14,4016.T,情報・通信業,BUY,893.1999999999999,3100,21791.975341796875,normal,stable,entry,0.4514462899474134
2025-07-15,6822.T,電気機器,SELL,3120.0,100,333791.9753417969,normal,stable,stop_loss,
2025-07-16,4016.T,情報・通信業,SELL,831.0,3100,2909891.975341797,normal,stable,stop_loss,
2025-07-23,1938.T,建設業,BUY,1957.9349999999997,1400,168782.97534179734,uptrend,uptrend,entry,0.6420734323677323
2025-07-24,1938.T,建設業,SELL,1953.0,1400,2902982.9753417973,uptrend,normal,sell_signal,
2025-07-24,7322.T,銀行業,BUY,3430.7,100,2559912.9753417973,normal,normal,entry,0.7036436179322705
2025-07-28,3280.T,不動産業,BUY,1199.7299999999998,2100,40479.975341797806,normal,normal,entry,0.5992585710522578
2025-07-29,7322.T,銀行業,SELL,3330.0,100,373479.9753417978,normal,high_vol,sell_signal,
2025-07-29,3280.T,不動産業,SELL,1206.0,2100,2906079.975341798,normal,high_vol,sell_signal,
2025-07-29,8006.T,卸売業,BUY,1207.5,1200,1457079.9753417978,high_vol,high_vol,entry,0.5264685692067214
2025-07-29,4754.T,サービス業,BUY,1474.6,900,129939.9753417978,high_vol,high_vol,entry,0.400205763100298
2025-08-05,4754.T,サービス業,SELL,1509.0,900,1488039.9753417978,high_vol,high_vol,sell_signal,
2025-08-05,3096.T,小売業,BUY,1323.1,1100,32629.975341797806,high_vol,high_vol,entry,0.4846762005976447
2025-08-07,8006.T,卸売業,SELL,1216.25,1200,1492129.9753417978,high_vol,uptrend,sell_signal,
2025-08-07,3096.T,小売業,SELL,1348.0,1100,2974929.975341798,high_vol,uptrend,sell_signal,
2025-08-07,1938.T,建設業,BUY,2119.3199999999997,1400,7881.975341798272,uptrend,uptrend,entry,0.7132944486101853
2025-08-12,1938.T,建設業,SELL,2070.0,1400,2905881.9753417983,uptrend,uptrend,sell_signal,
2025-08-13,6332.T,機械,BUY,2659.2999999999997,1000,246581.97534179874,uptrend,uptrend,entry,0.7396582190659576
2025-08-14,6332.T,機械,SELL,2708.0,1000,2954581.9753417987,uptrend,normal,sell_signal,
2025-08-14,6648.T,電気機器,BUY,1290.0,100,2825581.9753417987,normal,normal,entry,0.8243548664189772
2025-08-14,1867.T,建設業,BUY,2432.955,100,2582286.4753417987,normal,normal,entry,0.6917901100529895
2025-08-14,9691.T,情報・通信業,BUY,3669.2249999999995,100,2215363.9753417987,normal,normal,entry,0.6650129358378299
2025-08-15,1847.T,建設業,BUY,3542.3499999999995,600,89953.9753417992,normal,overheated_range,entry,0.590083450727367
2025-08-18,6648.T,電気機器,SELL,1466.0,100,236553.9753417992,normal,overheated_range,take_profit,
2025-08-19,9691.T,情報・通信業,SELL,3930.0,100,629553.9753417992,normal,settling,sell_signal,
2025-08-19,1847.T,建設業,SELL,3515.0,600,2738553.975341799,normal,settling,sell_signal,
2025-08-20,6648.T,電気機器,BUY,1467.6899999999998,100,2591784.975341799,normal,normal,entry,0.8519814419370452
2025-08-26,6648.T,電気機器,SELL,1488.0,100,2740584.975341799,normal,settling,sell_signal,
2025-08-26,4754.T,サービス業,BUY,1492.0,1800,54984.9753417992,high_vol,settling,entry,0.42791425267469707
