dataset,ticker,name,signal,exit_variant,take_profit_pct,stop_loss_pct,max_hold_days,final_capital,total_return_pct,num_buys,max_drawdown_pct
2025_2q,1306.T,TOPIX ETF,rebound_open,tp5_sl4,5.0,4.0,,3000000.0,0.0,0,0.0
2025_2q,1306.T,TOPIX ETF,rebound_open,tp4_sl3,4.0,3.0,,3000000.0,0.0,0,0.0
2025_2q,1306.T,TOPIX ETF,rebound_open,tp6_sl3,6.0,3.0,,3000000.0,0.0,0,0.0
2025_2q,1306.T,TOPIX ETF,rebound_open,tp6_sl4_time5,6.0,4.0,5.0,3000000.0,0.0,0,0.0
2025_2q,1306.T,TOPIX ETF,crash_reclaim,tp5_sl4,5.0,4.0,,3000000.0,0.0,0,0.0
2025_2q,1306.T,TOPIX ETF,crash_reclaim,tp4_sl3,4.0,3.0,,3000000.0,0.0,0,0.0
2025_2q,1306.T,TOPIX ETF,crash_reclaim,tp6_sl3,6.0,3.0,,3000000.0,0.0,0,0.0
2025_2q,1306.T,TOPIX ETF,crash_reclaim,tp6_sl4_time5,6.0,4.0,5.0,3000000.0,0.0,0,0.0
2025_2q,1321.T,Nikkei225 ETF,rebound_open,tp5_sl4,5.0,4.0,,3000000.0,0.0,0,0.0
2025_2q,1321.T,Nikkei225 ETF,rebound_open,tp4_sl3,4.0,3.0,,3000000.0,0.0,0,0.0
2025_2q,1321.T,Nikkei225 ETF,rebound_open,tp6_sl3,6.0,3.0,,3000000.0,0.0,0,0.0
2025_2q,1321.T,Nikkei225 ETF,rebound_open,tp6_sl4_time5,6.0,4.0,5.0,3000000.0,0.0,0,0.0
2025_2q,1321.T,Nikkei225 ETF,crash_reclaim,tp5_sl4,5.0,4.0,,3000000.0,0.0,0,0.0
2025_2q,1321.T,Nikkei225 ETF,crash_reclaim,tp4_sl3,4.0,3.0,,3000000.0,0.0,0,0.0
2025_2q,1321.T,Nikkei225 ETF,crash_reclaim,tp6_sl3,6.0,3.0,,3000000.0,0.0,0,0.0
2025_2q,1321.T,Nikkei225 ETF,crash_reclaim,tp6_sl4_time5,6.0,4.0,5.0,3000000.0,0.0,0,0.0
q2_2024,1306.T,TOPIX ETF,rebound_open,tp5_sl4,5.0,4.0,,3000000.0,0.0,0,0.0
q2_2024,1306.T,TOPIX ETF,rebound_open,tp4_sl3,4.0,3.0,,3000000.0,0.0,0,0.0
q2_2024,1306.T,TOPIX ETF,rebound_open,tp6_sl3,6.0,3.0,,3000000.0,0.0,0,0.0
q2_2024,1306.T,TOPIX ETF,rebound_open,tp6_sl4_time5,6.0,4.0,5.0,3000000.0,0.0,0,0.0
q2_2024,1321.T,Nikkei225 ETF,rebound_open,tp5_sl4,5.0,4.0,,3000000.0,0.0,0,0.0
q2_2024,1321.T,Nikkei225 ETF,rebound_open,tp4_sl3,4.0,3.0,,3000000.0,0.0,0,0.0
q2_2024,1321.T,Nikkei225 ETF,rebound_open,tp6_sl3,6.0,3.0,,3000000.0,0.0,0,0.0
q2_2024,1321.T,Nikkei225 ETF,rebound_open,tp6_sl4_time5,6.0,4.0,5.0,3000000.0,0.0,0,0.0
q2_2024,1321.T,Nikkei225 ETF,crash_reclaim,tp5_sl4,5.0,4.0,,3000000.0,0.0,0,0.0
q2_2024,1321.T,Nikkei225 ETF,crash_reclaim,tp4_sl3,4.0,3.0,,3000000.0,0.0,0,0.0
q2_2024,1321.T,Nikkei225 ETF,crash_reclaim,tp6_sl3,6.0,3.0,,3000000.0,0.0,0,0.0
q2_2024,1321.T,Nikkei225 ETF,crash_reclaim,tp6_sl4_time5,6.0,4.0,5.0,3000000.0,0.0,0,0.0
q2_2024,1306.T,TOPIX ETF,crash_reclaim,tp5_sl4,5.0,4.0,,2991000.0,-0.30000000000000027,1,-0.9438648782911119
q2_2024,1306.T,TOPIX ETF,crash_reclaim,tp4_sl3,4.0,3.0,,2991000.0,-0.30000000000000027,1,-0.9438648782911119
q2_2024,1306.T,TOPIX ETF,crash_reclaim,tp6_sl3,6.0,3.0,,2991000.0,-0.30000000000000027,1,-0.9438648782911119
q2_2024,1306.T,TOPIX ETF,crash_reclaim,tp6_sl4_time5,6.0,4.0,5.0,2991000.0,-0.30000000000000027,1,-0.9438648782911119
