dataset,ticker,name,signal,exit_variant,take_profit_pct,stop_loss_pct,max_hold_days,final_capital,total_return_pct,num_buys,max_drawdown_pct
2025_2q,1306.T,TOPIX ETF,prev_high_break,tp6_sl3,6.0,3.0,,3379478.0,12.649266666666659,2,-2.085938860601033
2025_2q,1306.T,TOPIX ETF,prev_high_break,tp6_sl4,6.0,4.0,,3379478.0,12.649266666666659,2,-2.085938860601033
2025_2q,1306.T,TOPIX ETF,prev_high_break,tp5_sl4,5.0,4.0,,3337869.4,11.26231333333334,2,-2.0868624073789754
2025_2q,1306.T,TOPIX ETF,crash_low_reclaim,tp6_sl3,6.0,3.0,,3155100.0,5.170000000000008,1,-1.1376881782213966
2025_2q,1306.T,TOPIX ETF,crash_low_reclaim,tp6_sl4,6.0,4.0,,3155100.0,5.170000000000008,1,-1.1376881782213966
2025_2q,1306.T,TOPIX ETF,crash_low_reclaim,tp5_sl4,5.0,4.0,,3155100.0,5.170000000000008,1,-1.1376881782213966
2025_2q,1306.T,TOPIX ETF,reclaim_3d_low,tp6_sl3,6.0,3.0,,3000000.0,0.0,0,0.0
2025_2q,1306.T,TOPIX ETF,reclaim_3d_low,tp6_sl4,6.0,4.0,,3000000.0,0.0,0,0.0
2025_2q,1306.T,TOPIX ETF,reclaim_3d_low,tp5_sl4,5.0,4.0,,3000000.0,0.0,0,0.0
2025_2q,1321.T,Nikkei225 ETF,prev_high_break,tp6_sl3,6.0,3.0,,3000000.0,0.0,0,0.0
2025_2q,1321.T,Nikkei225 ETF,prev_high_break,tp6_sl4,6.0,4.0,,3000000.0,0.0,0,0.0
2025_2q,1321.T,Nikkei225 ETF,prev_high_break,tp5_sl4,5.0,4.0,,3000000.0,0.0,0,0.0
2025_2q,1321.T,Nikkei225 ETF,reclaim_3d_low,tp6_sl3,6.0,3.0,,3000000.0,0.0,0,0.0
2025_2q,1321.T,Nikkei225 ETF,reclaim_3d_low,tp6_sl4,6.0,4.0,,3000000.0,0.0,0,0.0
2025_2q,1321.T,Nikkei225 ETF,reclaim_3d_low,tp5_sl4,5.0,4.0,,3000000.0,0.0,0,0.0
2025_2q,1321.T,Nikkei225 ETF,crash_low_reclaim,tp6_sl3,6.0,3.0,,3000000.0,0.0,0,0.0
2025_2q,1321.T,Nikkei225 ETF,crash_low_reclaim,tp6_sl4,6.0,4.0,,3000000.0,0.0,0,0.0
2025_2q,1321.T,Nikkei225 ETF,crash_low_reclaim,tp5_sl4,5.0,4.0,,3000000.0,0.0,0,0.0
q2_2024,1306.T,TOPIX ETF,prev_high_break,tp6_sl3,6.0,3.0,,3246755.3,8.225176666666666,3,-4.616299234385357
q2_2024,1306.T,TOPIX ETF,prev_high_break,tp6_sl4,6.0,4.0,,3246755.3,8.225176666666666,3,-4.616299234385357
q2_2024,1306.T,TOPIX ETF,prev_high_break,tp5_sl4,5.0,4.0,,3212744.4,7.0914799999999945,3,-6.261477807867443
q2_2024,1306.T,TOPIX ETF,reclaim_3d_low,tp6_sl3,6.0,3.0,,3112750.0,3.75833333333333,3,-0.9682168805812519
q2_2024,1306.T,TOPIX ETF,reclaim_3d_low,tp6_sl4,6.0,4.0,,3112750.0,3.75833333333333,3,-0.9682168805812519
q2_2024,1306.T,TOPIX ETF,reclaim_3d_low,tp5_sl4,5.0,4.0,,3112750.0,3.75833333333333,3,-0.9682168805812519
q2_2024,1306.T,TOPIX ETF,crash_low_reclaim,tp6_sl3,6.0,3.0,,3111100.0,3.703333333333325,2,-1.4435233492302246
q2_2024,1306.T,TOPIX ETF,crash_low_reclaim,tp6_sl4,6.0,4.0,,3111100.0,3.703333333333325,2,-1.4435233492302246
q2_2024,1306.T,TOPIX ETF,crash_low_reclaim,tp5_sl4,5.0,4.0,,3111100.0,3.703333333333325,2,-1.4435233492302246
q2_2024,1321.T,Nikkei225 ETF,prev_high_break,tp6_sl3,6.0,3.0,,3000000.0,0.0,0,0.0
q2_2024,1321.T,Nikkei225 ETF,prev_high_break,tp6_sl4,6.0,4.0,,3000000.0,0.0,0,0.0
q2_2024,1321.T,Nikkei225 ETF,prev_high_break,tp5_sl4,5.0,4.0,,3000000.0,0.0,0,0.0
q2_2024,1321.T,Nikkei225 ETF,reclaim_3d_low,tp6_sl3,6.0,3.0,,3000000.0,0.0,0,0.0
q2_2024,1321.T,Nikkei225 ETF,reclaim_3d_low,tp6_sl4,6.0,4.0,,3000000.0,0.0,0,0.0
q2_2024,1321.T,Nikkei225 ETF,reclaim_3d_low,tp5_sl4,5.0,4.0,,3000000.0,0.0,0,0.0
q2_2024,1321.T,Nikkei225 ETF,crash_low_reclaim,tp6_sl3,6.0,3.0,,3000000.0,0.0,0,0.0
q2_2024,1321.T,Nikkei225 ETF,crash_low_reclaim,tp6_sl4,6.0,4.0,,3000000.0,0.0,0,0.0
q2_2024,1321.T,Nikkei225 ETF,crash_low_reclaim,tp5_sl4,5.0,4.0,,3000000.0,0.0,0,0.0
