quarter,rank,ticker,company_name,sector,score,annual_return_pct,quarter_return_pct,avg_monthly_high_low_change_pct,max_monthly_high_low_change_pct,trend_r2,max_drawdown_pct,positive_month_ratio_pct,end_to_trailing_high_pct,persistence_20d_pct,quarter_end_close,price_rows,trailing_return_pct,learning_date,training_cutoff_date,ocr_per,ocr_pbr,ocr_roe,ocr_roa,ocr_yield,ocr_per_confidence,ocr_pbr_confidence,ocr_roe_confidence,ocr_roa_confidence,ocr_yield_confidence,ocr_metrics_text,image_file,sector_adjusted_per_score,finance_quality_score,growth_quality_score,overall_score,simple_sector,headline_score_raw,shikiho_score_overall,forecast_per,promising_score,company_name_ocr,sector_ocr,ocr_body_text,direct_themes
2024Q2_PRE_ALIGNED,6,3106.T,倉敷紡績,繊維製品,0.9468588009741438,122.59358288770056,42.91845493562232,16.100571319587388,27.44827586206897,0.8813760075083568,13.685847589424572,83.33333333333334,97.36842105263158,100.0,4995.0,6276,122.59358288770056,2024-06-30,2024-06-30,11.0,11.0,25.3,11.0,11.0,medium,medium,low,low,low,"4490布E校
株伍指标
予想PER
（倍）
<25.3>
11.0
<26.3>
10.9
实PER
高值平均
9.1
安值平均
6.0
PBR
89-0
株佰(5/27)
3
4435F
最低購人额
24
6.2
44万3500F
3106
绒",4573.png,0.6702127659574468,0.601598204570185,0.975031950212076,0.8069204361069782,繊維製品,0.0,3.0,11.0,0.9468588009741438,倉敷紡績,繊維製品,f.3 30 3 〈 幻 ・ 3 〉 央 【 連 続 最 高 益 】 化 成 品 は 自 動 車 内 装 材 の 国 内 需 拡 大 追 い 風 。 繊 維 も 高 機 能 品 伸 び 採 算 改 善 。 原 料 費 、 労 務 費 増 陸 吸 収 。 年 3 月 大 半 休 関 週 の 脂 も 順 調 。 自 動 車 内 装 栩 の 圏 コ 価 格 転 嫁 進 営 業 増 益 続 く 。 連 続 最 高 純 。 【 稼 働 】 引 億 円 投 じ た 熊 本 の 半 導 休 向 け 生 産 研 究 拠 点 が 4 月 稼 働 、 生 産 能 力 倍 増 へ 米 国 社 と 連 携 し 7 軸 協 働 ロ ポ ッ ト を 発 売 ポ ー 動 ・ 黝 平 谷 イ ・ 一 当 390 ウ . 0,semiconductor
2024Q2_PRE_ALIGNED,259,6231.T,木村工機,機械,0.8283572205813774,161.69064748201438,22.526315789473685,24.552569630266117,39.95584988962473,0.8124480189893186,24.598269468479607,66.66666666666666,77.60000000000001,65.0,5820.0,1463,161.69064748201438,2024-06-30,2024-06-30,9.6,9.6,25.3,9.6,9.6,medium,medium,low,low,low,"5750
株伍指标
予想PER
（倍）
<25.3>
9.6
(26.3>
8.7
实PER
高值平均
9.2
安值平均
4.6
PBR
2.08
2
株幅(5/27)
5610m
最低購人额
24
23.7
56万1000F
6231
概",6070.png,0.8162790697674419,0.6053522850924917,0.927381609335791,0.7786270019542094,機械,0.0,3.0,9.6,0.8283572205813774,木村工機,機械,〈 幻 ・ ま 央 名 【 最 高 益 】 空 調 、 外 調 機 器 は 産 業 川 が 想 定 ト 回 る 。 暑 熱 対 策 「 場 川 も 順 調 。 前 号 比 営 鉢 業 増 益 幅 拡 大 。 税 平 常 化 増 配 年 3 月 期 は 産 業 用 が 食 品 、 機 械 、 精 密 向 け 増 勢 暑 熱 対 策 川 の 引 き 合 い 強 く 、 公 共 施 設 、 病 コ い 院 の 新 設 、 改 修 需 要 も 増 え る 。 営 業 増 益 。 【 改 修 】 ビ ル 、 商 業 施 設 の 改 修 需 要 盛 で 、 受 注 獲 得 に 注 力 。 高 井 Ⅲ 「 場 に も 太 陽 ー 光 発 電 設 備 導 人 、 製 造 過 程 の 脱 炭 素 推 進 。 【 る 和 佐 田 博 木 当 330 ー 7 一 益 ー 5 ゼ 載 高 川 器 / 富,power_grid
2024Q2_PRE_ALIGNED,352,1909.T,日本ドライケミカル,機械,0.8005064096585316,61.63915765509391,5.380333951762517,9.050771710348604,13.89473684210527,0.6941254933886134,21.51857835218094,66.66666666666666,91.46537842190016,40.0,2840.0,3616,61.63915765509391,2024-06-30,2024-06-30,6.4,6.4,25.3,6.4,6.4,medium,medium,low,low,low,"105
株伍指标
海正格
予想PER
（倍）
<25.3>
6.4
(26.3>
5.9
实PER
高值平均
6.8
安值平均
4.4
PBR
08-0
株倡(5/27)
2660m
最低購人额
24
15.9
26万6000F
1909
概",4112.png,0.9674418604651164,0.5877040261153427,0.795751854278164,0.7602117274026041,機械,0.0,3.0,6.4,0.8005064096585316,日本ドライケミカル,機械,〈 幻 ・ 3 〉 区 【 堅 調 】 防 災 は 大 掣 案 件 計 ト 減 も 好 採 算 の ス プ リ ン ク ラ ー 「 や ガ ス 消 火 シ ス テ ム 京 一 2 が 想 定 超 付 加 価 値 高 い 小 「 事 増 も 効 き 東 リ 転 増 。 年 3 月 期 は 期 初 受 注 残 が 高 水 タ 怺 準 。 大 型 案 件 の 進 捗 順 調 。 地 方 都 市 再 開 発 込 コ い も 後 押 し 。 原 材 料 高 騰 こ な し 営 業 増 益 続 く 【 規 制 対 応 】 行 機 フ ッ 素 化 合 物 を 含 ま な い 消 火 薬 剤 の 開 発 を 強 化 。 中 途 採 川 増 や し 施 当 工 管 理 職 の 育 成 図 る 。 年 度 設 立 間 周 年 。 効 疋 文 柄 雄 ラ メ 当 390 名 醂 証 波 道 ラ 侃 0 ー 引 ト ー 【 自 自 日 御 新 日 0 1 幻 け & 毅 ト 東 ー 0,infra_construction
2024Q2_PRE_ALIGNED,31,7011.T,三菱重工業,機械,0.9188994144774342,150.14518445634448,20.658263305322123,16.133099694643597,29.20937042459737,0.8895707919163646,18.543703486547024,66.66666666666666,97.62039660056658,85.0,1723.0,6533,150.14518445634448,2024-06-30,2024-06-30,20.0,20.0,25.3,20.0,20.0,medium,medium,low,low,low,"460
株伍指标
予想PER
（倍）
<25.3>
20.0
(26.3>
18.4
实PER
高值平均
16.3
安值平均
8.3
PBR
2.05
株倡(5/27)
27
1367F
百万排
最低購人额
1.1
13万67009
7011
概",6523.png,0.3325581395348837,0.6601128944504896,0.9506240034642802,0.7583112769351484,機械,0.0,3.0,20.0,0.9188994144774342,三菱重工業,機械,"ー 鰤 39 & 6 7.7 7 東 毅 P 鼠 ト : 旧 ー 0 → ー 「 7 【 株 式 】 齠 , 訂 3 , 7 【 株 ト 川 4 , 取 既 の 庸 畑 業 防 防 注 増 間 衛 日 本 マ ス タ ー 信 龜 ー の は 衛 防 衛 好 益 機 快 ・ 5 IO(I ) 伊 24 の 衛 の 調 幅 が 務 く 02 わ 劬 日 本 カ ス ト デ ィ 信 託 冂 珥 2 ( ) 藤 年 臨 輸 利 で 拡 円 走 阜 6 , 8 , 幻 5 Ⅱ 己 ・ 本 2 , , 5 ス テ ー ト ・ ス ト リ ー ト ・ バ ン ク & ト ラ 栄 未 時 出 益 稼 大 安 f ・ 本 比 事 既 ス ト ー 一 圏 作 に 十 ど 。 追 ガ 2G5,G08 等 欝 則 件 8,002 C 持 務 護 回 頭 い ス 幻 一 冊 「 3 1 , 5 , B ・ WT 新 幻 4 6 , 2 れ 9 囀 3 ィ 冂 「 一 1 , 0 野 村 信 銀 信 託 ロ ( : 菱 U 銀 ) T 分 所 衛 上 の 年 風 タ ー ( 5 【 指 標 等 】 く 02 紹 〉 4 凵 0 追 設 艦 。 ガ 3 に 一 義 ・ 安 日 ・ ROE Ⅱ ・ 脇 予 JPMC 7 盟 幻 2 が 加 輸 連 ス 月 ト ビ 既 1 2 輛 幻 肥 県 ROA ー 予 ー 自 社 持 株 4 , 9 4 取 。 出 続 タ 期 振 ン Ⅱ 調 整 ー 株 益 . BNYM デ 余 ジ タ リ RII 月 得 福 計 最 ー は れ の ー 地 ( 24 コ ) , 0 四 / ル ウ , ー 政 府 い : 1) 新 島 画 高 ビ 北 伸 壟 ~ ド な ー 髜 。 第 ・ 小 就 ー 発 豪 配 増 東 続 超 【 1 】 別 高 材 業 料 税 翩 純 科 一 物 ー 齪 【 当 】 新 【 本 】 Ⅱ 刈 - 2 東 京 都 T ・ 代 0 四 . 3 を 4 , 4797 ー , ー 明 3 % ー , 4 引 第 13 四 . 9",defense
2024Q2_PRE_ALIGNED,31,7011.T,三菱重工業,機械,0.9188994144774342,150.14518445634448,20.658263305322123,16.133099694643597,29.20937042459737,0.8895707919163646,18.543703486547024,66.66666666666666,97.62039660056658,85.0,1723.0,6533,150.14518445634448,2024-06-30,2024-06-30,20.0,20.0,25.3,20.0,20.0,medium,medium,low,low,low,"460
株伍指标
予想PER
（倍）
<25.3>
20.0
(26.3>
18.4
实PER
高值平均
16.3
安值平均
8.3
PBR
2.05
株倡(5/27)
27
1367F
百万排
最低購人额
1.1
13万67009
7011
概",6523.png,0.3325581395348837,0.6601128944504896,0.9506240034642802,0.7583112769351484,機械,0.0,3.0,20.0,0.9188994144774342,三菱重工業,機械,"ー 鰤 39 & 6 7.7 7 東 毅 P 鼠 ト : 旧 ー 0 → ー 「 7 【 株 式 】 齠 , 訂 3 , 7 【 株 ト 川 4 , 取 既 の 庸 畑 業 防 防 注 増 間 衛 日 本 マ ス タ ー 信 龜 ー の は 衛 防 衛 好 益 機 快 ・ 5 IO(I ) 伊 24 の 衛 の 調 幅 が 務 く 02 わ 劬 日 本 カ ス ト デ ィ 信 託 冂 珥 2 ( ) 藤 年 臨 輸 利 で 拡 円 走 阜 6 , 8 , 幻 5 Ⅱ 己 ・ 本 2 , , 5 ス テ ー ト ・ ス ト リ ー ト ・ バ ン ク & ト ラ 栄 未 時 出 益 稼 大 安 f ・ 本 比 事 既 ス ト ー 一 圏 作 に 十 ど 。 追 ガ 2G5,G08 等 欝 則 件 8,002 C 持 務 護 回 頭 い ス 幻 一 冊 「 3 1 , 5 , B ・ WT 新 幻 4 6 , 2 れ 9 囀 3 ィ 冂 「 一 1 , 0 野 村 信 銀 信 託 ロ ( : 菱 U 銀 ) T 分 所 衛 上 の 年 風 タ ー ( 5 【 指 標 等 】 く 02 紹 〉 4 凵 0 追 設 艦 。 ガ 3 に 一 義 ・ 安 日 ・ ROE Ⅱ ・ 脇 予 JPMC 7 盟 幻 2 が 加 輸 連 ス 月 ト ビ 既 1 2 輛 幻 肥 県 ROA ー 予 ー 自 社 持 株 4 , 9 4 取 。 出 続 タ 期 振 ン Ⅱ 調 整 ー 株 益 . BNYM デ 余 ジ タ リ RII 月 得 福 計 最 ー は れ の ー 地 ( 24 コ ) , 0 四 / ル ウ , ー 政 府 い : 1) 新 島 画 高 ビ 北 伸 壟 ~ ド な ー 髜 。 第 ・ 小 就 ー 発 豪 配 増 東 続 超 【 1 】 別 高 材 業 料 税 翩 純 科 一 物 ー 齪 【 当 】 新 【 本 】 Ⅱ 刈 - 2 東 京 都 T ・ 代 0 四 . 3 を 4 , 4797 ー , ー 明 3 % ー , 4 引 第 13 四 . 9",ship_heavy
2024Q2_PRE_ALIGNED,194,9766.T,コナミグループ,情報・通信業,0.8468671744649983,54.48239060832445,12.865497076023402,13.479088006078788,25.447251436625827,0.7085351647285576,16.790036423452005,66.66666666666666,98.34394904458598,65.0,11580.0,6533,54.48239060832445,2024-06-30,2024-06-30,22.9,16.1,25.3,16.1,16.1,medium,medium,low,low,low,"1570
株伍指标
予想PER
（倍）
<25.3>
22.9
(26.3>
21.6
实PER
高值平均
26.3
安值平均
16.1
PBR
3-32
株倡(5/27)
8
1万460m
三
最低購人额
24
14.7
104万6000用
9766
情",7775.png,0.5361552028218695,0.6562704026115342,0.8488536841287112,0.7431152163324525,情報・通信業,0.0,3.0,22.9,0.8468671744649983,コナミグループ,情報・通信業,"9 お 【 株 式 】 143 , ー 【 株 ト ル ロ , 4 名 閉 ① 月 発 の 貢 掣 続 a 1 ー 匳 日 本 マ ス タ ー 2 , ( 0 ) に 売 リ 大 献 絶 く 一 絶 好 . べ ー 好 攴 リ IO ( 乢 9 ) 世 の メ 1 務 く 02 わ 6 4 コ ウ ヅ キ ホ ー ル ア イ ン グ 界 リ イ 哩 M 調 な 当 ポ 1 Ⅱ 己 ・ 本 4 石 9 ( 10. の 累 メ ク "" 端 國 冐 い 第 叮 東 毅 P & ト 9 ー , げ 1 59 , 」 p モ ル ガ ン ・ チ = ー ス ・ バ 荷 版 を タ 堅 幻 、 1 7 【 指 標 等 】 く 02 〉 ン ク 5 3 ( 45 ) 本 サ 義 ・ 安 願 日 ・ ROE 14.7% 予 リ ア ・ デ ポ ジ ト リ ー ・ サ ム 数 ィ 発 2 一 一 新 一 一 円 BT505( Ⅱ % 2 ー 名 0 レ ソ 益 、 球 ム ム 調 整 ー 株 益 ー % 7 ー 最 高 益 ( 24.3 ) IISBC(ßW)TS ア ジ ア ン E ン ノ し リ ( 凵 ) 0 ト 工 ッ 続 ゲ 年 の -- , 時 願 3 / 5 △ 2 。 は IO ー ー 作 運 拡 t コ ナ ミ ア ジ タ ル エ 【 比 絞 会 社 】 セ ガ サ ミ 圧 財 秤 こ F △ 2 引 △ 4 一 月 ズ 。 が 営 大 b ー ス ク エ こ バ ン ナ 夏 47 訂 4 ー ン テ ィ ン メ ン ト 【 1 】 高 材 業 料 税 翩 純 一 物 ー 齪 【 当 】 新 【 本 社 】 ー 似 - ー 東 京 都 中 02. 3 9 , 5 74 , 4 75 ー G3 54 , & 410 ー 5 . 3 0 四 . 2 314 , ー 3 473 , 8 第 124 四 . 9 【 主 第 子 会 社 】 コ ナ ミ デ ジ タ ル . ・ 月",ai_datacenter
2024Q2_PRE_ALIGNED,306,6507.T,シンフォニアテクノロジー,電気機器,0.8162656717964661,100.58997050147492,5.1004636785162205,15.424478547842874,25.856697819314636,0.8789497275507248,17.870722433460074,75.0,84.15841584158416,0.0,3400.0,6276,100.58997050147492,2024-06-30,2024-06-30,13.3,13.3,25.3,13.3,13.3,medium,medium,low,low,low,"4040布E校
株伍指标
予想PER
（倍）
<25.3>
13.3
(26.3>
12.2
实PER
高值平均
8'8
安值平均
5.2
PBR
1.43
株佰(5/27)
8
3765P
最低購人额
21
11.0
37万6500P
6507
特",6248.png,0.6666666666666666,0.6410908596300327,0.7815402833603518,0.7336074074156322,電気機器,0.0,3.0,13.3,0.8162656717964661,シンフォニアテクノロジー,電気機器,& 6 95 ン グ & サ ー ビ ス ( & ) 【 海 外 】 ・ 〈 幻 ・ 3 〉 区 【 連 続 最 高 益 】 柱 の 半 導 休 装 置 向 け ク リ ー ン 搬 送 機 器 は 低 調 。 だ が 、 航 空 機 電 装 品 が 京 。 防 衛 需 要 で 稼 ぐ 増 配 年 3 月 期 は 搬 送 機 器 が 願 客 の 投 資 意 欲 回 復 で ト 向 く 。 航 空 機 電 装 品 も 防 衛 向 け の 受 汁 残 を 消 化 - リ 0 0 の 不 調 、 人 い 増 を 相 殺 し 、 連 続 営 業 増 益 。 タ 【 官 需 】 防 衛 省 の 調 達 先 利 益 率 重 視 の 方 針 で 防 衛 装 備 品 の 採 算 は 中 期 で 拡 大 へ 。 電 芝 は 動 化 ・ 無 人 化 や 衛 扉 関 係 の 需 を 狙 う ノ ト 尾 国 信 員 ・ g.-. 株 枇 は 鋼 社 イ 社 社 Ⅱ 一 ー グ ー ・ ー 大 リ 前 ー 4 イ - 村 国 、 ↑ 0,semiconductor
2024Q2_PRE_ALIGNED,306,6507.T,シンフォニアテクノロジー,電気機器,0.8162656717964661,100.58997050147492,5.1004636785162205,15.424478547842874,25.856697819314636,0.8789497275507248,17.870722433460074,75.0,84.15841584158416,0.0,3400.0,6276,100.58997050147492,2024-06-30,2024-06-30,13.3,13.3,25.3,13.3,13.3,medium,medium,low,low,low,"4040布E校
株伍指标
予想PER
（倍）
<25.3>
13.3
(26.3>
12.2
实PER
高值平均
8'8
安值平均
5.2
PBR
1.43
株佰(5/27)
8
3765P
最低購人额
21
11.0
37万6500P
6507
特",6248.png,0.6666666666666666,0.6410908596300327,0.7815402833603518,0.7336074074156322,電気機器,0.0,3.0,13.3,0.8162656717964661,シンフォニアテクノロジー,電気機器,& 6 95 ン グ & サ ー ビ ス ( & ) 【 海 外 】 ・ 〈 幻 ・ 3 〉 区 【 連 続 最 高 益 】 柱 の 半 導 休 装 置 向 け ク リ ー ン 搬 送 機 器 は 低 調 。 だ が 、 航 空 機 電 装 品 が 京 。 防 衛 需 要 で 稼 ぐ 増 配 年 3 月 期 は 搬 送 機 器 が 願 客 の 投 資 意 欲 回 復 で ト 向 く 。 航 空 機 電 装 品 も 防 衛 向 け の 受 汁 残 を 消 化 - リ 0 0 の 不 調 、 人 い 増 を 相 殺 し 、 連 続 営 業 増 益 。 タ 【 官 需 】 防 衛 省 の 調 達 先 利 益 率 重 視 の 方 針 で 防 衛 装 備 品 の 採 算 は 中 期 で 拡 大 へ 。 電 芝 は 動 化 ・ 無 人 化 や 衛 扉 関 係 の 需 を 狙 う ノ ト 尾 国 信 員 ・ g.-. 株 枇 は 鋼 社 イ 社 社 Ⅱ 一 ー グ ー ・ ー 大 リ 前 ー 4 イ - 村 国 、 ↑ 0,defense
2024Q2_PRE_ALIGNED,217,1980.T,ダイダン,建設業,0.8409170734234934,127.49165391181182,24.291498575965758,18.712429049678008,30.952385493687217,0.7541066223665398,15.987056991429004,66.66666666666666,87.21590433238968,15.0,1023.3333129882812,6273,127.49165391181182,2024-06-30,2024-06-30,13.1,13.1,25.3,13.1,13.1,medium,medium,low,low,low,"3425栋E楼
株伍指标
予想PER
（倍）
<25.3>
13.1
(26.3>
13.0
实PER
高值平均
10.3
安值平均
6.4
PBR
1.54
株倡(5/27)
8
3360m
1万体
最低購人额
24
10.3
33万6000F
1980
建",4150.png,0.4895833333333333,0.602319096844396,0.878650463014368,0.7235229126971789,建設業,0.0,3.0,13.1,0.8409170734234934,ダイダン,建設業,【 最 高 益 】 月 未 繰 越 高 2597 億 円 と 案 件 渦 沢 半 導 休 や 車 載 川 バ ッ テ リ ー エ 場 向 刊 価 け が 牽 引 。 工 事 高 、 利 益 と も 急 拡 大 。 年 3 月 期 は 製 薬 『 場 や デ ー タ セ ン タ ー な ど 進 捗 。 直 接 受 注 の 好 採 算 案 件 も 着 実 。 リ ニ ュ 0 ー ア ル 事 増 。 政 策 保 有 株 の 売 却 特 益 続 く 大 【 見 直 し 】 年 度 の 中 計 Ⅱ 標 前 倒 し 達 成 が ・ ~ 料 濃 厚 、 Ⅱ 標 見 直 し へ 。 ー 00 人 規 模 の 新 卒 店 ー 京 採 川 を 継 続 、 新 放 映 で 認 知 度 向 ト 図 る 。 体 3 ス 関 ' 罸 芻 0 圖 鸛 顳 曼 新 当 390 ー 日 会 へ,semiconductor
2024Q2_PRE_ALIGNED,217,1980.T,ダイダン,建設業,0.8409170734234934,127.49165391181182,24.291498575965758,18.712429049678008,30.952385493687217,0.7541066223665398,15.987056991429004,66.66666666666666,87.21590433238968,15.0,1023.3333129882812,6273,127.49165391181182,2024-06-30,2024-06-30,13.1,13.1,25.3,13.1,13.1,medium,medium,low,low,low,"3425栋E楼
株伍指标
予想PER
（倍）
<25.3>
13.1
(26.3>
13.0
实PER
高值平均
10.3
安值平均
6.4
PBR
1.54
株倡(5/27)
8
3360m
1万体
最低購人额
24
10.3
33万6000F
1980
建",4150.png,0.4895833333333333,0.602319096844396,0.878650463014368,0.7235229126971789,建設業,0.0,3.0,13.1,0.8409170734234934,ダイダン,建設業,【 最 高 益 】 月 未 繰 越 高 2597 億 円 と 案 件 渦 沢 半 導 休 や 車 載 川 バ ッ テ リ ー エ 場 向 刊 価 け が 牽 引 。 工 事 高 、 利 益 と も 急 拡 大 。 年 3 月 期 は 製 薬 『 場 や デ ー タ セ ン タ ー な ど 進 捗 。 直 接 受 注 の 好 採 算 案 件 も 着 実 。 リ ニ ュ 0 ー ア ル 事 増 。 政 策 保 有 株 の 売 却 特 益 続 く 大 【 見 直 し 】 年 度 の 中 計 Ⅱ 標 前 倒 し 達 成 が ・ ~ 料 濃 厚 、 Ⅱ 標 見 直 し へ 。 ー 00 人 規 模 の 新 卒 店 ー 京 採 川 を 継 続 、 新 放 映 で 認 知 度 向 ト 図 る 。 体 3 ス 関 ' 罸 芻 0 圖 鸛 顳 曼 新 当 390 ー 日 会 へ,ai_datacenter
