ticker,name,signal,final_capital,return_pct,num_buys,max_dd_pct
1306.T,TOPIX ETF,crash_reclaim,3021197.5,0.7065833333333327,1,0.0
1321.T,Nikkei225 ETF,crash_reclaim,3000000.0,0.0,0,0.0
1489.T,Nikkei High Dividend 50,crash_reclaim,3000000.0,0.0,0,0.0
1326.T,SPDR Gold,crash_reclaim,3000000.0,0.0,0,0.0
1672.T,WisdomTree Gold,crash_reclaim,3000000.0,0.0,0,0.0
1478.T,MSCI Japan High Dividend,crash_reclaim,3000000.0,0.0,0,0.0
1399.T,Japan High Dividend Low Vol,crash_reclaim,3000000.0,0.0,0,0.0
1540.T,Physical Gold ETF,crash_reclaim,2984000.0,-0.5333333333333301,1,-1.2666666666666715
1328.T,Gold Price ETF,crash_reclaim,2982600.0,-0.5800000000000027,1,-1.4000000000000012
1321.T,Nikkei225 ETF,current_breakout,3000000.0,0.0,0,0.0
1326.T,SPDR Gold,current_breakout,3000000.0,0.0,0,0.0
1672.T,WisdomTree Gold,current_breakout,3000000.0,0.0,0,0.0
1489.T,Nikkei High Dividend 50,current_breakout,2987010.9999999995,-0.4329666666666787,2,-3.220224209434952
1399.T,Japan High Dividend Low Vol,current_breakout,2961468.0,-1.2843999999999967,2,-2.732646055333454
1306.T,TOPIX ETF,current_breakout,2924315.0,-2.5228333333333297,2,-4.770720476485879
1478.T,MSCI Japan High Dividend,current_breakout,2923855.0,-2.5381666666666636,3,-5.031100284206258
1540.T,Physical Gold ETF,current_breakout,2913920.0,-2.869333333333335,2,-2.869333333333335
1328.T,Gold Price ETF,current_breakout,2905200.0,-3.159999999999996,1,-3.159999999999996
1489.T,Nikkei High Dividend 50,rebound_open,3133800.0,4.459999999999997,2,-2.8037383177570097
1306.T,TOPIX ETF,rebound_open,3128950.0,4.298333333333337,2,-3.078175895765467
1478.T,MSCI Japan High Dividend,rebound_open,3084000.0,2.8000000000000025,1,0.0
1321.T,Nikkei225 ETF,rebound_open,3000000.0,0.0,0,0.0
1328.T,Gold Price ETF,rebound_open,3000000.0,0.0,1,-0.3090419698933311
1326.T,SPDR Gold,rebound_open,3000000.0,0.0,0,0.0
1672.T,WisdomTree Gold,rebound_open,3000000.0,0.0,0,0.0
1399.T,Japan High Dividend Low Vol,rebound_open,3000000.0,0.0,0,0.0
1540.T,Physical Gold ETF,rebound_open,2988000.0,-0.40000000000000036,1,-0.5988023952095856
1478.T,MSCI Japan High Dividend,trend_open,3045500.0,1.5166666666666773,1,-1.5834545160769098
1489.T,Nikkei High Dividend 50,trend_open,3031200.0,1.0399999999999965,1,-2.216174183514774
1321.T,Nikkei225 ETF,trend_open,3000000.0,0.0,0,0.0
1326.T,SPDR Gold,trend_open,3000000.0,0.0,0,0.0
1672.T,WisdomTree Gold,trend_open,3000000.0,0.0,0,0.0
1328.T,Gold Price ETF,trend_open,2997600.0,-0.08000000000000229,1,-3.7101281680639864
1306.T,TOPIX ETF,trend_open,2957000.0,-1.433333333333331,1,-3.806115810019517
1540.T,Physical Gold ETF,trend_open,2946000.0,-1.8000000000000016,1,-3.060217176702862
1399.T,Japan High Dividend Low Vol,trend_open,2862100.0,-4.596666666666671,2,-6.4712179856707515
