ticker,name,signal,date,action,price,shares,reason
1306.T,TOPIX ETF,current_breakout,2024-07-01,BUY,2998.185,1000,entry
1306.T,TOPIX ETF,current_breakout,2024-07-09,SELL,3005.0,1000,sell_signal
1306.T,TOPIX ETF,current_breakout,2024-09-27,BUY,2849.5,1000,entry
1306.T,TOPIX ETF,current_breakout,2024-09-30,SELL,2767.0,1000,end_of_backtest
1306.T,TOPIX ETF,rebound_open,2024-07-31,BUY,2830.5,1000,entry
1306.T,TOPIX ETF,rebound_open,2024-08-01,SELL,2806.0,1000,sell_signal
1306.T,TOPIX ETF,rebound_open,2024-08-08,BUY,2537.5,1100,entry
1306.T,TOPIX ETF,rebound_open,2024-08-14,SELL,2677.0,1100,take_profit
1306.T,TOPIX ETF,trend_open,2024-07-01,BUY,2995.0,1000,entry
1306.T,TOPIX ETF,trend_open,2024-07-19,SELL,2952.0,1000,sell_signal
1306.T,TOPIX ETF,crash_reclaim,2024-08-27,BUY,2774.3025,1000,entry
1306.T,TOPIX ETF,crash_reclaim,2024-08-29,SELL,2795.5,1000,sell_signal
1489.T,Nikkei High Dividend 50,current_breakout,2024-07-01,BUY,2422.0,1200,entry
1489.T,Nikkei High Dividend 50,current_breakout,2024-07-08,SELL,2441.0,1200,sell_signal
1489.T,Nikkei High Dividend 50,current_breakout,2024-09-27,BUY,2275.53,1300,entry
1489.T,Nikkei High Dividend 50,current_breakout,2024-09-30,SELL,2248.0,1300,end_of_backtest
1489.T,Nikkei High Dividend 50,rebound_open,2024-07-31,BUY,2327.0,1200,entry
1489.T,Nikkei High Dividend 50,rebound_open,2024-08-01,SELL,2323.0,1200,sell_signal
1489.T,Nikkei High Dividend 50,rebound_open,2024-08-08,BUY,2098.0,1400,entry
1489.T,Nikkei High Dividend 50,rebound_open,2024-08-14,SELL,2197.0,1400,sell_signal
1489.T,Nikkei High Dividend 50,trend_open,2024-07-01,BUY,2422.0,1200,entry
1489.T,Nikkei High Dividend 50,trend_open,2024-07-18,SELL,2448.0,1200,sell_signal
1328.T,Gold Price ETF,current_breakout,2024-07-17,BUY,9550.0,300,entry
1328.T,Gold Price ETF,current_breakout,2024-07-22,SELL,9234.0,300,sell_signal
1328.T,Gold Price ETF,rebound_open,2024-08-13,BUY,8849.0,300,entry
1328.T,Gold Price ETF,rebound_open,2024-08-14,SELL,8849.0,300,sell_signal
1328.T,Gold Price ETF,trend_open,2024-07-01,BUY,9148.0,300,entry
1328.T,Gold Price ETF,trend_open,2024-07-23,SELL,9140.0,300,sell_signal
1328.T,Gold Price ETF,crash_reclaim,2024-08-19,BUY,9050.0,300,entry
1328.T,Gold Price ETF,crash_reclaim,2024-08-20,SELL,8992.0,300,sell_signal
1540.T,Physical Gold ETF,current_breakout,2024-07-17,BUY,11870.0,200,entry
1540.T,Physical Gold ETF,current_breakout,2024-07-19,SELL,11595.0,200,sell_signal
1540.T,Physical Gold ETF,current_breakout,2024-08-20,BUY,11150.4,200,entry
1540.T,Physical Gold ETF,current_breakout,2024-08-23,SELL,10995.0,200,sell_signal
1540.T,Physical Gold ETF,rebound_open,2024-08-13,BUY,11020.0,200,entry
1540.T,Physical Gold ETF,rebound_open,2024-08-14,SELL,10960.0,200,sell_signal
1540.T,Physical Gold ETF,trend_open,2024-07-10,BUY,11600.0,200,entry
1540.T,Physical Gold ETF,trend_open,2024-07-23,SELL,11330.0,200,sell_signal
1540.T,Physical Gold ETF,crash_reclaim,2024-08-19,BUY,11230.0,200,entry
1540.T,Physical Gold ETF,crash_reclaim,2024-08-20,SELL,11150.0,200,sell_signal
1478.T,MSCI Japan High Dividend,current_breakout,2024-07-01,BUY,3787.5,700,entry
1478.T,MSCI Japan High Dividend,current_breakout,2024-07-09,SELL,3865.0,700,sell_signal
1478.T,MSCI Japan High Dividend,current_breakout,2024-07-11,BUY,3923.85,700,entry
1478.T,MSCI Japan High Dividend,current_breakout,2024-07-16,SELL,3865.0,700,sell_signal
1478.T,MSCI Japan High Dividend,current_breakout,2024-09-27,BUY,3686.5,800,entry
1478.T,MSCI Japan High Dividend,current_breakout,2024-09-30,SELL,3575.0,800,end_of_backtest
1478.T,MSCI Japan High Dividend,rebound_open,2024-08-13,BUY,3365.0,800,entry
1478.T,MSCI Japan High Dividend,rebound_open,2024-08-14,SELL,3470.0,800,sell_signal
1478.T,MSCI Japan High Dividend,trend_open,2024-07-01,BUY,3780.0,700,entry
1478.T,MSCI Japan High Dividend,trend_open,2024-07-22,SELL,3845.0,700,sell_signal
1399.T,Japan High Dividend Low Vol,current_breakout,2024-07-01,BUY,2225.5,1300,entry
1399.T,Japan High Dividend Low Vol,current_breakout,2024-07-08,SELL,2217.5,1300,sell_signal
1399.T,Japan High Dividend Low Vol,current_breakout,2024-09-26,BUY,2236.14,1300,entry
1399.T,Japan High Dividend Low Vol,current_breakout,2024-09-30,SELL,2214.5,1300,end_of_backtest
1399.T,Japan High Dividend Low Vol,trend_open,2024-07-16,BUY,2252.5,1300,entry
1399.T,Japan High Dividend Low Vol,trend_open,2024-07-25,SELL,2193.5,1300,sell_signal
1399.T,Japan High Dividend Low Vol,trend_open,2024-09-20,BUY,2265.5,1200,entry
1399.T,Japan High Dividend Low Vol,trend_open,2024-09-30,SELL,2214.5,1200,end_of_backtest
