dataset,final_capital,total_return_pct,num_buys,max_drawdown_pct,earnings_pre_days,earnings_post_days,phase_shift_days,phase_proxy_mode,rebuild_interval_trading_days,high_vol_take_profit_pct,weak_uptrend_take_profit_pct,phase_pnl,variant
q2_2024,2825976.24987793,-5.800791670735661,14,-7.269899198936902,1,5,1,difficult_v11,10,,,"{'capitulation_end': -93664.99999999953, 'crash': -28200.0, 'downtrend': 0.0, 'normal': -86078.55078125, 'overheated_range': -175.349609375, 'stable': 14295.150268554688, 'surge': 0.0, 'uptrend': 19800.0}",baseline_no_crash
q2_2024,2896073.2498779297,-3.4642250040690103,13,-4.969773047440462,1,5,1,difficult_v11,10,,,"{'capitulation_end': 0.0, 'crash': -50000.0, 'downtrend': 0.0, 'normal': -87846.55078125, 'overheated_range': -175.349609375, 'stable': 14295.150268554688, 'surge': 0.0, 'uptrend': 19800.0}",cap_end_no_trade
q2_2024,2825976.24987793,-5.800791670735661,14,-7.269899198936902,1,5,1,difficult_v11,10,,,"{'capitulation_end': -93664.99999999953, 'crash': -28200.0, 'downtrend': 0.0, 'normal': -86078.55078125, 'overheated_range': -175.349609375, 'stable': 14295.150268554688, 'surge': 0.0, 'uptrend': 19800.0}",cap_end_q3
q2_2024,2825976.24987793,-5.800791670735661,14,-7.269899198936902,1,5,1,difficult_v11,10,,,"{'capitulation_end': -93664.99999999953, 'crash': -28200.0, 'downtrend': 0.0, 'normal': -86078.55078125, 'overheated_range': -175.349609375, 'stable': 14295.150268554688, 'surge': 0.0, 'uptrend': 19800.0}",normal_after_crash_no_trade
q2_2024,2825976.24987793,-5.800791670735661,14,-7.269899198936902,1,5,1,difficult_v11,10,,,"{'capitulation_end': -93664.99999999953, 'crash': -28200.0, 'downtrend': 0.0, 'normal': -86078.55078125, 'overheated_range': -175.349609375, 'stable': 14295.150268554688, 'surge': 0.0, 'uptrend': 19800.0}",normal_after_crash_q3
q2_2024,2929257.74987793,-2.3580750040689935,10,-4.5305810923681245,1,5,1,difficult_v11,10,,,"{'capitulation_end': -93664.99999999953, 'crash': 19800.0, 'downtrend': -21350.0, 'normal': -9447.05078125, 'overheated_range': -175.349609375, 'stable': 14295.150268554688, 'surge': 0.0, 'uptrend': 19800.0}",normal_after_highvol10_no_trade
q2_2024,2824234.99987793,-5.858833337402325,15,-7.3270356621420785,1,5,1,difficult_v11,10,,,"{'capitulation_end': -93664.99999999953, 'crash': -30485.0, 'downtrend': 0.0, 'normal': -9447.05078125, 'overheated_range': -175.349609375, 'settling': -76087.75, 'stable': 14295.150268554688, 'surge': 0.0, 'uptrend': 19800.0}",normal_after_highvol10_q3
q2_2024,2896073.2498779297,-3.4642250040690103,13,-4.969773047440462,1,5,1,difficult_v11,10,,,"{'crash': -50000.0, 'downtrend': 0.0, 'normal': -87846.55078125, 'overheated_range': -175.349609375, 'stable': 14295.150268554688, 'surge': 0.0, 'uptrend': 19800.0}",combo_no_trade
q2_2024,3003122.7498779297,0.10409166259766067,9,-1.4571069639472967,1,5,1,difficult_v11,10,,,"{'crash': 0.0, 'downtrend': -21350.0, 'normal': -9447.05078125, 'overheated_range': -175.349609375, 'stable': 14295.150268554688, 'surge': 0.0, 'uptrend': 19800.0}",combo_highvol10_no_trade
q2_2024,2825976.24987793,-5.800791670735661,14,-7.269899198936902,1,5,1,difficult_v11,10,,,"{'crash': -28200.0, 'downtrend': 0.0, 'normal': -86078.55078125, 'overheated_range': -175.349609375, 'settling': -93664.99999999953, 'stable': 14295.150268554688, 'surge': 0.0, 'uptrend': 19800.0}",combo_q3
