ticker,start_price,end_price,return_pct
8152.T,4585.0,5080.0,10.796074154852775
8061.T,1493.3333740234375,1325.0,-11.272323846208742
7460.T,2177.0,1821.0,-16.35277905374368
9913.T,1950.0,2089.0,7.128205128205134
8129.T,4230.0,4539.0,7.304964539007086
8225.T,4005.0,2644.0,-33.982521847690386
8037.T,2370.0,1942.0,-18.05907172995781
7422.T,473.0,452.5,-4.334038054968293
8085.T,3235.0,3045.0,-5.873261205564139
9305.T,1462.5,1520.0,3.93162393162394
7510.T,2289.0,2185.0,-4.543468763652248
2737.T,7650.0,5870.0,-23.267973856209146
3151.T,1370.0,1199.0,-12.481751824817522
8057.T,1688.0,1360.0,-19.431279620853083
3143.T,575.0,555.6666870117188,-3.362315302309782
8001.T,1581.0,1535.5999755859375,-2.871601797220902
7552.T,1682.5,2072.5,23.17979197622586
9867.T,6750.0,5810.0,-13.925925925925931
2733.T,3515.0,3630.0,3.271692745376953
8081.T,1691.0,1434.0,-15.198107628622115
