ticker,start_price,end_price,return_pct
8522.T,2586.666748046875,2066.666748046875,-20.10309215103332
8316.T,3615.0,3045.0,-15.767634854771783
7327.T,863.3333129882812,783.6666870117188,-9.227794732119165
7167.T,633.5,574.5,-9.313338595106547
8306.T,1742.0,1453.5,-16.561423650975893
8541.T,1315.0,1039.0,-20.988593155893533
8358.T,1070.0,1115.0,4.20560747663552
8362.T,2316.0,1835.0,-20.7685664939551
8381.T,1450.0,1220.0,-15.86206896551724
8411.T,3410.0,2936.0,-13.900293255131968
8418.T,1848.5,1549.5,-16.175277251825804
8334.T,1040.0,877.7999877929688,-15.596155019906854
5832.T,1700.0,1429.0,-15.941176470588236
5830.T,1512.0,1359.0,-10.119047619047617
8544.T,887.0,700.0,-21.082299887260426
7186.T,960.0,792.0,-17.500000000000004
7337.T,1254.5,1106.0,-11.837385412514944
8341.T,4540.0,3915.0,-13.766519823788547
8392.T,3585.0,3075.0,-14.225941422594147
8331.T,1462.0,1152.5,-21.16963064295485
