code,ticker,company_name,sector,best_variant,theme_text_regenerated,theme_text_regenerated_compact
1301,1301.T,極洋,水産・農林業,theme_wide,第 0 → ー 5 ・ 3 跿 3 24 ー 【 株 式 】 ー 0 俐 【 株 ド 冖 叫 コ 日 本 マ ス タ ー 4 IIG ー 資 本 一 76 東 .NGHLD 7 ・ 京 当 Ⅲ 火 【 指 標 等 】 〉 JP モ ル ガ ン ・ チ ェ ー 3 有 74 5 社 ( 目 己 株 ロ ) 龕 統 一 安 統 日 ・ ROE . 脇 ン ク ー 14 24 3 ROA 材 ー く 外 〉 7 く 瀞,第0→ー5・3跿324ー【株式】ー0俐【株ド冖叫コ日本マスター4IIGー資本一76東.NGHLD7・京当Ⅲ火【指標等】〉JPモルガン・チェー3有745社(目己株ロ)龕統一安統日・ROE.脇ンクー14243ROA材ーく外〉7く瀞
130A,130A.T,Ｖｅｒｉｔａｓ Ｉｎ Ｓｉｌｉｃｏ,医薬品,theme_bodyleft,"ー 5 幻 . 公 カ OA ー 7 Ⅱ 己 資 本 2 , -- -. ま 物 、 ィ ノ サ イ エ ン ス i 1 哽 拒 学 2 【 株 式 】 & 4 【 株 け 約 な な ー 幻 庸 幻 . 4 東 誕 c 物 「 正 隸 ク 1 【 指 標 等 】 4 肥 〉 梨 本 正 ・ 高 安 呂 ・ ・ ROE 2 脇 秘 ハ 名 占 屋 大 学 ・ ・ 区 大 ? 広 ン 2 幻 142 訂 ー ROA 2 予 4 ー チ ャ ー } 1 ー 1 調 ー 株 益 一 円 エ ム ス リ ー 幻 4 コ 加 幻 1 韻 益 ( な 肥 ) み す ほ 成 長 支 援 第 3 号 0 チ = 紗 国 = 0 、 : 勳 00 国 人","ー5幻.公カOAー7Ⅱ己資本2,---.ま物、ィノサイエンスi1哽拒学2【株式】&4【株け約ななー幻庸幻.4東誕c物「正隸ク1【指標等】4肥〉梨本正・高安呂・・ROE2脇秘ハ名占屋大学・・区大?広ン2幻142訂ーROA2予4ーチャー}1ー1調ー株益一円エムスリー幻4コ加幻1韻益(な肥)みすほ成長支援第3号0チ=紗国=0、:勳00国人"
1332,1332.T,ニッスイ,水産・農林業,theme_bodyleft,"ー 7 博 2 8. 東 P ー 5 信 2 制 7 カ (OA) 2 ー に 4 3 , 7 10 記 資 本 幻 み 粤 引 70 響 「 : ・ 一 テ ィ 一 石 4 ( ロ ) 1 【 指 標 等 】 く 4 ・ 3 〉 JP モ ル ガ ン ・ チ ェ ー ス ・ バ 高 師 安 呂 ・ ROE 1 住 円 ー ン ク 781 7 2 2 ー 91 材 ROA 予 4. モ ル ガ ン 券 2 ー 之 調 整 ー 株 益 一 円 に 行 旧 7 い 6 最 高 ( .3 ) 幻 , 。 ュ ニ バ ー 2 ー ユ 戸 年 年 吟 ) ト .","ー7博28.東Pー5信2制7カ(OA)2ーに43,710記資本幻み粤引70響「:・一ティ一石4(ロ)1【指標等】く4・3〉JPモルガン・チェース・バ高師安呂・ROE1住円ーンク781722ー91材ROA予4.モルガン券2ー之調整ー株益一円に行旧7い6最高(.3)幻,。ュニバー2ーユ戸年年吟)ト."
1333,1333.T,マルハニチロ,水産・農林業,theme_bodyleft,"ー 5 例 . 4 完 全 餘 社 10. 14. 14. 4 東 P 高 ー 7 【 株 式 】 & 【 株 , 名 閉 ① 庸 1 匯 既 日 本 マ ス タ ヨ 読 日 2 ー 記 資 本 髜 物 響 行 1 よ ー 安 ま 比 、 0 リ q00 47 高 安 呂 ・ ROE 1 ー ⅱ ロ 銀 行 G3 2 2 ー 幻 刻 7 最 ( 幻 .3 ) 加 , 3 【 、 盟 0 池 見 賢 第 澤 直 7 ー","ー5例.4完全餘社10.14.14.4東P高ー7【株式】&【株,名閉①庸1匯既日本マスタヨ読日2ー記資本髜物響行1よー安ま比、0リq0047高安呂・ROE1ーⅱロ銀行G322ー幻刻7最(幻.3)加,3【、盟0池見賢第澤直7ー"
135A,135A.T,ＶＲＡＩＮ Ｓｏｌｕｔｉｏｎ,情報・通信業,theme_bodyleft,"ー 5 な 12 → ー 幻 ・ 公 幻 わ 東 誕 c 高 値 ー 7 1 , 449 1R11 阜 ・ 1R11 【 株 式 】 & 10 , 0 飛 【 株 丿 3 , 4 名 閉 2 〉 日 よ カ ス ト デ ィ 信 亀 1 本 比 ー 東 ・ ミ セ ン チ ュ リ ー Ⅱ 己 資 本 87 S B 一 証 券 3 一 高 師 安 呂 ・ 2 7890 引 221 61 44 石 国 人 ・ 奓 内 当 券 【 指 標 等 】 く 肥 42 〉 合 ROE ー & ROA ー 予 6 ー 18 9 9 4 コ よ 6 9","ー5な12→ー幻・公幻わ東誕c高値ー71,4491R11阜・1R11【株式】&10,0飛【株丿3,4名閉2〉日よカストディ信亀1本比ー東・ミセンチュリーⅡ己資本87SB一証券3一高師安呂・27890引2216144石国人・奓内当券【指標等】く肥42〉合ROEー&ROAー予6ー18994コよ69"
1375,1375.T,ユキグニファクトリー,水産・農林業,theme_bodyleft,"ー 7 .1 17.1 幻 . 2 1 ー 5 ( 5 カ → ー 3. 高 安 1 7 ( 3 7 ( 8 Ⅱ 3 例 7 高 安 日 ・ 2 Ⅱ 2 4 1 8 ー I()M 1 国 人 ・ △ 【 株 式 】 & 0 飛 【 株 1 亨 郵 , 1 名 閉 コ 〉 1 阪 神 明 ホ ー ル デ ィ ン グ ス 務 く 02 生 3 〉 而 日 本 マ ス タ ヨ 日 ' 7 」 , 儺 ー IISBC'K ン ク M&GACSVP い 一 己 資 本 11 4 チ ャ イ ナ EF ( 幻 ) 物 「 閉 ン ク 川 四 ( 【 指 標 等 】 く 02 生 3 〉 肝 C ・ ク ラ イ ア ン ト ・ オ ム ニ ROE 1 ム 予 1 バ ス ・ ア カ ウ ン ト 17 4 ROA 儀 予 4 脇 長 谷 川 武 男 16 調 ー 株 益 . JPMSE ・ Lux ・ [Ⅱド(ロ ン ド 韻 益 ( 213 4 , 744 ン ) プ ラ ン チ EC 13 ( 0 コ ) 20 チ ・ ・ = 紗 国 = 、 0 、 0 - 効 00","ー7.117.1幻.21ー5(5カ→ー3.高安17(37(8Ⅱ3例7高安日・2Ⅱ2418ーI()M1国人・△【株式】&0飛【株1亨郵,1名閉コ〉1阪神明ホールディングス務く02生3〉而日本マスタヨ日'7」,儺ーIISBC'KンクM&GACSVPい一己資本114チャイナEF(幻)物「閉ンク川四(【指標等】く02生3〉肝C・クライアント・オムニROE1ム予1バス・アカウント174ROA儀予4脇長谷川武男16調ー株益.JPMSE・Lux・[Ⅱド(ロンド韻益(2134,744ン)プランチEC13(0コ)20チ・・=紗国=、0、0-効00"
1376,1376.T,カネコ種苗,水産・農林業,theme_bodyleft,".1 12. 8 ト 2 1 ー 7 9.3 囲 5 【 株 式 】 & 乢 7 肥 【 株 1 3 , 名 く な Ⅱ 〉 庸 分 1 → 凵 第 1 分 1 → 1 い い Ⅱ 己 資 本 34 東 和 行 囲 4 2 15 1 1 1 【 指 標 等 】 く 5 〉 金 子 教 子 21 ( ー 14 1 2 幻 調 ー 株 益",".112.8ト21ー79.3囲5【株式】&乢7肥【株13,名くなⅡ〉庸分1→凵第1分1→1いいⅡ己資本34東和行囲4215111【指標等】く5〉金子教子21(ー1412幻調ー株益"
1377,1377.T,サカタのタネ,水産・農林業,theme_bodyleft,"19. 東 P 87 ~ ー 7 4.5 5.0 6.8 【 株 式 】 & 47 4 冊 【 株 主 1 物 24 , 4 名 く な Ⅱ 〉 庸 1 阪 な ー エ ム 興 産 7 側 ー 圓 第 北 1 4 分 1 → 1 ・ 1 5 的 1 去 7 引 阜 高 値 安 44 鰍 0 37 4 響 「 矗 キ ッ 一 マ ン 朝 ー ー 【 指 標 等 】 く 5 〉 丸 ・ 管 ( ) 2 ・ ス モ ー ル ( ( 2 ) ROA 予 圏 ー 調 整 ー 株 益","19.東P87~ー74.55.06.8【株式】&474冊【株主1物24,4名くなⅡ〉庸1阪なーエム興産7側ー圓第北14分1→1・15的1去7引阜高値安44鰍0374響「矗キッ一マン朝ーー【指標等】く5〉丸・管()2・スモール((2)ROA予圏ー調整ー株益"
1379,1379.T,ホクト,水産・農林業,theme_bodyleft,".11 東 P 2 料 0 れ ー 7 52 17 【 株 式 】 & 飛 【 株 主 第 印 , 524 名 閉 コ 〉 庸 分 1 → 1 第 1 5 1 → 1 2 ー 1 → 1.1 1 4 高 安 5 , 日 本 カ ス ト デ ぐ 龜 1 別 70 19 ・ 3 1 【 指 標 等 】 = 4 ・ 3 〉 を , セ イ 0 業 2 ー 0 17 材 1 1 17 韻 益 ( 10.3) 5370",".11東P2料0れー75217【株式】&飛【株主第印,524名閉コ〉庸分1→1第151→12ー1→1.114高安5,日本カストデぐ龜1別7019・31【指標等】=4・3〉を,セイ0業2ー017材1117韻益(10.3)5370"
137A,137A.T,Ｃｏｃｏｌｉｖｅ,情報・通信業,theme_wide,. 5 . 3 OA) ー → ー → .7 2 ー れ 0 24 ー ー 24 3 ー ー 【 株 式 】 俐 【 株 ド ィ ー エ ー ケ ー 務 ) く 2 牡 〉 市 投 資 限 資 化 資 本 2; % ー 昭 雄 ィ ' 日 本 、 融 ー 【 指 標 等 】 > ド ROA ト 73 く 外 〉 く 瀞 74,.5.3OA)ー→ー→.72ーれ024ーー243ーー【株式】俐【株ドィーエーケー務)く2牡〉市投資限資化資本2;%ー昭雄ィ'日本、融ー【指標等】>ドROAト73く外〉く瀞74
