ticker,company_name,sector,best_variant,theme_text_regenerated_normalized
4109.T,ステラ ケミファ,化学,theme_bodyleft,"ー71O(LI東P&2(D高1安43ま比、0、=,=ークプ・,、0Ⅱ己資本ーB)FUKAI)A1加11匯既日本マスタヨ読日1四【株式】&1【株)G,I行名く幻コ〉庸ー幻ー響「4:7深田麻52な0ー、・1礰本心需及喜韻益(2.3)5,ーく外国〉ーく浮動株月55、4ユ員1)新4調株益"
4746.T,東計電算,情報・通信業,theme_wide,"→ー0.ー例→ー翦・安き比事3【指標等】くーわ日本カストディ鼕日一8-【株式】ー78俐【株ド引畴くな貶B)Zツリード4ⅱ58日合生活,光通信7一日本マスタ刄カセイスパンク(ルクス)AIIー"
4044.T,セントラル硝子,化学,theme_bodyleft,"ー7ー.4第:仇6.54.【株式】&,飛【株川閉コ〉庸匯既日マスタ:曾託日%4ー17.1書5--可当日耐アイ玉みⅡ己資本45自社(自己株「1)東=0高安ま比00、、銀行1&ーDFAInロスモールキッⅧ亠物「畳畿自翩株会ー1【指標等】く4・3〉自社協力会社持株会)高安呂・調整ー株益幻10最高(な3)4ーく外国〉く浮動株月6コ、"
4784.T,ＧＭＯインターネット,サービス業,theme_bodyleft,"ー7例.住&.1ー5会彬,→,6高師安日・【株式】&乢【株ド石,名くな肥>1[衄]GMOアドホールディングス一生3〉而国ネットアイアールアイーⅡ己資本5,I()インタネトG本比47ー自社(自己株ロ)G31,間1CARTAIILD和ム最純益(14」2)4く外国>0コーく浮動株月よ戸年、(0年満00)一ー:・=投信=0、聳定株00"
4208.T,ＵＢＥ,化学,theme_bodyleft,"ー5ー7【株式】&ー,飛【株,恥閉①庸13.17..1第0→11阜Ⅱ己資本4:9DFAInロスモールキャッ東P高安4石期ー幻幻(響「聶:射2JPモルガン券1石ロ21【指標等】く4・3〉JPモルガン・チェース・バ高安呂・Aハ予&ハ肛C・クライアント・オムニバ1調整ー株益4円ス・アカウント1(い)最高(3),4く外国〉一く浮動株〉趾社~、紗北【に磚&9-1-1-1"
3101.T,東洋紡,化学,theme_bodyleft,"&→16.4ー7Ⅱ己資本,0認ノルウェー,自社業員持4日本カスアイ信託冂1匯既日本マス曾ーー9(1)【株式】&89,住絽【株第,名閉コ〉庸.1東P2料高安比00、東友、Ⅱ(99期ー響「2仏81DAInロスモールキャッⅡ31例1【指標等】く4・3〉プバリュp1(凵)高安呂・杞最高(.3)13,行4ーティー18(ー2)戸年0、年、0、一く国〉2凵ー-効な5、くハ"
4362.T,日本精化,化学,theme_wide,"【株式】&3俐【株ドー名く①太陽以.5・5東24ー島務)く2〉市「ロ幻8安き比事7ー=,ポン・アテイプ・,4日-マスタ日一ー本恥7日,/ーザントラスト(AVF(0PAIFノントリ町7ー4【指標等】〉自社創1持株会龕安統日・"
4026.T,神島化学工業,ガラス・土石製品,theme_wide,【株式】和俐【株ド3名くな自社従員持株会DOWAIILD務)く4.1>市日-カストディ龜ー資本あいおい=セイトき比事脇みま男24ーー【指標等】く>東洋電化ーー
4017.T,クリーマ,情報・通信業,theme_bodyleft,"ー5.9→ー.11第囮りOA)ー7△【株式】&確【株ド丿2,0名く幻の庸丸林ムグループ13,大橋優霹Ⅱ己資本1,网SBIAI&BIockchainr:m本比事業組合(圓)引0グローバル・プレイン6号投ー2川物「、冖号投18(27)高安日・国人・△ま4ムー最純益(.2)JPモルガン装券Ⅱ"
4777.T,ガーラ,情報・通信業,theme_bodyleft,"△1ー7f.B△1△1【株式】&飛【株1均10川くな肥〉庸1メガゾーン・クラウド行0く侃巌んトセキ=リティ3,一一ズクライアント0Ⅱ己資本井上博幸本比儀楽天証券4,ーJPモルガン0測物「力05【指標等】く肥〉見誠新10()・コリア・セキュリティーズ・デポジ師日・1盟三和7カ(幻)24ー幻6四1国人"
3909.T,ショーケース,情報・通信業,theme_wide,".5△行2【株式】俐【株ド7名くな貶.4自社(1己株ロ)一例→ー8務)く2〉市田豊志3,日本マスタヨ既日AIinside安き響鴃東⑤第2sBIィ一Ⅷレ、木資ー【指標等】くーわ河避章ー"
4255.T,ＴＨＥＣＯＯ,情報・通信業,theme_bodyleft,"ー52れ8幻.1(7皿Dー7△10.0【株式】&40飛【株主1い名くな肥〉庸11、イアンドドライく區侃冾呂2,5冾Ⅱ己資本武井也8よ9本比1&ⅡSアセットマネジメント2ト2料石9Ⅱ幻(14響「、19DX.7よ【指標等】4肥〉工スファイプ}投資事業2S国人・+1.ニー・ミュージックエンⅸ益(12)、く諸の2筏く浮動株〉・絣:・く投信〉→聳疑株〉“ー"
4395.T,アクリート,情報・通信業,theme_wide,"-.3ー&7東⑥24ー→(7(OA4【株式】5,0行俐【株ド78名くな貶BANAI号有限イ4務)く2〉市自(自己株ロ)本ィエス3,ーエスアイエックス・、安き比事4ー川中優成2NSレDTTクライア冫第ーーアカウント3ー6有'8絽柴田将弥77【指標等】くーわ大-成5龕統一安統日・OAーラス5"
3625.T,テックファームホールディングス,情報・通信業,theme_wide,"△1【株式】75俐【株ドー名くな貶.8→ーTOKAIコミュニG.4.務)く2〉自等「輩4,小市石ー資本売断東本社%有い0い村臣敏24ー【指標等】>sBI券"
3926.T,オープンドア,情報・通信業,theme_bodyleft,"ー.1ー5OA)ー→ー→50.6【株式】&31【株ド-.4名くな9〉庸阪新(5い)・パス・インベストメン燔、興19(例高安日・加国人・.5,3CIIINTAI1ーⅡ己資本5,日本マスター信託日Ⅱ6よ6川「バンノ・オ一ヨーク・55【指標等】く4・3〉」PMし可pモルガンセキュ株益一円李炳韻益(円31,く外国>ーく浮動株〉な4、・・予・・く投信〉44ー聳定株〉79"
