date,nikkei_phase,equity,pnl_day
2025-07-01,uptrend,3029049.0123291016,29049.012329101562
2025-07-02,uptrend,3012472.337463379,-16576.674865722656
2025-07-03,settling,2954881.087463379,-57591.25
2025-07-04,settling,2979881.087463379,25000.0
2025-07-07,settling,2995331.087463379,15450.0
2025-07-08,settling,3023931.087463379,28600.0
2025-07-09,uptrend,3095947.7622680664,72016.6748046875
2025-07-10,uptrend,3091731.087463379,-4216.6748046875
2025-07-11,uptrend,3092614.437072754,883.349609375
2025-07-14,uptrend,3122793.587463379,30179.150390625
2025-07-15,stable,3082888.437072754,-39905.150390625
2025-07-16,stable,3087871.7622680664,4983.3251953125
2025-07-17,stable,3094021.7622680664,6150.0
2025-07-18,uptrend,3094038.437072754,16.6748046875
2025-07-22,uptrend,3112038.437072754,18000.0
2025-07-23,uptrend,3123655.087463379,11616.650390625
2025-07-24,uptrend,3134221.7622680664,10566.6748046875
2025-07-25,normal,3171881.7622680664,37660.0
2025-07-28,normal,3171415.087463379,-466.6748046875
2025-07-29,normal,3166331.7622680664,-5083.3251953125
2025-07-30,normal,3201252.2622680664,34920.5
2025-07-31,normal,3243652.09967041,42399.83740234375
2025-08-01,normal,3261440.2622680664,17788.16259765625
2025-08-04,normal,3264192.7622680664,2752.5
2025-08-05,normal,3361704.2622680664,97511.5
2025-08-06,normal,3462582.2622680664,100878.0
2025-08-07,settling,3503351.5122680664,40769.25
2025-08-08,settling,3526219.0122680664,22867.5
2025-08-12,settling,3480916.0122680664,-45303.0
2025-08-13,settling,3478223.5122680664,-2692.5
2025-08-14,uptrend,3456519.5122680664,-21704.0
2025-08-15,normal,3523340.0122680664,66820.5
2025-08-18,overheated_range,3558040.0122680664,34700.0
2025-08-19,overheated_range,3542826.0122680664,-15214.0
2025-08-20,settling,3539148.012268067,-3677.9999999995343
2025-08-21,normal,3588648.0122680664,49499.999999999534
2025-08-22,normal,3687173.5122680664,98525.5
2025-08-25,normal,3679584.5122680664,-7589.0
2025-08-26,normal,3647234.5122680664,-32350.0
2025-08-27,settling,3657119.0122680664,9884.5
2025-08-28,settling,3719291.512268067,62172.500000000466
2025-08-29,settling,3695541.512268067,-23750.0
2025-09-01,settling,3707741.5122680664,12199.999999999534
2025-09-02,settling,3732141.5122680664,24400.0
2025-09-03,uptrend,3689891.5122680664,-42250.0
2025-09-04,uptrend,3725893.012268067,36001.500000000466
2025-09-05,uptrend,3732515.012268067,6622.0
2025-09-08,uptrend,3745403.262268067,12888.25
2025-09-09,uptrend,3735703.262268067,-9700.0
2025-09-10,stable,3759553.262268067,23850.0
2025-09-11,normal,3754030.762268067,-5522.5
2025-09-12,uptrend,3763830.762268067,9800.0
2025-09-16,uptrend,3767230.762268067,3400.0
2025-09-17,stable,3712450.762268067,-54780.0
2025-09-18,stable,3696321.762268067,-16129.0
2025-09-19,uptrend,3716813.262268067,20491.5
2025-09-22,uptrend,3726013.262268067,9200.0
2025-09-24,uptrend,3718246.262268067,-7767.0
2025-09-25,uptrend,3720546.262268067,2300.0
2025-09-26,uptrend,3778651.262268067,58105.0
2025-09-29,uptrend,3741551.262268067,-37100.0
2025-09-30,uptrend,3741174.5753784184,-376.6868896484375
