date,ticker,simple_sector,sector_33,action,price,shares,cash_after,signal_score,signal_basis_date,reason,nikkei_regime
2025-10-01,2975.T,不動産業,不動産業,BUY,1260.0,100,2874000.0,0.47593948170072625,2025-09-30,buy_breakout_up,up
2025-10-02,2975.T,不動産業,不動産業,SELL,1172.0,100,2991200.0,0.5340262352290983,2025-10-01,stop_loss,up
2025-10-06,7242.T,輸送用機器,輸送用機器,BUY,4025.0,700,173700.0,0.43222389411195067,2025-10-03,buy_breakout_up,up
2025-10-14,7242.T,輸送用機器,輸送用機器,SELL,3790.0,700,2826700.0,0.36635000945910323,2025-10-10,stop_loss,up
2025-10-16,8393.T,銀行業,銀行業,BUY,4389.875,600,192775.0,0.3205342650038539,2025-10-15,buy_breakout_up,up
2025-10-28,8393.T,銀行業,銀行業,SELL,4750.0,600,3042775.0,0.37211231021087254,2025-10-27,take_profit,up
2025-11-21,6745.T,電気機器,電気機器,BUY,4044.7749999999996,300,1829342.5,0.4240609437737545,2025-11-20,buy_breakout_up,sideways
2025-11-27,8600.T,銀行業,銀行業,BUY,745.0099999999999,1200,935330.5000000001,0.46454912634224915,2025-11-26,buy_breakout_up,sideways
2025-11-28,2981.T,不動産業,不動産業,BUY,2888.0,100,646530.5000000001,0.5750514361287297,2025-11-27,buy_breakout_up,sideways
2025-12-03,6745.T,電気機器,電気機器,SELL,4190.0,300,1903530.5,,2025-12-02,sell_signal,down
2025-12-03,8600.T,銀行業,銀行業,SELL,735.0,1200,2785530.5,,2025-12-02,sell_signal,down
2025-12-03,2981.T,不動産業,不動産業,SELL,2703.0,100,3055830.5,,2025-12-02,stop_loss,down
2025-12-04,8550.T,銀行業,銀行業,BUY,699.3349999999999,200,2915963.5,0.742648169375866,2025-12-03,buy_breakout_up,sideways
2025-12-04,6743.T,電気機器,電気機器,BUY,749.0699999999999,300,2691242.5,0.5365952105930591,2025-12-03,buy_breakout_up,sideways
2025-12-04,1980.T,建設業,建設業,BUY,2385.2499999999995,100,2452717.5,0.4993927791208089,2025-12-03,buy_breakout_up,sideways
2025-12-04,8343.T,銀行業,銀行業,BUY,3922.9749999999995,100,2060420.0,0.4583370759041315,2025-12-03,buy_breakout_up,sideways
2025-12-11,8343.T,銀行業,銀行業,SELL,3830.0,100,2443420.0,0.4567161777087119,2025-12-10,sell_signal,sideways
2025-12-15,8550.T,銀行業,銀行業,SELL,757.0,200,2594820.0,0.8006972823015076,2025-12-12,take_profit,sideways
2025-12-15,7242.T,輸送用機器,輸送用機器,BUY,4597.95,200,1675230.0,0.44903428085083535,2025-12-12,buy_breakout_up,sideways
2025-12-15,5105.T,ゴム製品,ゴム製品,BUY,4400.025,300,355222.5,0.4463153306467908,2025-12-12,buy_breakout_up,sideways
2025-12-17,7242.T,輸送用機器,輸送用機器,SELL,4535.0,200,1262222.5,0.4347057143725018,2025-12-16,sell_signal,sideways
2025-12-17,5105.T,ゴム製品,ゴム製品,SELL,4420.0,300,2588222.5,0.4496892344290943,2025-12-16,sell_signal,sideways
2025-12-19,6745.T,電気機器,電気機器,BUY,4415.25,100,2146697.5,0.48365113675519816,2025-12-18,buy_breakout_up,sideways
2025-12-19,8343.T,銀行業,銀行業,BUY,3933.1249999999995,200,1360072.5,0.4672617960554368,2025-12-18,buy_breakout_up,sideways
2025-12-22,6743.T,電気機器,電気機器,SELL,817.0,300,1605172.5,0.5596998783622702,2025-12-19,take_profit,sideways
2025-12-22,8515.T,その他金融業,その他金融業,BUY,570.0,500,1320172.5,0.48889024396531333,2025-12-19,buy_breakout_up,sideways
2025-12-24,2975.T,不動産業,不動産業,BUY,1303.2599999999998,1000,16912.500000000233,0.4705758004021291,2025-12-23,buy_breakout_up,up
2025-12-25,6745.T,電気機器,電気機器,SELL,4420.0,100,458912.50000000023,0.48571090941203005,2025-12-24,sell_signal,sideways
2025-12-30,1980.T,建設業,建設業,SELL_END,2476.0,100,706512.5000000002,,,end_of_backtest,sideways
2025-12-30,8343.T,銀行業,銀行業,SELL_END,4025.0,200,1511512.5000000002,,,end_of_backtest,sideways
2025-12-30,8515.T,その他金融業,その他金融業,SELL_END,559.0,500,1791012.5000000002,,,end_of_backtest,sideways
2025-12-30,2975.T,不動産業,不動産業,SELL_END,1361.0,1000,3152012.5,,,end_of_backtest,sideways
