ticker,simple_sector,sector_33,buy_date,sell_date,shares,buy_price,sell_price,pnl,return_pct,exit_reason
2975.T,不動産業,不動産業,2025-10-01,2025-10-02,100,1260.0,1172.0,-8800.0,-6.9841269841269815,stop_loss
7242.T,輸送用機器,輸送用機器,2025-10-06,2025-10-14,700,4025.0,3790.0,-164500.0,-5.838509316770191,stop_loss
8393.T,銀行業,銀行業,2025-10-16,2025-10-28,600,4389.875,4750.0,216075.0,8.203536547168188,take_profit
2981.T,不動産業,不動産業,2025-11-28,2025-12-03,100,2888.0,2703.0,-18500.0,-6.405817174515239,stop_loss
6745.T,電気機器,電気機器,2025-11-21,2025-12-05,300,4044.7749999999996,4430.0,115567.50000000012,9.524015550926812,take_profit
7242.T,輸送用機器,輸送用機器,2025-12-03,2025-12-08,100,4600.0,4555.0,-4500.0,-0.9782608695652173,sell_signal
7242.T,輸送用機器,輸送用機器,2025-12-15,2025-12-17,200,4597.95,4535.0,-12589.999999999964,-1.3690883980904456,sell_signal
5105.T,ゴム製品,ゴム製品,2025-12-15,2025-12-17,300,4400.025,4420.0,5992.500000000109,0.45397469332562057,sell_signal
6745.T,電気機器,電気機器,2025-12-19,2025-12-25,100,4415.25,4420.0,475.0,0.10758167714173261,sell_signal
8600.T,銀行業,銀行業,2025-11-27,2025-12-30,1200,745.0099999999999,784.0,46788.000000000146,5.23348679883493,end_of_backtest
8343.T,銀行業,銀行業,2025-12-19,2025-12-30,200,3933.1249999999995,4025.0,18375.00000000009,2.3359288097886566,end_of_backtest
8515.T,その他金融業,その他金融業,2025-12-22,2025-12-30,300,570.0,559.0,-3300.0,-1.9298245614035037,end_of_backtest
2975.T,不動産業,不動産業,2025-12-24,2025-12-30,600,1303.2599999999998,1361.0,34644.000000000146,4.430428310544343,end_of_backtest
