Date,equity
2026-01-05,3012201.0000000005
2026-01-06,2987001.0000000005
2026-01-07,2994281.000000001
2026-01-08,2958157.000000001
2026-01-09,2926957.000000001
2026-01-13,2938657.000000001
2026-01-14,3149257.000000001
2026-01-15,3125857.000000001
2026-01-16,3264431.0000000014
2026-01-19,3516766.0000000014
2026-01-20,3452169.0000000014
2026-01-21,3449269.0000000014
2026-01-22,3431169.0000000014
2026-01-23,3388978.0000000014
2026-01-26,3285514.0000000014
2026-01-27,3238829.000000002
2026-01-28,3146429.000000002
2026-01-29,3194029.000000002
2026-01-30,3143629.000000002
2026-02-02,3119829.000000002
2026-02-03,3322629.000000002
2026-02-04,3406229.000000002
2026-02-05,3588829.000000002
2026-02-06,3588829.000000002
2026-02-09,3588829.000000002
2026-02-10,3588829.000000002
2026-02-12,3675259.000000002
2026-02-13,3465259.000000002
2026-02-16,3579559.000000002
2026-02-17,3570959.000000002
2026-02-18,3545159.000000002
2026-02-19,3785959.000000002
2026-02-20,3785959.000000002
2026-02-24,3785959.000000002
2026-02-25,3770730.000000002
2026-02-26,3711530.000000002
2026-02-27,3733530.000000002
2026-03-02,3724730.000000002
2026-03-03,3563127.000000002
2026-03-04,3455527.000000002
2026-03-05,3455527.000000002
2026-03-06,3455527.000000002
2026-03-09,3455527.000000002
2026-03-10,3557027.000000002
