Date,equity
2025-10-01,2984363.5000000005
2025-10-02,2905163.5000000005
2025-10-03,2905163.5000000005
2025-10-06,2905163.5000000005
2025-10-07,2822355.5000000005
2025-10-08,2807292.5000000005
2025-10-09,2694602.500000001
2025-10-10,2625502.500000001
2025-10-14,2623302.500000001
2025-10-15,2623302.500000001
2025-10-16,2623302.500000001
2025-10-17,2623302.500000001
2025-10-20,2623302.500000001
2025-10-21,2623302.500000001
2025-10-22,2636997.500000001
2025-10-23,2603997.500000001
2025-10-24,2693097.500000001
2025-10-27,2749317.5000000014
2025-10-28,2609317.5000000014
2025-10-29,2485317.5000000014
2025-10-30,2485317.5000000014
2025-10-31,2485317.5000000014
2025-11-04,2472197.7500000014
2025-11-05,2526597.7500000014
2025-11-06,2547453.7500000014
2025-11-07,2571453.7500000014
2025-11-10,3291453.7500000014
2025-11-11,3291453.7500000014
2025-11-12,3291453.7500000014
2025-11-13,3291453.7500000014
2025-11-14,3291453.7500000014
2025-11-17,3311099.250000002
2025-11-18,3141709.250000002
2025-11-19,3129709.250000002
2025-11-20,3123709.250000002
2025-11-21,3161709.250000002
2025-11-25,3109709.250000002
2025-11-26,3109709.250000002
2025-11-27,3109709.250000002
2025-11-28,3109709.250000002
2025-12-01,3109709.250000002
2025-12-02,3109709.250000002
2025-12-03,3109709.250000002
2025-12-04,3109709.250000002
2025-12-05,3109709.250000002
2025-12-08,3109709.250000002
2025-12-09,3109709.250000002
2025-12-10,3109709.250000002
2025-12-11,3109709.250000002
2025-12-12,3109709.250000002
2025-12-15,3098309.250000002
2025-12-16,3058909.250000002
2025-12-17,3086409.250000002
2025-12-18,3099209.250000002
2025-12-19,3177309.250000002
2025-12-22,3150409.250000002
2025-12-23,3205009.250000002
2025-12-24,3225009.250000002
2025-12-25,3241509.250000002
2025-12-26,3235909.250000002
2025-12-29,3212009.250000002
2025-12-30,3185909.250000002
