date,ticker,action,price,shares,phase,table_regime,rule_name,reason,pnl
2025-10-01,6331.T,BUY,2721.2149999999997,1100,uptrend,standard,normal,entry,0.0
2025-10-02,6331.T,SELL,2635.0,1100,uptrend,standard,normal,sell_signal,-94836.49999999953
2025-10-07,3486.T,BUY,3016.58,900,surge,standard,normal,entry,0.0
2025-10-07,7235.T,BUY,1343.86,100,surge,standard,normal,entry,0.0
2025-10-08,3486.T,SELL,2973.0,900,surge,standard,normal,sell_signal,-39222.0
2025-10-08,2975.T,BUY,1229.165,2200,surge,standard,normal,entry,0.0
2025-10-09,2975.T,SELL,1175.0,2200,surge,standard,normal,sell_signal,-119163.0
2025-10-09,7191.T,BUY,1146.9499999999998,2200,surge,standard,normal,entry,0.0
2025-10-10,7235.T,SELL,1274.0,100,surge,standard,normal,stop_loss,-6986.0
2025-10-14,7191.T,SELL,1094.0,2200,high_vol,standard,normal,sell_signal,-116489.99999999953
2025-10-22,6748.T,BUY,792.85,3300,high_vol,high_vol,defensive,entry,0.0
2025-10-27,6748.T,SELL,814.0,3300,surge,high_vol,defensive,sell_signal,69795.0
2025-10-27,6331.T,BUY,3364.7249999999995,800,surge,standard,normal,entry,0.0
2025-10-29,6331.T,SELL,3105.0,800,surge,standard,normal,stop_loss,-207779.99999999953
2025-11-04,1893.T,BUY,1435.7175,1700,surge,standard,normal,entry,0.0
2025-11-05,1893.T,SELL,1460.0,1700,high_vol,standard,normal,sell_signal,41280.25
2025-11-06,1768.T,BUY,1041.31,2400,high_vol,high_vol,defensive,entry,0.0
2025-11-10,1768.T,SELL,1360.0,2400,high_vol,high_vol,defensive,take_profit,764856.0
2025-11-17,1893.T,BUY,1566.1449999999998,2100,normal,standard,normal,entry,0.0
2025-11-18,1893.T,SELL,1500.0,2100,high_vol,standard,normal,sell_signal,-138904.49999999953
2025-11-18,2332.T,BUY,1557.42,2000,high_vol,high_vol,defensive,entry,0.0
2025-11-25,2332.T,SELL,1536.0,2000,high_vol,high_vol,defensive,sell_signal,-42840.0
2025-12-15,1847.T,BUY,4669.0,600,normal,standard,normal,entry,0.0
2025-12-16,3449.T,BUY,2144.0,100,normal,standard,normal,entry,0.0
2025-12-30,1847.T,SELL,4790.0,600,end,standard,normal,end_of_backtest,72600.0
2025-12-30,3449.T,SELL,2180.0,100,end,standard,normal,end_of_backtest,3600.0
