date,ticker,action,price,shares,phase,table_regime,rule_name,reason,pnl
2026-01-05,7235.T,BUY,1605.7299999999998,1800,normal,standard,normal,entry,0.0
2026-01-05,6343.T,BUY,167.475,600,normal,standard,normal,entry,0.0
2026-01-07,7235.T,SELL,1594.0,1800,normal,standard,normal,sell_signal,-21113.999999999534
2026-01-07,6343.T,SELL,165.0,600,normal,standard,normal,sell_signal,-1485.0
2026-01-07,6331.T,BUY,3308.8999999999996,800,normal,standard,normal,entry,0.0
2026-01-08,6331.T,SELL,3310.0,800,normal,standard,normal,sell_signal,880.0000000004657
2026-01-08,5697.T,BUY,755.16,3900,normal,standard,normal,entry,0.0
2026-01-16,5697.T,SELL,835.0,3900,surge,standard,normal,take_profit,311376.0
2026-01-16,9074.T,BUY,5785.499999999999,500,surge,standard,normal,entry,0.0
2026-01-16,6343.T,BUY,174.57999999999998,2200,surge,standard,normal,entry,0.0
2026-01-19,9074.T,SELL,5700.0,500,high_vol,standard,normal,sell_signal,-42749.999999999534
2026-01-19,6343.T,SELL,178.0,2200,high_vol,standard,normal,sell_signal,7524.000000000058
2026-01-19,2805.T,BUY,4090.5,700,high_vol,high_vol,defensive,entry,0.0
2026-01-19,3004.T,BUY,2547.22,100,high_vol,high_vol,defensive,entry,0.0
2026-01-19,9446.T,BUY,699.93,100,high_vol,high_vol,defensive,entry,0.0
2026-01-20,2805.T,SELL,4345.0,700,high_vol,high_vol,defensive,take_profit,178150.0
2026-01-20,3539.T,BUY,1758.41,1700,high_vol,high_vol,defensive,entry,0.0
2026-01-23,3004.T,SELL,2512.0,100,normal,high_vol,defensive,sell_signal,-3521.999999999971
2026-01-23,9446.T,SELL,701.0,100,normal,high_vol,defensive,sell_signal,107.0
2026-01-23,3539.T,SELL,1748.0,1700,normal,high_vol,defensive,sell_signal,-17697.0
2026-01-23,1946.T,BUY,2237.06,1500,normal,standard,normal,entry,0.0
2026-01-23,6343.T,BUY,180.67,300,normal,standard,normal,entry,0.0
2026-01-26,1946.T,SELL,2155.0,1500,high_vol,standard,normal,sell_signal,-123090.0
2026-01-26,6343.T,SELL,175.0,300,high_vol,standard,normal,sell_signal,-1700.9999999999927
2026-01-26,3539.T,BUY,1765.48,1800,high_vol,high_vol,defensive,entry,0.0
2026-01-26,1724.T,BUY,747.0,100,high_vol,high_vol,defensive,entry,0.0
2026-01-27,3539.T,SELL,1761.0,1800,settling,high_vol,defensive,sell_signal,-8064.0
2026-01-27,1724.T,SELL,745.0,100,settling,high_vol,defensive,sell_signal,-200.0
2026-01-27,7184.T,BUY,2319.2749999999996,1400,settling,standard,normal,entry,0.0
2026-02-03,7184.T,SELL,2321.0,1400,normal,standard,normal,sell_signal,2415.0000000004657
2026-02-03,1768.T,BUY,1481.0,2200,normal,standard,normal,entry,0.0
2026-02-05,1768.T,SELL,1621.0,2200,normal,standard,normal,take_profit,308000.0
2026-02-12,5644.T,BUY,5815.95,600,surge,standard,normal,entry,0.0
2026-02-16,5644.T,SELL,5650.0,600,high_vol,standard,normal,sell_signal,-99570.0
2026-02-16,2286.T,BUY,800.0,4300,high_vol,high_vol,defensive,entry,0.0
2026-02-19,2286.T,SELL,869.0,4300,high_vol,high_vol,defensive,take_profit,296700.0
2026-02-25,4022.T,BUY,10590.0,300,normal,standard,normal,entry,0.0
2026-02-25,7184.T,BUY,2581.1449999999995,200,normal,standard,normal,entry,0.0
2026-03-03,4022.T,SELL,9750.0,300,high_vol,standard,normal,stop_loss,-252000.0
2026-03-03,7184.T,SELL,2436.0,200,high_vol,standard,normal,stop_loss,-29028.999999999884
2026-03-03,9311.T,BUY,9463.7,300,high_vol,high_vol,defensive,entry,0.0
2026-03-03,4119.T,BUY,4817.7,100,high_vol,high_vol,defensive,entry,0.0
2026-03-03,9780.T,BUY,1033.23,100,high_vol,high_vol,defensive,entry,0.0
2026-03-04,9311.T,SELL,9450.0,300,crash,high_vol,defensive,sell_signal,-4110.0
2026-03-04,4119.T,SELL,4415.0,100,crash,high_vol,defensive,stop_loss,-40270.0
2026-03-04,9780.T,SELL,983.0,100,crash,high_vol,defensive,stop_loss,-5023.0
2026-03-10,4119.T,BUY,4800.0,700,high_vol,high_vol,defensive,entry,0.0
2026-03-10,4119.T,SELL,4945.0,700,end,high_vol,defensive,end_of_backtest,101500.0
