Date,equity
2025-10-01,2984363.5000000005
2025-10-02,2905163.5000000005
2025-10-03,2905163.5000000005
2025-10-06,2905163.5000000005
2025-10-07,2822355.5000000005
2025-10-08,2807292.5000000005
2025-10-09,2694602.500000001
2025-10-10,2625502.500000001
2025-10-14,2623302.500000001
2025-10-15,2623302.500000001
2025-10-16,2623302.500000001
2025-10-17,2623302.500000001
2025-10-20,2623302.500000001
2025-10-21,2623302.500000001
2025-10-22,2609132.500000001
2025-10-23,2568132.500000001
2025-10-24,2579532.500000001
2025-10-27,2628725.0000000014
2025-10-28,2506225.0000000014
2025-10-29,2397725.0000000014
2025-10-30,2397725.0000000014
2025-10-31,2397725.0000000014
2025-11-04,2385377.0000000014
2025-11-05,2436577.0000000014
2025-11-06,2456564.0000000014
2025-11-07,2479564.0000000014
2025-11-10,3169564.0000000014
2025-11-11,3169564.0000000014
2025-11-12,3169564.0000000014
2025-11-13,3169564.0000000014
2025-11-14,3169564.0000000014
2025-11-17,3188274.000000002
2025-11-18,3026976.000000002
2025-11-19,3015576.000000002
2025-11-20,3009876.000000002
2025-11-21,3045976.000000002
2025-11-25,2996576.000000002
2025-11-26,2996576.000000002
2025-11-27,2996576.000000002
2025-11-28,2996576.000000002
2025-12-01,2996576.000000002
2025-12-02,2996576.000000002
2025-12-03,2996576.000000002
2025-12-04,2996576.000000002
2025-12-05,2996576.000000002
2025-12-08,2996576.000000002
2025-12-09,2996576.000000002
2025-12-10,2996576.000000002
2025-12-11,2996576.000000002
2025-12-12,2996576.000000002
2025-12-15,2985176.000000002
2025-12-16,2949176.000000002
2025-12-17,2967176.000000002
2025-12-18,2988176.000000002
2025-12-19,3060176.000000002
2025-12-22,3036176.000000002
2025-12-23,3081176.000000002
2025-12-24,3096176.000000002
2025-12-25,3114176.000000002
2025-12-26,3111176.000000002
2025-12-29,3090176.000000002
2025-12-30,3069176.000000002
