group,symbol
group1,TYO:1417
group1,TYO:1860
group1,TYO:1861
group1,TYO:1963
group1,TYO:1975
group1,TYO:2124
group1,TYO:2181
group1,TYO:2212
group1,TYO:2220
group1,TYO:2264
group1,TYO:2282
group1,TYO:2326
group1,TYO:2353
group1,TYO:2492
group1,TYO:2501
group1,TYO:2607
group1,TYO:2914
group1,TYO:2933
group1,TYO:2980
group1,TYO:2982
group1,TYO:2983
group1,TYO:3036
group1,TYO:3064
group1,TYO:3104
group1,TYO:3186
group1,TYO:3391
group1,TYO:3392
group1,TYO:3397
group1,TYO:3415
group1,TYO:3449
group1,TYO:3452
group1,TYO:3486
group1,TYO:3489
group1,TYO:3491
group1,TYO:3496
group1,TYO:3498
group1,TYO:3563
group1,TYO:3660
group1,TYO:3661
group1,TYO:3673
group1,TYO:3697
group1,TYO:3762
group1,TYO:3771
group1,TYO:3905
group1,TYO:4013
group1,TYO:4071
group1,TYO:4180
group1,TYO:4203
group1,TYO:4301
group1,TYO:4385
group1,TYO:4413
group1,TYO:4419
group1,TYO:4443
group1,TYO:4477
group1,TYO:4478
group1,TYO:4481
group1,TYO:4503
group1,TYO:4506
group1,TYO:4507
group1,TYO:4684
group1,TYO:4704
group1,TYO:5032
group1,TYO:5248
group1,TYO:6027
group1,TYO:6099
group1,TYO:6412
group1,TYO:6532
group1,TYO:6648
group1,TYO:6871
group1,TYO:7003
group1,TYO:7059
group1,TYO:7088
group1,TYO:7094
group1,TYO:7095
group1,TYO:7167
group1,TYO:7199
group1,TYO:7266
group1,TYO:7327
group1,TYO:7347
group1,TYO:7352
group1,TYO:7581
group1,TYO:7616
group1,TYO:7685
group1,TYO:7752
group1,TYO:7874
group1,TYO:7914
group1,TYO:7936
group1,TYO:8136
group1,TYO:8316
group1,TYO:8331
group1,TYO:8365
group1,TYO:8377
group1,TYO:9166
group1,TYO:9416
group1,TYO:9556
group1,TYO:9627
group1,TYO:9889
group1,TYO:135A
group1,TYO:247A
group1,TYO:285A
group1,TYO:1330
group2,TYO:1301
group2,TYO:1417
group2,TYO:1431
group2,TYO:1433
group2,TYO:1861
group2,TYO:1963
group2,TYO:2002
group2,TYO:2130
group2,TYO:2181
group2,TYO:2212
group2,TYO:2413
group2,TYO:2492
group2,TYO:2780
group2,TYO:2914
group2,TYO:2982
group2,TYO:2983
group2,TYO:3034
group2,TYO:3064
group2,TYO:3093
group2,TYO:3101
group2,TYO:3104
group2,TYO:3116
group2,TYO:3139
group2,TYO:3186
group2,TYO:3391
group2,TYO:3395
group2,TYO:3397
group2,TYO:3452
group2,TYO:3479
group2,TYO:3489
group2,TYO:3496
group2,TYO:3498
group2,TYO:3547
group2,TYO:3561
group2,TYO:3563
group2,TYO:3661
group2,TYO:3683
group2,TYO:3696
group2,TYO:3697
group2,TYO:3762
group2,TYO:3771
group2,TYO:3773
group2,TYO:3774
group2,TYO:3817
group2,TYO:3836
group2,TYO:3863
group2,TYO:3880
group2,TYO:3922
group2,TYO:3923
group2,TYO:3993
group2,TYO:4013
group2,TYO:4021
group2,TYO:4043
group2,TYO:4058
group2,TYO:4061
group2,TYO:4071
group2,TYO:4088
group2,TYO:4113
group2,TYO:4180
group2,TYO:4206
group2,TYO:4323
group2,TYO:4384
group2,TYO:4390
group2,TYO:4396
group2,TYO:4413
