Date,Adj Close,Close,High,Low,Open,Volume
2024-07-23,1095.415771484375,1121.0,1275.0,1030.0,1213.0,10237700
2024-07-24,978.154541015625,1001.0,1091.0,1000.0,1061.0,2380600
2024-07-25,996.720947265625,1020.0,1055.0,960.0,975.0,1537400
2024-07-26,957.6338500976562,980.0,1049.0,980.0,1007.0,742000
2024-07-29,985.9719848632812,1009.0,1035.0,966.0,1000.0,589800
2024-07-30,996.720947265625,1020.0,1029.0,995.0,995.0,291100
2024-07-31,931.2500610351562,953.0,1004.0,953.0,1002.0,613200
2024-08-01,894.1173095703125,915.0,990.0,891.0,959.0,559700
2024-08-02,830.6007690429688,850.0,863.0,805.0,826.0,596500
2024-08-05,702.5905151367188,719.0,797.0,700.0,790.0,656500
2024-08-06,804.2169799804688,823.0,834.0,731.0,779.0,340000
2024-08-07,869.6878662109375,890.0,920.0,791.0,793.0,279500
2024-08-08,830.6007690429688,850.0,890.0,850.0,864.0,128400
2024-08-09,813.98876953125,833.0,879.0,810.0,860.0,133100
2024-08-13,889.2313842773438,910.0,942.0,850.0,863.0,132400
2024-08-14,888.2542724609375,909.0,939.0,883.0,910.0,143800
2024-08-15,905.8433837890625,927.0,952.0,910.0,910.0,95500
2024-08-16,897.048828125,918.0,949.0,914.0,942.0,93900
2024-08-19,879.4595947265625,900.0,921.0,882.0,918.0,143000
2024-08-20,884.3455200195312,905.0,917.0,888.0,915.0,66900
2024-08-21,1030.922119140625,1055.0,1055.0,958.0,979.0,747300
2024-08-22,1001.6068115234375,1025.0,1094.0,985.0,1076.0,596600
2024-08-23,997.6981201171875,1021.0,1073.0,998.0,1007.0,254100
2024-08-26,1037.7623291015625,1062.0,1080.0,1028.0,1047.0,141300
2024-08-27,1104.2103271484375,1130.0,1147.0,1071.0,1087.0,382600
2024-08-28,1056.3287353515625,1081.0,1129.0,1038.0,1129.0,230600
2024-08-29,1061.214599609375,1086.0,1110.0,1070.0,1074.0,119500
2024-08-30,1117.8909912109375,1144.0,1157.0,1102.0,1116.0,241500
2024-09-02,1170.6585693359375,1198.0,1226.0,1127.0,1174.0,553200
2024-09-03,1172.61279296875,1200.0,1289.0,1162.0,1240.0,754700
2024-09-04,1090.5299072265625,1116.0,1161.0,1100.0,1116.0,380600
2024-09-05,1197.042236328125,1225.0,1302.0,1121.0,1121.0,826900
2024-09-06,1131.5714111328125,1158.0,1221.0,1087.0,1214.0,869700
2024-09-09,1159.9095458984375,1187.0,1221.0,1088.0,1100.0,532800
2024-09-10,1150.1378173828125,1177.0,1200.0,1136.0,1200.0,337100
2024-09-11,1102.256103515625,1128.0,1160.0,1107.0,1160.0,226500
2024-09-12,1183.36181640625,1211.0,1213.0,1160.0,1164.0,389200
2024-09-13,1137.4345703125,1164.0,1213.0,1150.0,1213.0,359400
2024-09-17,1148.183349609375,1175.0,1324.0,1103.0,1135.0,2095200
2024-09-18,1259.5816650390625,1289.0,1320.0,1181.0,1195.0,1102200
2024-09-19,1485.3095703125,1520.0,1560.0,1325.0,1343.0,1951800
2024-09-20,1543.9403076171875,1580.0,1623.0,1466.0,1560.0,1392100
2024-09-24,1446.2225341796875,1480.0,1647.0,1471.0,1620.0,768600
2024-09-25,1459.903076171875,1494.0,1573.0,1475.0,1480.0,451900
2024-09-26,1524.396728515625,1560.0,1594.0,1450.0,1502.0,365300
2024-09-27,1510.7161865234375,1546.0,1608.0,1520.0,1540.0,278500
2024-09-30,1429.6104736328125,1463.0,1590.0,1445.0,1506.0,451900
2024-10-01,1565.438232421875,1602.0,1661.0,1518.0,1523.0,580200
