Date,Adj Close,Close,High,Low,Open,Volume
2001-01-04,1141.870361328125,1406.0,1440.0,1370.0,1440.0,70800000
2001-01-05,1119.130859375,1378.0,1430.0,1358.0,1420.0,63650000
2001-01-08,1119.130859375,1378.0,1378.0,1378.0,1378.0,0
2001-01-09,1128.8763427734375,1390.0,1390.0,1362.0,1374.0,45700000
2001-01-10,1136.997314453125,1400.0,1410.0,1366.0,1370.0,48150000
2001-01-11,1166.2347412109375,1436.0,1436.0,1392.0,1398.0,81600000
2001-01-12,1162.9864501953125,1432.0,1454.0,1430.0,1436.0,40800000
2001-01-15,1136.997314453125,1400.0,1440.0,1380.0,1440.0,48950000
2001-01-16,1158.1134033203125,1426.0,1430.0,1384.0,1420.0,54500000
2001-01-17,1140.2464599609375,1404.0,1404.0,1366.0,1386.0,76300000
2001-01-18,1136.997314453125,1400.0,1400.0,1378.0,1400.0,67850000
2001-01-19,1072.026611328125,1320.0,1396.0,1320.0,1380.0,140250000
2001-01-22,1115.8818359375,1374.0,1380.0,1346.0,1360.0,71250000
2001-01-23,1119.130859375,1378.0,1386.0,1352.0,1374.0,101050000
2001-01-24,1125.62744140625,1386.0,1390.0,1360.0,1388.0,69400000
2001-01-25,1109.384521484375,1366.0,1390.0,1354.0,1386.0,86800000
2001-01-26,1117.50634765625,1376.0,1380.0,1360.0,1366.0,55550000
2001-01-29,1140.2464599609375,1404.0,1414.0,1368.0,1376.0,111800000
2001-01-30,1117.50634765625,1376.0,1400.0,1356.0,1400.0,89400000
2001-01-31,1099.63916015625,1354.0,1354.0,1334.0,1350.0,138450000
2001-02-01,1104.511962890625,1360.0,1360.0,1330.0,1350.0,78650000
2001-02-02,1093.1419677734375,1346.0,1368.0,1344.0,1344.0,41750000
2001-02-05,1101.263671875,1356.0,1368.0,1344.0,1344.0,91100000
2001-02-06,1083.3963623046875,1334.0,1350.0,1332.0,1350.0,110100000
2001-02-07,1094.76611328125,1348.0,1358.0,1328.0,1334.0,59700000
2001-02-08,1088.269287109375,1340.0,1346.0,1332.0,1346.0,57100000
2001-02-09,1104.511962890625,1360.0,1364.0,1340.0,1340.0,119200000
2001-02-12,1104.511962890625,1360.0,1360.0,1360.0,1360.0,0
2001-02-13,1073.650390625,1322.0,1360.0,1320.0,1360.0,118150000
2001-02-14,1096.3902587890625,1350.0,1360.0,1324.0,1324.0,88300000
2001-02-15,1102.8875732421875,1358.0,1364.0,1348.0,1352.0,148100000
2001-02-16,1096.3902587890625,1350.0,1378.0,1346.0,1360.0,118250000
2001-02-19,1096.3902587890625,1350.0,1350.0,1340.0,1348.0,87850000
2001-02-20,1099.63916015625,1354.0,1370.0,1344.0,1350.0,126600000
2001-02-21,1093.1419677734375,1346.0,1348.0,1340.0,1346.0,94550000
2001-02-22,1083.3963623046875,1334.0,1346.0,1334.0,1344.0,106100000
2001-02-23,1081.771728515625,1332.0,1340.0,1324.0,1340.0,180750000
2001-02-26,1094.76611328125,1348.0,1360.0,1334.0,1334.0,60000000
2001-02-27,1101.263671875,1356.0,1360.0,1342.0,1350.0,56900000
2001-02-28,1133.749267578125,1396.0,1396.0,1364.0,1370.0,152100000
2001-03-01,1166.2347412109375,1436.0,1436.0,1396.0,1400.0,258500000
2001-03-02,1161.3616943359375,1430.0,1454.0,1422.0,1444.0,255050000
2001-03-05,1174.3563232421875,1446.0,1450.0,1430.0,1430.0,158700000
2001-03-06,1177.6046142578125,1450.0,1450.0,1420.0,1426.0,119500000
2001-03-07,1201.9686279296875,1480.0,1480.0,1438.0,1448.0,176350000
2001-03-08,1216.587158203125,1498.0,1498.0,1470.0,1474.0,212450000
2001-03-09,1218.21142578125,1500.0,1504.0,1494.0,1498.0,338950000
2001-03-12,1180.85302734375,1454.0,1492.0,1444.0,1482.0,167350000
2001-03-13,1149.9920654296875,1416.0,1470.0,1400.0,1460.0,105550000
2001-03-14,1149.9920654296875,1416.0,1416.0,1416.0,1416.0,0
2001-03-15,1161.3616943359375,1430.0,1440.0,1402.0,1430.0,79750000
2001-03-16,1193.8472900390625,1470.0,1478.0,1440.0,1450.0,107900000
2001-03-19,1229.5816650390625,1514.0,1524.0,1470.0,1470.0,176000000
2001-03-20,1229.5816650390625,1514.0,1514.0,1514.0,1514.0,0
2001-03-21,1294.5526123046875,1594.0,1594.0,1512.0,1514.0,204250000
2001-03-22,1237.70361328125,1524.0,1604.0,1524.0,1580.0,252000000
2001-03-23,1315.6685791015625,1620.0,1620.0,1528.0,1528.0,218300000
2001-03-26,1331.9114990234375,1640.0,1640.0,1580.0,1618.0,201450000
2001-03-27,1334.3553466796875,1638.0,1640.0,1580.0,1598.0,126150000
2001-03-28,1287.107421875,1580.0,1624.0,1540.0,1612.0,101400000
2001-03-29,1300.141357421875,1596.0,1622.0,1556.0,1560.0,134650000
2001-03-30,1257.7806396484375,1544.0,1596.0,1536.0,1592.0,62850000
2001-04-02,1186.093505859375,1456.0,1544.0,1456.0,1544.0,111100000
2001-04-03,1290.365478515625,1584.0,1588.0,1538.0,1540.0,77100000
2001-04-04,1270.8148193359375,1560.0,1590.0,1546.0,1576.0,49600000
