Date,Adj Close,Close,High,Low,Open,Volume
2024-06-26,1407.4014892578125,1524.0,1527.0,1518.0,1524.0,93346
2024-06-27,1396.3197021484375,1512.0,1524.0,1506.0,1524.0,40021
2024-06-28,1396.3197021484375,1512.0,1518.0,1501.0,1518.0,39281
2024-07-01,1384.3143310546875,1499.0,1515.0,1496.0,1515.0,32846
2024-07-02,1386.1612548828125,1501.0,1501.0,1492.0,1500.0,19172
2024-07-03,1386.1612548828125,1501.0,1503.0,1491.0,1500.0,27960
2024-07-04,1394.47265625,1510.0,1512.0,1500.0,1501.0,5792
2024-07-05,1387.084716796875,1502.0,1507.0,1495.0,1506.0,10489
2024-07-08,1384.3143310546875,1499.0,1505.0,1495.0,1501.0,20788
2024-07-09,1386.1612548828125,1501.0,1501.0,1488.0,1498.0,8070
2024-07-10,1388.0081787109375,1503.0,1503.0,1499.0,1502.0,2475
2024-07-11,1389.8551025390625,1505.0,1510.0,1500.0,1503.0,14252
2024-07-12,1404.631103515625,1521.0,1524.0,1503.0,1504.0,5081
2024-07-16,1405.554443359375,1522.0,1522.0,1517.0,1522.0,5479
2024-07-17,1409.2486572265625,1526.0,1526.0,1519.0,1523.0,8081
2024-07-18,1411.095458984375,1528.0,1532.0,1522.0,1526.0,4335
2024-07-19,1399.090087890625,1515.0,1525.0,1510.0,1525.0,11544
2024-07-22,1388.9315185546875,1504.0,1514.0,1497.0,1514.0,7826
2024-07-23,1389.8551025390625,1505.0,1505.0,1495.0,1503.0,6381
2024-07-24,1385.2379150390625,1500.0,1504.0,1493.0,1501.0,3640
2024-07-25,1378.7733154296875,1493.0,1500.0,1490.0,1495.0,7295
2024-07-26,1381.543701171875,1496.0,1498.0,1490.0,1490.0,2769
2024-07-29,1387.084716796875,1502.0,1504.0,1488.0,1495.0,5081
2024-07-30,1389.8551025390625,1505.0,1509.0,1495.0,1506.0,2501
2024-07-31,1396.3197021484375,1512.0,1512.0,1501.0,1501.0,3911
2024-08-01,1390.778564453125,1506.0,1510.0,1490.0,1509.0,10655
2024-08-02,1377.8499755859375,1492.0,1500.0,1470.0,1490.0,16569
2024-08-05,1366.767822265625,1480.0,1490.0,1440.0,1485.0,17403
2024-08-06,1346.451171875,1458.0,1490.0,1458.0,1489.0,8549
2024-08-07,1376.92626953125,1491.0,1497.0,1450.0,1480.0,5744
2024-08-08,1370.4619140625,1484.0,1494.0,1473.0,1482.0,2689
2024-08-09,1357.5328369140625,1470.0,1489.0,1468.0,1476.0,6955
2024-08-13,1370.4619140625,1484.0,1491.0,1478.0,1486.0,2795
2024-08-14,1382.46728515625,1497.0,1497.0,1482.0,1485.0,7066
2024-08-15,1388.9315185546875,1504.0,1504.0,1483.0,1495.0,35785
2024-08-16,1397.2432861328125,1513.0,1513.0,1503.0,1507.0,10496
2024-08-19,1392.6256103515625,1508.0,1514.0,1496.0,1496.0,3195
2024-08-20,1400.013671875,1516.0,1516.0,1510.0,1514.0,3310
2024-08-21,1395.3961181640625,1511.0,1515.0,1509.0,1515.0,2327
2024-08-22,1395.3961181640625,1511.0,1511.0,1496.0,1507.0,9340
2024-08-23,1396.3197021484375,1512.0,1512.0,1505.0,1511.0,1136
2024-08-26,1402.7841796875,1519.0,1519.0,1514.0,1517.0,3575
2024-08-28,1424.0245361328125,1542.0,1547.0,1537.0,1541.0,2772
2024-08-29,1416.636474609375,1534.0,1547.0,1530.0,1543.0,3322
2024-08-30,1408.324951171875,1525.0,1529.0,1518.0,1529.0,14153
2024-09-02,1406.47802734375,1523.0,1529.0,1520.0,1525.0,2783
2024-09-03,1407.41064453125,1509.0,1570.0,1500.0,1510.0,4159
2024-09-04,1392.4879150390625,1493.0,1510.0,1490.0,1503.0,4980
2024-09-05,1386.891845703125,1487.0,1501.0,1483.0,1489.0,7801
2024-09-06,1387.824462890625,1488.0,1508.0,1483.0,1487.0,5478
2024-09-09,1381.295654296875,1481.0,1488.0,1477.0,1488.0,1086
2024-09-10,1390.6224365234375,1491.0,1508.0,1488.0,1508.0,403
2024-09-11,1376.63232421875,1476.0,1508.0,1471.0,1508.0,3898
2024-09-12,1385.9591064453125,1486.0,1505.0,1480.0,1505.0,1230
2024-09-13,1391.55517578125,1492.0,1496.0,1488.0,1496.0,2167
2024-09-17,1391.55517578125,1492.0,1494.0,1477.0,1477.0,4190
2024-09-18,1390.6224365234375,1491.0,1495.0,1484.0,1495.0,2453
2024-09-19,1388.7572021484375,1489.0,1495.0,1484.0,1494.0,5681
2024-09-20,1390.6224365234375,1491.0,1501.0,1490.0,1496.0,4917
2024-09-24,1387.824462890625,1488.0,1510.0,1485.0,1510.0,3862
2024-09-25,1393.4205322265625,1494.0,1507.0,1481.0,1507.0,24050
2024-09-26,1399.0166015625,1500.0,1509.0,1491.0,1509.0,1268
2024-09-27,1404.612548828125,1506.0,1506.0,1498.0,1500.0,1266
2024-09-30,1376.63232421875,1476.0,1510.0,1473.0,1510.0,12037
2024-10-01,1376.63232421875,1476.0,1484.0,1471.0,1484.0,6999
2024-10-02,1371.9688720703125,1471.0,1482.0,1466.0,1482.0,5114
2024-10-03,1375.6995849609375,1475.0,1481.0,1474.0,1476.0,20109
2024-10-04,1375.6995849609375,1475.0,1480.0,1472.0,1472.0,1275
2024-10-07,1363.574951171875,1462.0,1480.0,1458.0,1480.0,13142
2024-10-08,1360.77685546875,1459.0,1463.0,1455.0,1463.0,9649
2024-10-09,1363.574951171875,1462.0,1464.0,1458.0,1464.0,6517
2024-10-10,1357.9788818359375,1456.0,1475.0,1454.0,1475.0,32826
2024-10-11,1357.9788818359375,1456.0,1461.0,1450.0,1461.0,9381
2024-10-15,1354.248046875,1452.0,1457.0,1448.0,1455.0,4383
2024-10-16,1350.5174560546875,1448.0,1465.0,1443.0,1465.0,17583
2024-10-17,1353.3153076171875,1451.0,1461.0,1447.0,1458.0,13997
2024-10-18,1357.046142578125,1455.0,1458.0,1451.0,1451.0,3866
2024-10-21,1355.1806640625,1453.0,1466.0,1447.0,1465.0,10076
2024-10-22,1346.7867431640625,1444.0,1460.0,1438.0,1460.0,14849
2024-10-23,1352.3826904296875,1450.0,1453.0,1435.0,1453.0,5080
2024-10-24,1341.1905517578125,1438.0,1455.0,1438.0,1455.0,5184
2024-10-25,1342.1231689453125,1439.0,1441.0,1432.0,1441.0,8070
2024-10-28,1349.584716796875,1447.0,1447.0,1432.0,1437.0,8000
2024-10-29,1350.5174560546875,1448.0,1456.0,1438.0,1456.0,100931
2024-10-31,1345.85400390625,1443.0,1455.0,1437.0,1455.0,28524
2024-11-01,1343.9886474609375,1441.0,1447.0,1435.0,1435.0,1456
2024-11-06,1352.3826904296875,1450.0,1454.0,1439.0,1448.0,10586
2024-11-07,1344.9212646484375,1442.0,1462.0,1439.0,1462.0,19076
2024-11-08,1347.71923828125,1445.0,1454.0,1441.0,1454.0,9871
2024-11-11,1348.6519775390625,1446.0,1457.0,1439.0,1457.0,4629
2024-11-12,1351.449951171875,1449.0,1450.0,1443.0,1449.0,5484
2024-11-13,1343.0560302734375,1440.0,1448.0,1436.0,1448.0,20486
2024-11-14,1332.796630859375,1429.0,1444.0,1423.0,1444.0,22669
2024-11-15,1337.4599609375,1434.0,1438.0,1428.0,1430.0,12840
2024-11-18,1344.9212646484375,1442.0,1443.0,1431.0,1438.0,8008
2024-11-19,1352.3826904296875,1450.0,1450.0,1442.0,1443.0,7799
2024-11-20,1356.1134033203125,1454.0,1457.0,1448.0,1450.0,4363
2024-11-21,1350.5174560546875,1448.0,1456.0,1446.0,1456.0,1408
2024-11-22,1356.1134033203125,1454.0,1454.0,1445.0,1448.0,4007
2024-11-25,1368.2381591796875,1467.0,1467.0,1457.0,1460.0,41110
2024-11-26,1364.5074462890625,1463.0,1465.0,1454.0,1465.0,22367
2024-11-27,1360.77685546875,1459.0,1468.0,1445.0,1468.0,7725
2024-11-28,1371.0362548828125,1470.0,1470.0,1449.0,1449.0,13693
2024-11-29,1369.1708984375,1468.0,1468.0,1453.0,1465.0,2850
2024-12-02,1347.71923828125,1445.0,1464.0,1441.0,1460.0,17768
2024-12-03,1344.90380859375,1433.0,1436.0,1427.0,1429.0,12084
2024-12-04,1343.026611328125,1431.0,1439.0,1430.0,1434.0,6985
2024-12-05,1342.0882568359375,1430.0,1437.0,1425.0,1437.0,24812
2024-12-06,1337.3955078125,1425.0,1434.0,1424.0,1434.0,4593
2024-12-09,1326.1334228515625,1413.0,1429.0,1409.0,1429.0,24160
2024-12-10,1325.19482421875,1412.0,1421.0,1408.0,1421.0,16228
2024-12-11,1337.3955078125,1425.0,1425.0,1405.0,1416.0,12177
2024-12-12,1326.1334228515625,1413.0,1416.0,1409.0,1416.0,23825
2024-12-13,1326.1334228515625,1413.0,1418.0,1409.0,1409.0,10151
2024-12-16,1327.0718994140625,1414.0,1418.0,1403.0,1418.0,10063
2024-12-17,1325.19482421875,1412.0,1416.0,1405.0,1405.0,6865
2024-12-18,1323.3177490234375,1410.0,1414.0,1408.0,1411.0,8603
2024-12-19,1315.8094482421875,1402.0,1409.0,1400.0,1409.0,20682
2024-12-20,1329.887451171875,1417.0,1418.0,1410.0,1410.0,29580
2024-12-23,1343.9652099609375,1432.0,1432.0,1416.0,1420.0,11097
2024-12-24,1343.026611328125,1431.0,1432.0,1425.0,1430.0,5972
2024-12-25,1344.90380859375,1433.0,1436.0,1426.0,1436.0,5111
2024-12-26,1359.9202880859375,1449.0,1449.0,1432.0,1434.0,3219
2024-12-27,1366.48974609375,1456.0,1459.0,1449.0,1453.0,16860
2024-12-30,1370.243896484375,1460.0,1465.0,1448.0,1457.0,16377
2025-01-06,1382.4447021484375,1473.0,1478.0,1465.0,1466.0,11891
2025-01-07,1373.998046875,1464.0,1475.0,1460.0,1475.0,28708
2025-01-08,1371.182373046875,1461.0,1472.0,1457.0,1472.0,4544
2025-01-09,1363.6741943359375,1453.0,1453.0,1445.0,1452.0,6209
2025-01-10,1361.7972412109375,1451.0,1451.0,1445.0,1450.0,2818
2025-01-14,1353.3504638671875,1442.0,1458.0,1442.0,1458.0,3122
2025-01-15,1359.9202880859375,1449.0,1449.0,1438.0,1449.0,2544
2025-01-16,1357.1046142578125,1446.0,1452.0,1445.0,1451.0,3887
2025-01-17,1361.7972412109375,1451.0,1451.0,1442.0,1451.0,1213
2025-01-20,1357.1046142578125,1446.0,1454.0,1441.0,1454.0,3001
2025-01-21,1357.1046142578125,1446.0,1450.0,1442.0,1450.0,1938
2025-01-22,1359.9202880859375,1449.0,1450.0,1446.0,1448.0,1394
2025-01-23,1358.9815673828125,1448.0,1448.0,1442.0,1445.0,1265
2025-01-24,1378.6905517578125,1469.0,1476.0,1448.0,1448.0,16175
2025-01-27,1400.276611328125,1492.0,1492.0,1466.0,1466.0,8235
2025-01-28,1425.61669921875,1519.0,1520.0,1496.0,1497.0,31845
2025-01-29,1420.9239501953125,1514.0,1524.0,1513.0,1520.0,33914
2025-01-30,1422.801025390625,1516.0,1517.0,1500.0,1500.0,11868
2025-01-31,1420.9239501953125,1514.0,1520.0,1507.0,1520.0,4135
2025-02-03,1413.416015625,1506.0,1516.0,1482.0,1482.0,6549
2025-02-04,1413.416015625,1506.0,1510.0,1500.0,1510.0,4455
2025-02-05,1404.03076171875,1496.0,1518.0,1495.0,1518.0,8898
2025-02-06,1405.9078369140625,1498.0,1503.0,1488.0,1488.0,2446
2025-02-07,1397.4610595703125,1489.0,1502.0,1487.0,1502.0,3736
2025-02-10,1385.26025390625,1476.0,1490.0,1474.0,1488.0,5101
2025-02-12,1389.014404296875,1480.0,1483.0,1477.0,1480.0,2209
2025-02-13,1399.338134765625,1491.0,1493.0,1484.0,1491.0,28811
2025-02-14,1402.1536865234375,1494.0,1500.0,1492.0,1493.0,22993
2025-02-17,1408.723388671875,1501.0,1501.0,1493.0,1493.0,381
2025-02-18,1409.6619873046875,1502.0,1506.0,1498.0,1506.0,596
2025-02-19,1408.723388671875,1501.0,1508.0,1500.0,1503.0,399
2025-02-20,1408.723388671875,1501.0,1508.0,1499.0,1508.0,1554
2025-02-21,1409.6619873046875,1502.0,1507.0,1497.0,1507.0,1053
2025-02-25,1411.5389404296875,1504.0,1507.0,1501.0,1507.0,12929
