ticker,simple_sector,sector_33,buy_date,sell_date,shares,buy_price,sell_price,pnl,return_pct,exit_reason
3289.T,225/不動産,不動産業,2026-01-05,2026-01-06,100,1447.0,1468.0,2100.0,1.4512785072563927,sell_signal
1879.T,建設/建設・土木,建設業,2026-01-05,2026-01-06,500,2054.0,2040.0,-7000.0,-0.6815968841285325,sell_signal
7241.T,輸送用機器/自動車部品,輸送用機器,2026-01-06,2026-01-09,300,1077.0,1070.0,-2100.0,-0.6499535747446661,sell_signal
8344.T,銀行/地方銀行,銀行業,2026-01-05,2026-01-13,100,1953.0,2130.0,17700.0,9.062980030721967,take_profit
7184.T,銀行/地方銀行,銀行業,2026-01-05,2026-01-13,100,1824.0749999999998,1975.0,15092.500000000018,8.274056713676803,take_profit
8600.T,銀行/地方銀行,銀行業,2026-01-05,2026-01-15,100,787.92,852.0,6408.000000000004,8.132805360950357,take_profit
5697.T,鉄鋼/鉄鋼,鉄鋼,2026-01-05,2026-01-16,600,754.0,835.0,48600.0,10.742705570291777,take_profit
9791.T,大幅強気/増額,サービス業,2026-01-06,2026-01-20,100,1420.0649999999998,1388.0,-3206.4999999999827,-2.257995232612575,sell_signal
1768.T,建設/建設・土木,建設業,2026-01-14,2026-01-20,200,1407.0,1555.0,29600.0,10.51883439943142,take_profit
5105.T,ゴム/タイヤ・ゴム,ゴム製品,2026-01-16,2026-01-21,100,4517.474999999999,4359.0,-15847.499999999945,-3.5080437633855044,sell_signal
7246.T,輸送用機器/建設農業機械・産業車両,輸送用機器,2026-01-05,2026-01-22,500,825.0,892.0,33500.0,8.121212121212128,take_profit
6343.T,機械/住宅建設,機械,2026-01-05,2026-01-23,800,165.825,181.0,12140.00000000001,9.151213628825584,take_profit
5105.T,ゴム/タイヤ・ゴム,ゴム製品,2026-01-22,2026-01-23,300,4420.0,4446.0,7800.0,0.588235294117645,sell_signal
7184.T,銀行/地方銀行,銀行業,2026-01-23,2026-01-26,700,2406.0,2285.0,-84700.0,-5.029093931837069,stop_loss
3388.T,卸売/電子部品・産業用電子機器,卸売業,2026-01-05,2026-01-27,100,2379.8399999999997,2365.0,-1483.999999999969,-0.6235713325265402,sell_signal
7241.T,輸送用機器/自動車部品,輸送用機器,2026-01-14,2026-01-27,500,1090.0,1059.0,-15500.0,-2.8440366972477094,sell_signal
9405.T,大幅増額/情報通信,情報・通信業,2026-01-06,2026-01-28,400,852.2399999999999,813.0,-15695.999999999958,-4.60433680653336,sell_signal
1879.T,建設/建設・土木,建設業,2026-01-07,2026-01-28,100,2050.2,1989.0,-6119.999999999982,-2.985074626865658,sell_signal
9405.T,大幅増額/情報通信,情報・通信業,2026-01-29,2026-01-30,700,817.0649999999999,830.0,9054.500000000042,1.583105383292649,sell_signal
9405.T,大幅増額/情報通信,情報・通信業,2026-02-02,2026-02-03,500,838.0,844.0,3000.0,0.7159904534606243,sell_signal
7184.T,銀行/地方銀行,銀行業,2026-01-27,2026-02-05,1000,2296.4249999999997,2460.0,163575.00000000026,7.123028185113833,sell_signal
9791.T,大幅強気/増額,サービス業,2026-02-03,2026-02-06,300,1406.9999999999998,1391.0,-4799.999999999932,-1.1371712864249983,sell_signal
6357.T,機械/外食・娯楽サービス,機械,2026-02-09,2026-02-10,200,2580.0,2496.0,-16800.0,-3.2558139534883734,sell_signal
4977.T,化学/食品,化学,2026-01-05,2026-02-16,100,1246.1999999999998,1380.0,13380.000000000018,10.736639383726555,take_profit
3352.T,小売/他消費財小売り,小売業,2026-02-02,2026-02-17,100,1650.0,1990.0,34000.0,20.606060606060606,take_profit
7241.T,輸送用機器/自動車部品,輸送用機器,2026-02-05,2026-02-27,2200,1084.0,1173.0,195800.0,8.210332103321027,take_profit
1768.T,建設/建設・土木,建設業,2026-02-12,2026-03-04,300,1642.1699999999998,1457.0,-55550.999999999956,-11.275933673127625,stop_loss
4619.T,化学/タイヤ・ゴム,化学,2026-02-27,2026-03-04,500,2478.0,2339.0,-69500.0,-5.609362389023409,stop_loss
1879.T,建設/建設・土木,建設業,2026-02-27,2026-03-04,700,2153.7149999999997,1978.0,-123000.49999999978,-8.158693234713033,stop_loss
7456.T,卸売/非鉄金属・金属製品,卸売業,2026-03-05,2026-03-06,100,8110.0,7900.0,-21000.0,-2.5893958076448786,sell_signal
8393.T,銀行/地方銀行,銀行業,2026-03-05,2026-03-06,200,9220.0,9270.0,10000.0,0.5422993492407713,sell_signal
1808.T,225/建設,建設業,2026-03-06,2026-03-10,300,3217.0049999999997,3121.0,-28801.499999999898,-2.9842975065316857,sell_signal
8393.T,銀行/地方銀行,銀行業,2026-03-10,2026-03-10,100,8880.0,9170.0,29000.0,3.26576576576576,end_of_backtest
5714.T,225/非鉄金属,非鉄金属,2026-03-10,2026-03-10,200,9811.0,10055.0,48800.0,2.4870043828356003,end_of_backtest
