date,cash,market_value,equity,positions
2026-01-05,74100.0,2925900.0,3000000.0,12
2026-01-06,74100.0,2937200.0,3011300.0,12
2026-01-07,74100.0,2949100.0,3023200.0,12
2026-01-08,189700.0,2820100.0,3009800.0,11
2026-01-09,27300.0,2992800.0,3020100.0,12
2026-01-13,27300.0,3025000.0,3052300.0,12
2026-01-14,27300.0,3069900.0,3097200.0,12
2026-01-15,27300.0,3078000.0,3105300.0,12
2026-01-16,27300.0,3113400.0,3140700.0,12
2026-01-19,167000.0,2959400.0,3126400.0,11
2026-01-20,167000.0,2919700.0,3086700.0,11
2026-01-21,167000.0,2897600.0,3064600.0,11
2026-01-22,93100.0,3035900.0,3129000.0,11
2026-01-23,10700.0,3131800.0,3142500.0,12
2026-01-26,98900.0,2996900.0,3095800.0,11
2026-01-27,429300.0,2654900.0,3084200.0,10
2026-01-28,2100.0,3048000.0,3050100.0,9
2026-01-29,899700.0,2163600.0,3063300.0,8
2026-01-30,9200.0,3061900.0,3071100.0,11
2026-02-02,8700.0,3078500.0,3087200.0,11
2026-02-03,117300.0,3040800.0,3158100.0,10
2026-02-04,70200.0,3131400.0,3201600.0,10
2026-02-05,489600.0,2709800.0,3199400.0,9
2026-02-06,235100.0,2993000.0,3228100.0,10
2026-02-09,484100.0,2778500.0,3262600.0,9
2026-02-10,157300.0,3157000.0,3314300.0,10
2026-02-12,233600.0,3122100.0,3355700.0,9
2026-02-13,233600.0,3123200.0,3356800.0,9
2026-02-16,233600.0,3100600.0,3334200.0,9
2026-02-17,233600.0,3151200.0,3384800.0,9
2026-02-18,233600.0,3134600.0,3368200.0,9
2026-02-19,233600.0,3160000.0,3393600.0,9
2026-02-20,11900.0,3336300.0,3348200.0,11
2026-02-24,88900.0,3296100.0,3385000.0,10
2026-02-25,88900.0,3292600.0,3381500.0,10
2026-02-26,88900.0,3290200.0,3379100.0,10
2026-02-27,88900.0,3332600.0,3421500.0,10
2026-03-02,88900.0,3313800.0,3402700.0,10
2026-03-03,542900.0,2793200.0,3336100.0,8
2026-03-04,158900.0,3043100.0,3202000.0,7
2026-03-05,331300.0,3010300.0,3341600.0,10
2026-03-06,177900.0,3155600.0,3333500.0,11
2026-03-09,88700.0,3101100.0,3189800.0,7
2026-03-10,118800.0,3184300.0,3303100.0,8
