ticker,simple_sector,sector_33,buy_date,sell_date,shares,buy_price,sell_price,pnl,return_pct,exit_reason
1879.T,建設/建設・土木,建設業,2026-01-05,2026-01-06,1200,2024.825,2040.0,18209.999999999945,0.7494474831158282,sell_signal
3352.T,小売/他消費財小売り,小売業,2026-01-06,2026-01-09,300,1610.905,1624.0,3928.500000000008,0.8128970982149708,sell_signal
7241.T,輸送用機器/自動車部品,輸送用機器,2026-01-06,2026-01-09,900,1059.675,1070.0,9292.50000000004,0.9743553447991271,sell_signal
7184.T,銀行/地方銀行,銀行業,2026-01-05,2026-01-13,100,1805.925,1975.0,16907.500000000004,9.362238188186112,take_profit
6343.T,機械/住宅建設,機械,2026-01-05,2026-01-16,800,164.175,178.0,11059.99999999999,8.420892340490326,take_profit
3352.T,小売/他消費財小売り,小売業,2026-01-13,2026-01-23,1000,1615.8799999999999,1639.0,23120.000000000116,1.4307993167809618,sell_signal
9791.T,大幅強気/増額,サービス業,2026-01-26,2026-01-27,400,1402.0,1400.0,-800.0,-0.14265335235378318,sell_signal
9034.T,前号並み/陸運,陸運業,2026-01-26,2026-01-27,400,1599.96,1587.0,-5184.000000000015,-0.8100202505062604,sell_signal
1879.T,建設/建設・土木,建設業,2026-01-07,2026-01-28,300,2025.0,1989.0,-10800.0,-1.7777777777777781,sell_signal
3289.T,225/不動産,不動産業,2026-01-07,2026-01-29,300,1441.0,1409.5,-9450.0,-2.1859819569743255,sell_signal
3352.T,小売/他消費財小売り,小売業,2026-01-26,2026-01-29,400,1626.0,1582.0,-17600.0,-2.7060270602705994,sell_signal
9405.T,大幅増額/情報通信,情報・通信業,2026-01-29,2026-01-30,2100,808.935,830.0,44236.50000000012,2.604041115788047,sell_signal
8515.T,その他金融/リース・消費者金融,その他金融業,2026-01-05,2026-02-04,200,556.0,543.0,-2600.0,-2.3381294964028743,sell_signal
7971.T,増額/化学,化学,2026-01-05,2026-02-05,100,738.29,809.0,7071.000000000004,9.577537282097826,take_profit
7184.T,銀行/地方銀行,銀行業,2026-01-27,2026-02-05,500,2273.575,2460.0,93212.50000000009,8.199641533707936,take_profit
7231.T,輸送用機器/自動車部品,輸送用機器,2026-02-02,2026-02-06,200,3114.35,3380.0,53130.000000000015,8.529869796265665,take_profit
7722.T,精密機器/自動車部品,精密機器,2026-02-04,2026-02-09,200,990.0,1093.0,20600.0,10.404040404040394,take_profit
6357.T,機械/外食・娯楽サービス,機械,2026-02-09,2026-02-10,1100,2532.275,2496.0,-39902.5000000001,-1.4325063431104512,sell_signal
4043.T,225/化学,化学,2026-02-13,2026-02-16,700,4200.0,4164.0,-25200.0,-0.8571428571428563,sell_signal
4619.T,化学/タイヤ・ゴム,化学,2026-02-02,2026-02-18,100,2331.285,2385.0,5371.500000000015,2.304094094029696,sell_signal
8344.T,銀行/地方銀行,銀行業,2026-02-16,2026-02-24,500,2641.725,2683.0,20637.500000000044,1.56242606630137,sell_signal
8387.T,銀行/地方銀行,銀行業,2026-02-16,2026-02-24,700,2329.295,2361.0,22193.49999999995,1.3611414612575867,sell_signal
7971.T,増額/化学,化学,2026-02-24,2026-02-25,2100,766.15,773.0,14385.000000000047,0.8940807935782891,sell_signal
9034.T,前号並み/陸運,陸運業,2026-02-25,2026-03-04,1800,1721.35,1617.0,-187829.99999999983,-6.062102419612514,stop_loss
1814.T,大幅増額/建設,建設業,2026-03-06,2026-03-09,100,4070.0,3810.0,-26000.0,-6.3882063882063855,stop_loss
1946.T,建設/設備工事,建設業,2026-03-06,2026-03-09,200,2148.0,1990.0,-31600.0,-7.355679702048413,stop_loss
7102.T,輸送用機器/建設農業機械・産業車両,輸送用機器,2026-03-06,2026-03-09,100,3890.0,3685.0,-20500.0,-5.26992287917738,stop_loss
6743.T,電気機器/設備機器・部品,電気機器,2026-03-06,2026-03-10,500,824.0,817.0,-3500.0,-0.8495145631068013,sell_signal
1808.T,225/建設,建設業,2026-03-06,2026-03-10,100,3176.0,3121.0,-5500.0,-1.731738035264485,sell_signal
7231.T,輸送用機器/自動車部品,輸送用機器,2026-03-06,2026-03-10,100,3345.0,3335.0,-1000.0,-0.2989536621823663,sell_signal
8154.T,卸売/電子部品・産業用電子機器,卸売業,2026-03-06,2026-03-10,100,4105.0,4045.0,-6000.0,-1.461632155907433,sell_signal
9063.T,陸運/陸運,陸運業,2026-03-09,2026-03-10,100,4385.0,4485.0,10000.0,2.2805017103762815,sell_signal
1768.T,建設/建設・土木,建設業,2026-03-09,2026-03-10,500,1434.0,1504.0,35000.0,4.881450488145056,end_of_backtest
