date,ticker,simple_sector,sector_33,action,price,shares,cash_after,signal_score,signal_basis_date,reason
2026-01-05,7971.T,増額/化学,化学,BUY,738.29,100,2926171.0,0.5388581393175802,2025-12-30,buy_signal_limit
2026-01-05,8515.T,その他金融/リース・消費者金融,その他金融業,BUY,556.0,200,2814971.0,0.5110649969784565,2025-12-30,buy_signal_limit
2026-01-05,6343.T,機械/住宅建設,機械,BUY,164.175,800,2683631.0,0.5008117367223045,2025-12-30,buy_signal_limit
2026-01-05,7184.T,銀行/地方銀行,銀行業,BUY,1805.925,100,2503038.5,0.46921791556680553,2025-12-30,buy_signal_limit
2026-01-05,1879.T,建設/建設・土木,建設業,BUY,2024.825,1200,73248.5,0.38802987203448935,2025-12-30,buy_signal_limit
2026-01-06,1879.T,建設/建設・土木,建設業,SELL,2040.0,1200,2521248.5,0.38539312522012376,2026-01-05,sell_signal
2026-01-06,3352.T,小売/他消費財小売り,小売業,BUY,1610.905,300,2037977.0,0.42759850266657845,2026-01-05,buy_signal_limit
2026-01-06,7241.T,輸送用機器/自動車部品,輸送用機器,BUY,1059.675,900,1084269.5,0.4118235266703493,2026-01-05,buy_signal_limit
2026-01-07,3289.T,225/不動産,不動産業,BUY,1441.0,300,651969.5,0.504965890154866,2026-01-06,buy_signal_limit
2026-01-07,1879.T,建設/建設・土木,建設業,BUY,2025.0,300,44469.5,0.410321497842809,2026-01-06,buy_signal_limit
2026-01-09,3352.T,小売/他消費財小売り,小売業,SELL,1624.0,300,531669.5,0.4163909637653241,2026-01-08,sell_signal
2026-01-09,7241.T,輸送用機器/自動車部品,輸送用機器,SELL,1070.0,900,1494669.5,0.38763988603524807,2026-01-08,sell_signal
2026-01-13,7184.T,銀行/地方銀行,銀行業,SELL,1975.0,100,1692169.5,0.5448372144671368,2026-01-09,take_profit
2026-01-13,3352.T,小売/他消費財小売り,小売業,BUY,1615.8799999999999,1000,76289.50000000023,0.42042910752315493,2026-01-09,buy_signal_limit
2026-01-16,6343.T,機械/住宅建設,機械,SELL,178.0,800,218689.50000000023,0.5459248470305692,2026-01-15,take_profit
2026-01-23,3352.T,小売/他消費財小売り,小売業,SELL,1639.0,1000,1857689.5000000002,0.4246380945299412,2026-01-22,sell_signal
2026-01-26,9791.T,大幅強気/増額,サービス業,BUY,1402.0,400,1296889.5000000002,0.4584191545012323,2026-01-23,buy_signal_limit
2026-01-26,9034.T,前号並み/陸運,陸運業,BUY,1599.96,400,656905.5000000002,0.45021926318261496,2026-01-23,buy_signal_limit
2026-01-26,3352.T,小売/他消費財小売り,小売業,BUY,1626.0,400,6505.500000000233,0.4293536283856753,2026-01-23,buy_signal_limit
2026-01-27,9791.T,大幅強気/増額,サービス業,SELL,1400.0,400,566505.5000000002,0.44196958579435774,2026-01-26,sell_signal
2026-01-27,9034.T,前号並み/陸運,陸運業,SELL,1587.0,400,1201305.5000000002,0.42849941095662114,2026-01-26,sell_signal
2026-01-27,7184.T,銀行/地方銀行,銀行業,BUY,2273.575,500,64518.00000000023,0.7283432207958643,2026-01-26,buy_signal_limit
2026-01-28,1879.T,建設/建設・土木,建設業,SELL,1989.0,300,661218.0000000002,0.3952041932503896,2026-01-27,sell_signal
2026-01-29,3289.T,225/不動産,不動産業,SELL,1409.5,300,1084068.0000000002,0.424289486529326,2026-01-28,sell_signal
2026-01-29,3352.T,小売/他消費財小売り,小売業,SELL,1582.0,400,1716868.0000000002,0.4018665460270984,2026-01-28,sell_signal
2026-01-29,9405.T,大幅増額/情報通信,情報・通信業,BUY,808.935,2100,18104.500000000233,0.36257491875438974,2026-01-28,buy_signal_limit
2026-01-30,9405.T,大幅増額/情報通信,情報・通信業,SELL,830.0,2100,1761104.5000000002,0.3553572349424774,2026-01-29,sell_signal
2026-02-02,4619.T,化学/タイヤ・ゴム,化学,BUY,2331.285,100,1527976.0000000002,0.5033271176381375,2026-01-30,buy_signal_limit
2026-02-02,7231.T,輸送用機器/自動車部品,輸送用機器,BUY,3114.35,200,905106.0000000002,0.39953278231423134,2026-01-30,buy_signal_limit
2026-02-04,8515.T,その他金融/リース・消費者金融,その他金融業,SELL,543.0,200,1013706.0000000002,0.46585739891848704,2026-02-03,sell_signal
2026-02-04,7722.T,精密機器/自動車部品,精密機器,BUY,990.0,200,815706.0000000002,0.6251162967288684,2026-02-03,buy_signal_limit
2026-02-05,7971.T,増額/化学,化学,SELL,809.0,100,896606.0000000002,0.5321500642655596,2026-02-04,take_profit
2026-02-05,7184.T,銀行/地方銀行,銀行業,SELL,2460.0,500,2126606.0,0.7837235720815908,2026-02-04,take_profit
2026-02-06,7231.T,輸送用機器/自動車部品,輸送用機器,SELL,3380.0,200,2802606.0,0.38467357563828675,2026-02-05,take_profit
2026-02-09,7722.T,精密機器/自動車部品,精密機器,SELL,1093.0,200,3021206.0,0.6518675826184646,2026-02-06,take_profit
2026-02-09,6357.T,機械/外食・娯楽サービス,機械,BUY,2532.275,1100,235703.5,0.43873308825645585,2026-02-06,buy_signal_limit
2026-02-10,6357.T,機械/外食・娯楽サービス,機械,SELL,2496.0,1100,2981303.5,0.4167409294670387,2026-02-09,sell_signal
2026-02-13,4043.T,225/化学,化学,BUY,4200.0,700,41303.5,0.4294095241721446,2026-02-12,buy_signal_limit
2026-02-16,4043.T,225/化学,化学,SELL,4164.0,700,2956103.5,0.40779962592454544,2026-02-13,sell_signal
2026-02-16,8344.T,銀行/地方銀行,銀行業,BUY,2641.725,500,1635241.0,0.7858046070139827,2026-02-13,buy_signal_limit
2026-02-16,8387.T,銀行/地方銀行,銀行業,BUY,2329.295,700,4734.5,0.6879937291199096,2026-02-13,buy_signal_limit
2026-02-18,4619.T,化学/タイヤ・ゴム,化学,SELL,2385.0,100,243234.5,0.452831269454248,2026-02-17,sell_signal
2026-02-24,8344.T,銀行/地方銀行,銀行業,SELL,2683.0,500,1584734.5,0.701034096101539,2026-02-20,sell_signal
2026-02-24,8387.T,銀行/地方銀行,銀行業,SELL,2361.0,700,3237434.5,0.7234924877833045,2026-02-20,sell_signal
2026-02-24,7971.T,増額/化学,化学,BUY,766.15,2100,1628519.5,0.4440921658411411,2026-02-20,buy_signal_limit
2026-02-25,7971.T,増額/化学,化学,SELL,773.0,2100,3251819.5,0.44221856583978647,2026-02-24,sell_signal
2026-02-25,9034.T,前号並み/陸運,陸運業,BUY,1721.35,1800,153389.5,0.4710185219676791,2026-02-24,buy_signal_limit
2026-03-04,9034.T,前号並み/陸運,陸運業,SELL,1617.0,1800,3063989.5,0.4669196622850692,2026-03-03,stop_loss
2026-03-06,1814.T,大幅増額/建設,建設業,BUY,4070.0,100,2656989.5,0.5948015012257184,2026-03-05,buy_signal_limit
2026-03-06,1946.T,建設/設備工事,建設業,BUY,2148.0,200,2227389.5,0.5927819955118623,2026-03-05,buy_signal_limit
2026-03-06,7102.T,輸送用機器/建設農業機械・産業車両,輸送用機器,BUY,3890.0,100,1838389.5,0.5068851908585353,2026-03-05,buy_signal_limit
2026-03-06,6743.T,電気機器/設備機器・部品,電気機器,BUY,824.0,500,1426389.5,0.47635069946954733,2026-03-05,buy_signal_limit
2026-03-06,1808.T,225/建設,建設業,BUY,3176.0,100,1108789.5,0.47150480206346496,2026-03-05,buy_signal_limit
2026-03-06,7231.T,輸送用機器/自動車部品,輸送用機器,BUY,3345.0,100,774289.5,0.4375359521101173,2026-03-05,buy_signal_limit
2026-03-06,8154.T,卸売/電子部品・産業用電子機器,卸売業,BUY,4105.0,100,363789.5,0.4310745581013406,2026-03-05,buy_signal_limit
2026-03-09,1814.T,大幅増額/建設,建設業,SELL,3810.0,100,744789.5,0.5764504301874367,2026-03-06,stop_loss
2026-03-09,1946.T,建設/設備工事,建設業,SELL,1990.0,200,1142789.5,0.5854122232443872,2026-03-06,stop_loss
2026-03-09,7102.T,輸送用機器/建設農業機械・産業車両,輸送用機器,SELL,3685.0,100,1511289.5,0.48743543833309355,2026-03-06,stop_loss
2026-03-09,1768.T,建設/建設・土木,建設業,BUY,1434.0,500,794289.5,0.4675204333639541,2026-03-06,buy_signal_limit
2026-03-09,9063.T,陸運/陸運,陸運業,BUY,4385.0,100,355789.5,0.4562530388926084,2026-03-06,buy_signal_limit
2026-03-10,6743.T,電気機器/設備機器・部品,電気機器,SELL,817.0,500,764289.5,0.4314281868513685,2026-03-09,sell_signal
2026-03-10,1808.T,225/建設,建設業,SELL,3121.0,100,1076389.5,0.44041927821658855,2026-03-09,sell_signal
2026-03-10,7231.T,輸送用機器/自動車部品,輸送用機器,SELL,3335.0,100,1409889.5,0.40399546424025634,2026-03-09,sell_signal
2026-03-10,8154.T,卸売/電子部品・産業用電子機器,卸売業,SELL,4045.0,100,1814389.5,0.40873378810336863,2026-03-09,sell_signal
2026-03-10,9063.T,陸運/陸運,陸運業,SELL,4485.0,100,2262889.5,0.4279973424480128,2026-03-09,sell_signal
2026-03-10,1768.T,建設/建設・土木,建設業,SELL_END,1504.0,500,3014889.5,,,end_of_backtest
