promising_score_min,trend_r2_min,sector_per_score_min,take_profit_pct,stop_loss_pct,final_capital,total_return_pct,win_rate_pct,avg_roundtrip_return_pct,num_roundtrips
0.72,0.6,0.55,8.0,5.0,3368100.0,12.270000000000003,48.333333333333336,1.6993527761253522,60
0.78,0.6,0.35,8.0,5.0,3096700.0,3.2233333333333336,47.05882352941176,1.8315535647118697,17
0.78,0.6,0.55,8.0,5.0,3096700.0,3.2233333333333336,47.05882352941176,1.8315535647118697,17
0.78,0.7,0.35,8.0,5.0,3096700.0,3.2233333333333336,47.05882352941176,1.8315535647118697,17
0.78,0.7,0.55,8.0,5.0,3096700.0,3.2233333333333336,47.05882352941176,1.8315535647118697,17
0.72,0.7,0.35,8.0,5.0,3436500.0,14.549999999999997,46.774193548387096,1.5510198175572574,62
0.72,0.6,0.55,10.0,5.0,3440700.0,14.690000000000003,46.55172413793103,1.6513224678127747,58
0.72,0.7,0.55,8.0,5.0,3369800.0,12.326666666666664,46.42857142857143,1.7195832634695196,56
0.72,0.6,0.35,8.0,5.0,3257100.0,8.570000000000011,46.03174603174603,0.9867117184046638,63
0.72,0.7,0.55,10.0,5.0,3382500.0,12.749999999999995,45.09803921568628,1.87053130614223,51
0.72,0.6,0.35,10.0,5.0,3458400.0,15.280000000000005,44.827586206896555,1.2709184251801402,58
0.72,0.7,0.35,10.0,5.0,3434100.0,14.470000000000006,43.75,1.4133908233332846,64
0.78,0.6,0.35,10.0,5.0,3092800.0,3.0933333333333257,41.17647058823529,1.4756997689950495,17
0.78,0.6,0.55,10.0,5.0,3092800.0,3.0933333333333257,41.17647058823529,1.4756997689950495,17
0.78,0.7,0.35,10.0,5.0,3092800.0,3.0933333333333257,41.17647058823529,1.4756997689950495,17
0.78,0.7,0.55,10.0,5.0,3092800.0,3.0933333333333257,41.17647058823529,1.4756997689950495,17
0.8,0.6,0.35,8.0,5.0,2788400.0,-7.053333333333334,25.0,-1.8448090628664815,8
0.8,0.6,0.55,8.0,5.0,2788400.0,-7.053333333333334,25.0,-1.8448090628664815,8
0.8,0.7,0.35,8.0,5.0,2788400.0,-7.053333333333334,25.0,-1.8448090628664815,8
0.8,0.7,0.55,8.0,5.0,2788400.0,-7.053333333333334,25.0,-1.8448090628664815,8
0.8,0.6,0.35,10.0,5.0,2732100.0,-8.930000000000005,12.5,-3.030940449727795,8
0.8,0.6,0.55,10.0,5.0,2732100.0,-8.930000000000005,12.5,-3.030940449727795,8
0.8,0.7,0.35,10.0,5.0,2732100.0,-8.930000000000005,12.5,-3.030940449727795,8
0.8,0.7,0.55,10.0,5.0,2732100.0,-8.930000000000005,12.5,-3.030940449727795,8
