step,cum_log_rl,cum_log_bnh,action
0,0.03557564893364906,0.03657565,1
1,0.03893706195615232,0.03993706,1
2,0.05777393460832536,0.058773935,1
3,0.056675855816341936,0.057675857,1
4,0.055675855816341935,0.025288947,2
5,0.0925421874532476,0.06315528,1
6,0.0915421874532476,0.06913145,2
7,0.0915421874532476,0.05814756,2
8,0.09455042658839374,0.062155798,1
9,0.10053237667772918,0.06813775,1
10,0.09953237667772918,0.039909855,2
11,0.10261448040325194,0.043991957,1
12,0.1227761631431058,0.06415364,1
13,0.13468106124270707,0.07605854,1
14,0.13368106124270707,0.06714341,2
15,0.1455332345413044,0.07999559,1
16,0.1445332345413044,0.077044286,2
17,0.1445332345413044,0.074084364,2
18,0.1445332345413044,0.048056804,2
19,0.1445332345413044,0.03272674,2
20,0.1445332345413044,0.030665047,2
21,0.1445332345413044,0.005585311,2
22,0.1445332345413044,-0.007194411,2
23,0.1445332345413044,-0.0104148965,2
24,0.1445332345413044,-0.034355003,2
25,0.16747334139514714,-0.0104148965,1
26,0.16854801057931035,-0.009340228,1
27,0.1739041007226333,-0.0039841374,1
28,0.18029414984490721,0.0024059117,1
29,0.20752065750863402,0.02963242,1
30,0.21472632448282092,0.036838084,1
31,0.2228978670304641,0.045009628,1
32,0.2360357980346307,0.058147557,1
33,0.2499944021096453,0.07210616,1
34,0.2509836957892403,0.073095456,1
35,0.2559171820161864,0.07802894,1
36,0.26180543965753167,0.0839172,1
37,0.28022576711233704,0.102337524,1
38,0.27922576711233704,0.09945141,2
39,0.2820720771914348,0.10329772,1
40,0.2810720771914348,0.0907432,2
41,0.29358575215097515,0.104256876,1
42,0.29645782640669494,0.10712895,1
43,0.3088097863504663,0.11948091,1
44,0.31069654076360165,0.12136766,1
45,0.30969654076360165,0.108084664,2
46,0.3163084478508681,0.11569657,1
47,0.32386273866705595,0.123250864,1
48,0.32286273866705595,0.08977076,2
49,0.3267150685135275,0.09462309,1
50,0.3257150685135275,0.085872196,2
51,0.3382942834366113,0.09945141,1
52,0.3372942834366113,0.09171458,2
53,0.3631158390063792,0.11853614,1
54,0.3621158390063792,0.11474822,2
55,0.3743113089818507,0.1279437,1
56,0.3733113089818507,0.114748225,2
57,0.3732596630598418,0.11569658,1
58,0.3722596630598418,0.11189787,2
59,0.3722596630598418,0.09559049,2
60,0.3722596630598418,0.08489536,2
61,0.3722596630598418,0.081958264,2
62,0.38489188420725984,0.09559049,1
63,0.3945165172140114,0.10521512,1
64,0.3935165172140114,0.099451415,2
65,0.40970902437670154,0.11664392,1
66,0.40870902437670154,0.109039366,2
67,0.40870902437670154,0.08879761,2
68,0.40870902437670154,0.087823614,2
69,0.41160000022081655,0.09171459,1
70,0.4270143657880835,0.107128955,1
71,0.4260143657880835,0.10425688,2
72,0.43550571086583656,0.114748225,1
73,0.43450571086583656,0.10041438,2
74,0.43450571086583656,0.07210617,2
75,0.43942849077237767,0.07802895,1
76,0.44237712928978723,0.08097759,1
77,0.44137712928978723,0.06813776,2
78,0.44137712928978723,0.043991968,2
79,0.44137712928978723,0.037862945,2
80,0.44137712928978723,0.036838096,2
81,0.4546338804545812,0.051094845,1
82,0.4586701905834488,0.055131156,1
83,0.47465445944247764,0.07111543,1
84,0.4805833283360116,0.07704429,1
85,0.4795833283360116,0.07704429,2
86,0.4951934534157626,0.09365442,1
87,0.4961621301746927,0.0946231,1
88,0.4951621301746927,0.0946231,2
89,0.5037959190136753,0.10425688,1
90,0.5027959190136753,0.10233754,2
91,0.5027959190136753,0.09655718,2
92,0.5027959190136753,0.09848764,2
93,0.5094808338745497,0.106172554,1
94,0.5084808338745497,0.0946231,2
95,0.5084808338745497,0.07901299,2
96,0.5084808338745497,0.058147565,2
97,0.5204486914067529,0.07111542,1
98,0.5194486914067529,0.05412355,2
99,0.5194486914067529,0.05311512,2
100,0.5194486914067529,0.040931806,2
101,0.5265874700262211,0.049070586,1
102,0.5255874700262211,0.0500831,2
103,0.5326519263102673,0.058147557,1
104,0.5316519263102673,0.059151407,2
105,0.5316519263102673,0.04907058,2
106,0.5316519263102673,0.0460265,2
107,0.5347085229731164,0.050083097,1
108,0.5337085229731164,0.042972945,2
109,0.5337085229731164,0.03683808,2
110,0.5337085229731164,0.025491644,2
111,0.5337085229731164,0.019248191,2
112,0.5337085229731164,0.00875513,2
