sector,code_3digit,n_tickers,fast_ma,slow_ma,train_return_pct,train_sharpe,train_max_dd_pct,train_win_rate_pct,train_num_trades,test_return_pct,test_sharpe,test_max_dd_pct,test_win_rate_pct,test_num_trades
水産・農林業,005,12,25,100,-52.44,-0.091,-53.62,35.48,31,-14.13,-0.346,-23.01,33.33,6
鉱業,105,5,25,100,-43.66,-0.011,-74.09,36.84,38,68.65,0.638,-8.6,60.0,5
建設業,205,158,25,100,98.82,0.207,-39.49,34.38,32,195.62,0.741,0.0,100.0,5
食料品,210,126,25,100,-99.79,-0.464,-99.8,33.33,36,83.93,0.523,-6.76,40.0,5
繊維製品,215,48,25,100,153.22,0.301,-21.68,53.85,26,61.92,0.449,-9.0,50.0,6
パルプ・紙,220,25,25,100,-74.36,-0.283,-75.1,24.24,33,-6.58,0.018,-33.21,33.33,6
化学,225,207,25,100,-49.99,-0.247,-55.88,30.23,43,117.79,0.678,-3.6,60.0,5
医薬品,230,81,25,100,-83.85,-0.359,-83.85,25.0,36,-42.24,-0.456,-48.91,25.0,8
石油・石炭製品,235,11,25,100,-23.99,0.036,-72.86,45.45,33,38.08,0.377,-23.95,40.0,5
ゴム製品,240,18,25,100,-48.72,-0.079,-70.19,33.33,33,0.8,0.076,-14.24,33.33,6
ガラス・土石製品,245,52,25,100,-50.0,-0.051,-82.86,30.3,33,59.42,0.508,-17.82,57.14,7
鉄鋼,250,39,25,100,-62.64,-0.052,-72.48,21.21,33,44.17,0.361,-31.18,42.86,7
非鉄金属,255,33,25,100,-13.81,0.087,-58.85,45.45,33,-0.74,0.105,-38.14,44.44,9
金属製品,260,88,25,100,74.18,0.198,-44.15,51.85,27,57.37,0.692,-10.67,80.0,5
機械,305,216,25,100,311.5,0.235,-50.01,32.43,37,-14.23,-0.146,-26.38,33.33,6
電気機器,310,232,25,100,62.82,0.192,-51.68,40.62,32,-13.7,-0.357,-13.8,33.33,6
輸送用機器,315,86,25,100,46.29,0.171,-55.19,33.33,33,-47.27,-0.798,-47.27,11.11,9
精密機器,320,52,25,100,33.33,0.17,-61.53,52.94,34,48.1,0.584,-16.56,66.67,9
その他製品,325,104,25,100,-58.64,-0.119,-79.26,40.62,32,-48.64,-0.142,-65.24,42.86,7
電気・ガス業,330,28,25,100,-90.58,-0.339,-90.78,36.11,36,32.29,0.44,-9.49,50.0,4
陸運業,335,60,25,100,-50.04,-0.21,-53.15,38.46,39,56.38,0.706,0.0,100.0,5
海運業,340,11,25,100,-26.85,0.065,-65.39,36.11,36,-46.84,-0.612,-46.84,25.0,12
空運業,345,5,25,100,-57.29,-0.198,-57.29,40.62,32,-7.97,-0.222,-17.91,37.5,8
倉庫・運輸関連業,350,31,25,100,-13.48,0.064,-55.21,34.21,38,51.02,0.574,-10.6,57.14,7
情報・通信業,355,620,25,100,87.23,0.209,-50.18,25.0,32,10.23,0.208,-21.64,25.0,8
卸売業,405,305,25,100,-43.96,0.06,-76.84,40.74,27,57.23,0.42,-10.34,25.0,4
小売業,410,344,25,100,-99.99,-0.13,-100.0,35.9,39,57.93,0.749,-15.71,50.0,10
銀行業,505,78,25,100,-88.41,-0.62,-88.76,19.57,46,34.27,0.639,-7.41,66.67,6
証券、商品先物取引業,510,36,25,100,-62.71,-0.025,-83.23,34.48,29,9.78,0.208,-19.82,60.0,5
保険業,515,15,25,100,-41.34,0.028,-81.95,38.71,31,6.02,0.166,-19.75,50.0,8
その他金融業,520,41,25,100,-79.21,-0.023,-90.78,39.39,33,12.95,0.237,-16.48,20.0,5
不動産業,605,151,25,100,611.86,0.285,-64.61,41.38,29,0.0,0.0,0.0,0.0,6
サービス業,705,571,25,100,-99.97,-0.284,-99.97,27.03,37,-62.37,-0.917,-63.15,20.0,10
