group_name,code4,n_tickers,fast_ma,slow_ma,train_return_pct,train_sharpe,train_max_dd_pct,train_win_rate_pct,train_num_trades,test_return_pct,test_sharpe,test_max_dd_pct,test_win_rate_pct,test_num_trades
水産・農林業,0050,2,25,100,57.1,0.205,-36.04,47.06,34.0,6.29,0.174,-16.0,40.0,5
水産農林/食品,0051,10,25,100,-32.91,-0.016,-53.0,29.41,34.0,-5.81,-0.069,-22.55,50.0,8
鉱業/燃料・資源,1051,4,20,100,-27.69,0.033,-67.28,40.48,42.0,35.29,0.41,-23.82,42.86,7
建設業,2050,26,10,25,-56.62,0.056,-81.59,33.33,111.0,0.0,0.0,0.0,0.0,22
建設/不動産(住宅),2051,3,5,25,609.16,0.47,-40.06,41.73,139.0,0.17,0.085,-17.41,29.63,27
建設/他産業サービス・製品,2052,3,20,75,717.18,0.383,-62.27,47.37,38.0,-8.27,-0.051,-28.65,50.0,10
建設/住宅建設,2053,12,20,25,649.54,0.399,-57.34,37.5,144.0,-10.68,-0.088,-32.22,35.48,31
建設/建設・土木,2054,73,10,50,22.12,0.152,-66.27,39.47,76.0,12.35,0.218,-45.66,21.43,14
建設/設備工事,2055,38,20,50,437.77,0.319,-43.75,41.67,60.0,203.4,1.07,-7.62,77.78,9
建設/電力,2056,3,5,25,710.34,0.383,-83.68,42.06,107.0,-51.3,-0.747,-62.96,37.5,32
食料品,2100,18,5,25,-4.48,0.054,-41.12,40.28,144.0,-22.99,-0.51,-31.29,48.28,29
食料品/外食・娯楽サービス,2101,3,10,100,296.08,0.45,-15.75,52.63,38.0,-3.38,-0.144,-6.14,57.14,7
食料品/食品,2102,91,25,50,-63.17,0.168,-96.99,40.58,69.0,-3.13,0.031,-19.21,41.67,12
食料品/飲料,2103,14,5,100,-11.91,0.019,-42.9,40.0,60.0,-27.51,-0.74,-29.91,31.82,22
繊維製品,2150,14,25,50,-25.91,0.025,-52.93,43.1,58.0,-7.22,0.083,-42.51,27.27,11
