sector,sector_signal_date,first_stock,stock_signal_date,lag_bdays,stock_entry_price,price_at_sector_signal,pct_change_by_sector_signal
水産・農林業,2001-10-17,1376,2001-04-12,134,670.0,670.0,0.0
水産・農林業,2003-01-27,1380,2002-08-14,118,597.0,598.0,0.17
水産・農林業,2003-08-25,1380,2003-02-19,133,606.0,630.0,3.96
水産・農林業,2004-02-05,1377,2003-08-15,124,1148.0,1188.0,3.48
水産・農林業,2004-09-21,1381,2004-04-22,108,650.0,581.0,-10.62
水産・農林業,2004-10-29,1381,2004-04-22,136,650.0,600.0,-7.69
水産・農林業,2005-02-04,1301,2004-09-15,102,1950.0,2130.0,9.23
水産・農林業,2007-02-16,1380,2006-09-01,120,820.0,615.0,-25.0
水産・農林業,2007-06-22,1332,2006-12-21,131,706.0,822.0,16.43
水産・農林業,2008-04-14,1377,2007-10-04,137,1545.0,1457.0,-5.7
水産・農林業,2008-12-03,1332,2008-05-20,141,477.0,216.0,-54.72
水産・農林業,2009-06-09,1301,2008-11-25,140,2100.0,2000.0,-4.76
水産・農林業,2010-02-09,1332,2009-08-19,124,281.0,259.0,-7.83
水産・農林業,2010-03-05,1332,2009-08-19,142,281.0,257.0,-8.54
水産・農林業,2010-10-06,1380,2010-03-25,139,470.0,386.0,-17.87
水産・農林業,2011-01-03,1376,2010-08-11,103,759.0,802.0,5.67
水産・農林業,2011-07-12,1301,2010-12-27,141,1770.0,1840.0,3.95
水産・農林業,2012-02-20,1380,2011-08-05,141,400.0,400.0,0.0
水産・農林業,2012-12-06,1380,2012-07-23,98,400.0,365.0,-8.75
水産・農林業,2013-09-27,1382,2013-04-03,127,925.0,980.0,5.95
水産・農林業,2013-11-19,1376,2013-07-22,86,974.0,887.0,-8.93
水産・農林業,2014-08-15,1301,2014-01-29,142,2660.0,2520.0,-5.26
水産・農林業,2014-11-13,1332,2014-05-12,133,235.0,392.0,66.81
水産・農林業,2015-11-04,1383,2015-05-12,126,1499.0,1175.0,-21.61
水産・農林業,2016-10-03,1301,2016-03-18,141,2740.0,2757.0,0.62
水産・農林業,2019-03-13,1333,2018-10-12,108,1360.0,1281.67,-5.76
水産・農林業,2019-08-05,1379,2019-02-04,130,2015.0,1871.0,-7.15
水産・農林業,2019-09-10,1377,2019-02-27,139,3775.0,3675.0,-2.65
水産・農林業,2020-05-12,1301,2019-11-13,129,2927.0,2612.0,-10.76
水産・農林業,2020-08-14,1376,2020-04-23,81,1469.0,1491.0,1.5
水産・農林業,2021-01-12,1382,2020-07-02,138,876.0,909.0,3.77
水産・農林業,2022-01-17,1301,2021-08-18,108,2991.0,3125.0,4.48
水産・農林業,2023-05-16,1384,2022-11-11,132,685.0,836.0,22.04
水産・農林業,2023-08-29,1375,2023-02-14,140,1005.0,906.0,-9.85
水産・農林業,2024-07-12,1301,2024-01-25,121,3895.0,4025.0,3.34
水産・農林業,2024-09-19,1384,2024-03-14,135,1097.0,989.0,-9.85
水産・農林業,2025-02-03,1376,2024-07-18,142,1416.0,1376.0,-2.82
水産・農林業,2025-05-14,1376,2024-10-29,141,1358.0,1417.0,4.34
鉱業,2002-03-07,1515,2002-01-28,28,225.0,234.0,4.0
鉱業,2002-12-26,1515,2002-09-03,82,231.0,176.0,-23.81
鉱業,2003-07-08,1605,2003-01-07,130,812.5,640.62,-21.15
鉱業,2004-03-16,1515,2004-01-16,42,314.0,355.0,13.06
鉱業,2005-02-03,1514,2004-09-03,109,945.0,775.0,-17.99
鉱業,2005-06-28,1605,2005-01-26,109,1137.15,1442.71,26.87
鉱業,2006-04-19,1662,2006-04-12,5,1582.0,1622.0,2.53
鉱業,2006-08-02,1662,2006-04-12,80,1582.0,1606.0,1.52
鉱業,2006-12-22,1605,2006-08-01,103,2750.0,2470.0,-10.18
鉱業,2007-02-12,1605,2006-08-01,139,2750.0,2485.0,-9.64
鉱業,2007-10-04,1605,2007-04-19,120,2415.0,2950.0,22.15
鉱業,2008-03-14,1605,2007-10-05,115,2925.0,3175.0,8.55
鉱業,2009-01-26,1515,2009-01-20,4,331.0,317.0,-4.23
鉱業,2009-06-01,1515,2009-01-20,94,331.0,446.0,34.74
鉱業,2009-08-14,1605,2009-02-04,137,1800.0,1860.0,3.33
鉱業,2010-04-09,1662,2010-03-09,23,895.0,959.0,7.15
鉱業,2010-11-08,1515,2010-10-25,10,317.0,300.0,-5.36
鉱業,2011-07-14,1662,2011-01-14,129,660.0,779.0,18.03
鉱業,2011-12-26,1605,2011-07-20,113,1497.5,1225.0,-18.2
鉱業,2012-01-26,1605,2011-07-20,136,1497.5,1282.5,-14.36
鉱業,2012-09-07,1605,2012-09-07,0,1120.0,1121.25,0.11
鉱業,2013-01-29,1605,2012-09-07,102,1120.0,1320.0,17.86
鉱業,2013-08-02,1605,2013-01-23,137,1200.0,1130.0,-5.83
鉱業,2013-09-13,1515,2013-08-23,15,457.0,505.0,10.5
鉱業,2013-12-02,1515,2013-08-23,71,457.0,528.0,15.54
鉱業,2015-02-05,1514,2014-09-12,104,122.0,113.0,-7.38
鉱業,2015-11-26,1514,2015-11-04,16,119.0,119.0,0.0
鉱業,2016-07-26,1663,2016-07-25,1,1492.0,1492.0,0.0
鉱業,2016-09-21,1663,2016-07-25,42,1492.0,1426.0,-4.42
鉱業,2017-09-19,1663,2017-05-29,81,1802.0,1855.0,2.94
鉱業,2018-05-14,1515,2018-01-09,89,808.0,625.0,-22.65
鉱業,2018-10-08,1605,2018-05-03,112,1397.5,1426.0,2.04
鉱業,2019-04-02,1605,2018-09-18,140,1373.5,1091.0,-20.57
鉱業,2019-10-18,1663,2019-04-01,144,1568.0,1562.0,-0.38
鉱業,2021-01-01,1514,2020-06-30,133,127.0,111.0,-12.6
鉱業,2021-03-02,1514,2020-09-11,122,126.0,120.0,-4.76
鉱業,2021-09-21,1514,2021-03-12,137,129.0,139.0,7.75
